NDVI,Freq,Select_num
-19,2,0
-19,6,0
-18,15,0
-18,77,0
-17,177,0
-16,397,0
-16,753,0
-15,1343,1
-15,2012,1
-14,2804,1
-13,3727,2
-13,4685,2
-12,5180,3
-11,5587,3
-11,5855,3
-10,6186,3
-9,6607,3
-9,7127,4
-8,7406,4
-8,8022,4
-7,8555,4
-6,9480,5
-6,10662,5
-5,12890,7
-4,15680,8
-4,20162,10
-3,28254,14
-2,41370,21
-2,48399,25
-1,53068,27
0,56389,29
0,54911,28
0,51524,26
0,49100,25
1,48020,24
2,48245,25
2,51065,26
3,56047,29
4,65616,33
4,80551,41
5,103066,53
6,132925,68
6,164862,84
7,198943,101
8,235723,120
8,269980,138
9,286475,146
9,293348,150
10,289166,147
11,274019,140
11,248523,127
12,217415,111
13,184971,94
13,157491,80
14,134357,69
15,116221,59
15,101549,52
16,89649,46
16,81330,41
17,75871,39
18,70215,36
18,66436,34
19,62462,32
20,59481,30
20,56904,29
21,54208,28
22,51455,26
22,49236,25
23,46415,24
23,43903,22
24,41800,21
25,39973,20
25,38960,20
26,38630,20
27,38405,20
27,38705,20
28,39700,20
29,40655,21
29,41513,21
30,42890,22
31,42968,22
31,42982,22
32,43833,22
32,43259,22
33,42775,22
34,42387,22
34,41388,21
35,40434,21
36,40195,20
36,38914,20
37,38655,20
38,37713,19
38,37232,19
39,36515,19
39,35749,18
40,35623,18
41,35157,18
41,35271,18
42,34927,18
43,36013,18
43,36515,19
44,37363,19
45,38587,20
45,39716,20
46,41650,21
47,43479,22
47,45660,23
48,47827,24
48,50149,26
49,52432,27
50,55557,28
50,58310,30
51,61420,31
52,64462,33
52,67634,34
53,71082,36
54,74896,38
54,78305,40
55,81700,42
55,84279,43
56,88001,45
57,89899,46
57,92240,47
58,95533,49
59,96728,49
59,99249,51
60,100435,51
61,102526,52
61,103928,53
62,104898,53
63,105708,54
63,106361,54
64,106664,54
64,106522,54
65,105950,54
66,104562,53
66,104331,53
67,101584,52
68,99861,51
68,96655,49
69,94280,48
70,91173,46
70,88287,45
71,84332,43
72,79998,41
72,75641,39
73,71358,36
73,66777,34
74,62329,32
75,58499,30
75,54188,28
76,51028,26
77,47494,24
77,44709,23
78,42216,22
79,40232,21
79,38255,20
80,36047,18
80,34346,18
81,32402,17
82,30594,16
82,28639,15
83,26255,13
84,22950,12
84,18998,10
85,14685,7
86,11014,6
86,7999,4
87,5497,3
87,3494,2
88,2021,1
89,1010,1
89,462,0
90,119,0
91,13,0
91,2,0
