NDVI,Freq,Select_num
-19,1,0
-18,1,0
-18,1,0
-17,6,0
-16,4,0
-16,3,0
-15,12,0
-15,10,0
-14,7,0
-13,15,0
-13,28,0
-12,48,0
-11,70,0
-11,103,0
-10,124,0
-9,184,0
-9,201,0
-8,237,0
-8,281,0
-7,356,0
-6,438,1
-6,459,1
-5,533,1
-4,612,1
-4,732,1
-3,742,1
-2,794,1
-2,908,1
-1,899,1
0,1126,1
0,1227,1
0,1430,2
0,1532,2
1,1506,2
2,1443,2
2,1263,2
3,1104,1
4,1064,1
4,1042,1
5,951,1
6,931,1
6,973,1
7,944,1
8,980,1
8,1044,1
9,1077,1
9,1010,1
10,1046,1
11,1140,1
11,1084,1
12,1248,1
13,1294,2
13,1281,2
14,1445,2
15,1563,2
15,1674,2
16,1935,2
16,2112,3
17,2371,3
18,2720,3
18,2895,3
19,3075,4
20,3369,4
20,3726,4
21,4052,5
22,4323,5
22,4620,6
23,4948,6
23,5038,6
24,5499,7
25,5760,7
25,6190,7
26,6517,8
27,6627,8
27,7205,9
28,7620,9
29,7714,9
29,8485,10
30,8615,10
31,9223,11
31,9638,12
32,10558,13
32,11622,14
33,12485,15
34,13520,16
34,14543,17
35,16278,19
36,17580,21
36,19199,23
37,20426,24
38,22262,27
38,24200,29
39,26162,31
40,27758,33
40,29238,35
41,31786,38
41,33317,40
42,34826,42
43,36967,44
43,38488,46
44,39955,48
45,42031,50
45,43508,52
46,45064,54
47,46493,56
47,47523,57
48,48855,58
48,50231,60
49,51005,61
50,51470,62
50,52537,63
51,52764,63
52,53919,64
52,54644,65
53,54855,66
54,55495,66
54,56357,67
55,56894,68
55,57381,69
56,58105,69
57,59141,71
57,59337,71
58,60836,73
59,61535,74
59,63210,76
60,64556,77
61,65879,79
61,67263,80
62,68895,82
63,70934,85
63,72862,87
64,75103,90
64,77723,93
65,79921,96
66,82547,99
66,85081,102
67,87323,104
68,90063,108
68,92980,111
69,94510,113
70,97204,116
70,98621,118
71,99373,119
72,98596,118
72,98691,118
73,96799,116
73,94313,113
74,91337,109
75,86706,104
75,82355,99
76,76351,91
77,70795,85
77,64548,77
78,58093,69
79,51501,62
79,44794,54
80,37846,45
80,31146,37
81,25023,30
82,19653,24
82,15433,18
83,12037,14
84,9384,11
84,7207,9
85,5375,6
86,4124,5
86,2826,3
87,1791,2
87,953,1
88,624,1
89,272,0
89,36,0
90,2,0
91,0,0
91,0,0
92,0,0
93,0,0
93,0,0
94,0,0
95,0,0
95,0,0
96,0,0
96,0,0
97,0,0
98,0,0
98,0,0
99,0,0
99,0,0
