system:index,B1,B2,B3,B4,B5,B6_VCID_1,B6_VCID_2,B7,B8,Built,DEM,EVI,EVI_constant,EVI_cos_1,EVI_cos_2,EVI_cos_3,EVI_sin_1,EVI_sin_2,EVI_sin_3,EVI_t,NDBI,NDBI_constant,NDBI_cos_1,NDBI_cos_2,NDBI_cos_3,NDBI_sin_1,NDBI_sin_2,NDBI_sin_3,NDBI_t,NDVI,NDVI_constant,NDVI_cos_1,NDVI_cos_2,NDVI_cos_3,NDVI_sin_1,NDVI_sin_2,NDVI_sin_3,NDVI_t,SLOPE,lrad,prec,pres,shum,srad,temp,wind,.geo
1_00000000000000000029,29,29,27,58,61,199,199,41,41,1,1155,18,-291,-128,34,1,-72,57,-8,1,0,778,63,-66,-11,18,-89,25,-2,18,30,-114,16,6,-76,51,-10,0,11.94349,268.33334,0.04333445,88450.664,0.004508667,175.33333,278.27,3.6053307,"{""type"":""Point"",""coordinates"":[115.6235539046304,40.837187658232224]}"
1_00000000000000000051,42,48,60,73,87,207,207,71,64,1,1035,10,-109,-39,11,1,-23,21,-11,0,0,817,23,-26,3,-3,-40,0,-3,9,240,-19,0,-1,-21,4,-2,0,1.8543341,274.58334,0.01833445,89654.664,0.004371334,194.16667,281.44333,3.1553307,"{""type"":""Point"",""coordinates"":[107.0948587338582,41.07757779602349]}"
1_000000000000000000b9,38,34,33,31,29,171,171,23,29,1,557,5,723,-73,5,-17,-23,1,5,-2,-1,-700,-84,-33,-25,8,17,13,2,5,438,-68,-1,-8,-12,10,5,-1,1.5439274,276.66666,0.05416778,91648.664,0.004695667,161.0,278.74,2.3619971,"{""type"":""Point"",""coordinates"":[117.72749601377885,41.3096115784406]}"
1_000000000000000000fa,30,30,33,60,63,202,201,47,48,1,1235,18,-717,-113,15,23,-29,25,-16,3,-2,1867,1,-92,-16,9,-60,-10,-7,17,29,-94,3,19,-50,42,-28,0,3.7047918,255.16667,0.04166778,85735.336,0.0040800003,176.58333,275.40332,3.434664,"{""type"":""Point"",""coordinates"":[116.37571061122462,41.64109223255167]}"
1_0000000000000000017d,30,28,29,51,51,197,197,32,38,1,905,19,469,-127,46,-4,-47,51,-15,-1,0,897,94,-71,-21,71,-64,13,-3,18,774,-108,26,6,-64,53,-11,-2,2.660945,258.58334,0.052501116,87614.664,0.004220334,170.66667,275.44,2.784664,"{""type"":""Point"",""coordinates"":[117.66712870371727,41.9997867803919]}"
1_000000000000000001f8,40,41,50,69,80,205,205,66,57,1,554,13,287,-49,14,-18,-25,34,-8,0,0,750,-17,-61,1,-6,-36,36,-2,12,441,-45,1,-9,-32,26,7,-1,2.238344,274.66666,0.04666778,94176.664,0.004581667,180.25,279.77,3.132664,"{""type"":""Point"",""coordinates"":[119.90959278709099,42.336654028575516]}"
1_000000000000000002ef,46,43,49,60,53,203,203,42,53,1,179,7,367,-31,16,-9,-24,10,-6,-1,-17,-1486,-103,-29,-1,53,1,31,5,5,259,-38,12,-13,-20,0,1,0,1.5808707,283.5,0.042501118,99242.664,0.0050570006,161.58333,280.10333,2.7559974,"{""type"":""Point"",""coordinates"":[122.28464824028893,43.59708136874675]}"
1_00000000000000000332,30,29,35,65,65,199,199,49,48,1,628,21,946,-85,8,23,-40,18,-7,-2,-4,-113,3,-55,-33,24,-38,22,0,20,224,-81,-1,8,-65,29,5,0,1.5880411,266.0,0.05083445,93699.336,0.0042610005,185.41667,278.44333,2.3453307,"{""type"":""Point"",""coordinates"":[119.22076423365783,44.00833088160291]}"
1_00000000000000000361,44,41,42,49,48,203,203,42,47,1,727,6,827,-53,-5,12,-12,-30,2,-2,-8,-1314,11,-25,-9,15,14,5,4,4,450,-44,-2,9,-7,-15,0,-1,3.882796,306.66666,0.06750111,91119.336,0.0061226673,166.83333,283.98666,1.9006639,"{""type"":""Point"",""coordinates"":[112.8542247362868,35.50065591319664]}"
1_0000000000000000036f,40,37,38,67,55,201,200,35,53,1,798,22,333,-130,-33,42,-90,27,5,0,-11,-155,72,4,-15,37,4,-38,0,17,347,-80,-20,18,-75,17,-10,0,2.4690766,310.75,0.06083445,91218.0,0.0058660004,157.5,284.06332,1.7339972,"{""type"":""Point"",""coordinates"":[111.76196347414418,35.89735092021434]}"
1_00000000000000000379,51,46,50,58,63,202,202,54,55,1,450,8,315,-54,4,14,3,-47,27,0,-7,-668,23,-12,-2,-4,51,-55,2,6,185,-32,-1,7,1,-27,12,0,2.1802049,326.75,0.05833445,95977.336,0.0067100003,157.58333,286.93,1.7653306,"{""type"":""Point"",""coordinates"":[111.51079568910673,36.07791329917153]}"
1_00000000000000000383,32,29,30,57,41,199,199,28,43,1,489,19,28,-180,-5,45,-40,5,-5,0,-15,-471,91,-2,-10,21,0,-36,1,14,-6,-125,-10,42,-16,-13,-6,0,2.9533806,319.08334,0.060001116,94328.664,0.006475667,160.33333,285.93332,1.8519973,"{""type"":""Point"",""coordinates"":[111.73851752080516,36.29485748362378]}"
1_0000000000000000038e,38,38,61,69,85,205,205,73,59,1,46,6,667,-68,12,1,24,30,-21,-2,1,-1106,-44,-9,22,-48,-29,5,4,5,428,-62,2,18,11,22,-18,-1,3.6062143,334.91666,0.05583445,100814.664,0.007758667,146.75,287.12665,1.828664,"{""type"":""Point"",""coordinates"":[115.14951133073966,36.295397034851256]}"
1_000000000000000003a2,35,29,28,29,23,176,176,19,29,1,728,5,296,-69,5,0,-24,-16,17,0,-13,41,-61,-56,25,18,-28,-40,0,4,257,-61,-8,11,-18,-10,17,0,6.566187,307.75,0.06250112,91712.0,0.006134334,159.91667,284.05,1.9406639,"{""type"":""Point"",""coordinates"":[111.78163702799198,36.84947601355032]}"
1_000000000000000003a5,30,28,30,48,50,197,197,39,38,1,1011,21,-726,-161,25,1,-88,44,23,3,-9,30,46,-66,-13,25,-55,-71,0,17,-72,-132,5,14,-83,17,19,1,11.708593,298.41666,0.072501116,89496.0,0.0057840003,161.33333,282.34,1.9499973,"{""type"":""Point"",""coordinates"":[112.60871555048618,36.83465396164867]}"
