system:index,B1,B10,B11,B2,B3,B4,B5,B6,B7,B8,B9,Built,DEM,EVI,EVI_constant,EVI_cos_1,EVI_cos_2,EVI_cos_3,EVI_sin_1,EVI_sin_2,EVI_sin_3,EVI_t,NDBI,NDBI_constant,NDBI_cos_1,NDBI_cos_2,NDBI_cos_3,NDBI_sin_1,NDBI_sin_2,NDBI_sin_3,NDBI_t,NDVI,NDVI_constant,NDVI_cos_1,NDVI_cos_2,NDVI_cos_3,NDVI_sin_1,NDVI_sin_2,NDVI_sin_3,NDVI_t,SLOPE,lrad,prec,pres,shum,srad,temp,wind,.geo
1_0000000000000000000e,35,205,201,31,27,25,57,49,36,25,0,1,148,34,542,-96,-46,12,-69,6,-2,0,-14,1073,55,-16,3,-12,11,-10,-4,18,1849,-60,-19,5,-59,8,-19,-5,3.488566,356.08334,0.21333446,95586.0,0.009555334,140.41667,289.32666,1.7033305,"{""type"":""Point"",""coordinates"":[119.40941096282491,28.53233397405675]}"
1_0000000000000000001c,40,198,194,34,27,22,39,26,17,28,0,1,12,27,-149,-71,-42,24,-40,0,31,1,-13,-921,43,4,30,9,-10,-5,2,13,-387,-22,0,-2,-6,-21,-22,2,2.1123946,372.41666,0.19750111,100124.664,0.012162001,143.08333,291.38,3.2439973,"{""type"":""Point"",""coordinates"":[121.07354301686985,28.6285435383859]}"
1_0000000000000000001e,43,194,192,39,32,30,33,26,22,25,0,1,11,14,-151,-84,-37,-5,-31,1,20,1,-13,-134,28,8,4,9,-15,4,0,7,-777,-38,-18,9,-5,0,10,2,1.8543341,375.41666,0.18333445,101207.336,0.012483667,143.58333,291.84,3.8839974,"{""type"":""Point"",""coordinates"":[121.25114009362652,28.552814625195236]}"
1_0000000000000000001f,42,201,198,37,30,27,35,35,31,30,0,1,8,15,-346,-56,-18,1,-22,-1,10,1,-11,-1379,26,25,-7,38,-17,-19,4,7,-579,-21,2,6,16,-15,-8,2,1.4052452,373.58334,0.18666779,101361.336,0.012250334,143.33333,291.56332,4.4593306,"{""type"":""Point"",""coordinates"":[121.37860795634029,28.56736913103368]}"
1_00000000000000000020,36,202,198,30,26,23,56,40,26,27,0,1,3,27,-879,-83,9,-7,-35,-17,3,4,-13,-180,22,-10,1,11,-6,-1,0,16,-1457,-36,45,-36,-16,-20,-40,5,2.1332834,374.25,0.17750111,101352.664,0.012339334,143.58333,291.65,4.525997,"{""type"":""Point"",""coordinates"":[121.52737248568538,28.514818625118817]}"
1_00000000000000000027,36,199,196,32,29,25,48,48,36,31,0,1,100,28,958,-67,-14,20,-42,-16,-8,-2,-17,-492,85,-3,31,-34,-31,66,1,15,-341,-18,-27,-1,-57,-15,13,1,0.0,345.0,0.25083447,92660.0,0.009792667,141.33333,287.37668,1.7553306,"{""type"":""Point"",""coordinates"":[114.99616730461267,28.664657797817757]}"
1_0000000000000000002c,37,202,199,32,30,27,71,51,34,29,0,1,43,32,1697,-128,-11,11,-104,15,-16,-4,-16,59,92,-3,0,3,-11,12,0,16,326,-70,-22,-2,-80,-3,19,0,3.6685889,374.5,0.24833445,100794.0,0.012004667,144.41667,292.21332,1.910664,"{""type"":""Point"",""coordinates"":[115.49096253480617,28.65657344760786]}"
1_0000000000000000002f,45,184,183,39,32,27,35,25,18,30,0,1,31,19,-422,-112,-4,0,-2,-15,13,2,-17,-590,15,-42,-4,3,-6,2,1,10,-656,-70,5,-22,-15,-19,24,2,2.134067,374.16666,0.23333444,100949.336,0.011915667,147.83333,292.28665,1.8906639,"{""type"":""Point"",""coordinates"":[115.87714744064093,28.672470142863396]}"
1_00000000000000000030,48,204,200,44,38,49,62,60,48,44,0,1,21,12,325,-78,0,17,-11,-10,-5,0,-13,-1985,-5,-44,34,17,-14,15,6,7,-197,-38,-1,8,0,-2,4,0,2.3079386,374.83334,0.23416777,101194.664,0.011886334,148.41667,292.43,1.9146639,"{""type"":""Point"",""coordinates"":[115.96365400107778,28.697267203821614]}"
1_00000000000000000036,43,199,196,38,33,31,42,41,34,31,0,1,23,15,238,-68,17,16,-31,-22,0,0,-7,-2978,22,-24,23,-34,10,18,10,10,-509,-59,0,7,-27,5,11,2,0.92740995,373.0,0.19083445,101206.664,0.010685334,147.66667,292.45334,2.0319972,"{""type"":""Point"",""coordinates"":[116.67808671275982,28.696995198657348]}"
1_00000000000000000037,42,199,196,36,31,28,48,43,32,29,0,1,46,25,77,-84,15,16,-64,-8,36,0,-8,-1338,67,-45,6,31,33,26,4,15,-674,-72,-8,5,-65,21,39,3,12.67778,369.5,0.19500111,100286.0,0.010094001,146.5,291.94,1.8053306,"{""type"":""Point"",""coordinates"":[116.79908887894615,28.647409994943025]}"
1_00000000000000000039,39,202,198,33,27,25,59,50,38,25,0,1,69,33,-522,-110,-14,10,-48,-15,-25,2,-15,-971,89,-20,-36,-7,39,14,2,18,-1076,-96,-38,6,-34,30,1,4,1.4061083,370.16666,0.20916778,100218.0,0.010207667,144.41667,291.90332,1.4959972,"{""type"":""Point"",""coordinates"":[117.02869691039015,28.681633595528226]}"
1_00000000000000000043,42,203,201,35,28,27,49,46,42,28,0,1,103,22,224,-96,-6,7,-25,12,-2,0,-14,889,33,-2,15,-14,-1,27,-3,12,-437,-50,2,17,-1,-4,18,2,5.6073136,375.16666,0.2616678,99928.0,0.012030333,140.41667,292.09332,2.5333307,"{""type"":""Point"",""coordinates"":[118.23630173948224,28.672470142863396]}"
1_00000000000000000044,36,194,193,30,25,23,51,48,35,24,0,1,140,34,214,-156,2,-1,-63,-10,22,0,-16,99,96,13,9,6,0,1,0,19,-263,-76,5,20,-27,-7,27,1,6.3249745,372.41666,0.25833446,99446.0,0.011748667,140.16667,291.66666,2.6379972,"{""type"":""Point"",""coordinates"":[118.41928986941254,28.805601063915077]}"
1_00000000000000000047,35,193,192,29,25,23,41,38,28,23,0,1,294,29,1431,-136,9,-34,-46,-9,7,-3,-16,663,32,-6,3,-18,4,-5,-2,15,373,-74,21,4,-47,0,10,0,14.915268,357.75,0.25750113,96072.664,0.010439,140.75,289.40332,2.576664,"{""type"":""Point"",""coordinates"":[118.71249805918185,28.701579154540287]}"
1_00000000000000000051,36,196,193,30,24,23,37,40,35,23,0,1,208,23,878,-76,-3,34,19,-1,29,-2,-15,1570,35,-19,-6,-51,72,-86,-5,11,1123,-50,-13,25,-56,33,-27,-3,3.8517568,362.91666,0.19250111,97121.336,0.010233,140.33333,290.19666,1.5066639,"{""type"":""Point"",""coordinates"":[119.90797859250965,28.649835745916103]}"
1_0000000000000000005d,42,193,191,36,28,25,29,26,22,26,0,1,12,13,-315,-79,-14,-2,-12,22,37,1,-11,-618,0,-9,-4,-4,-27,-1,1,6,-359,-46,-10,-1,2,-2,8,1,0.0,375.16666,0.18750112,101318.664,0.012409334,143.33333,291.8,3.8293307,"{""type"":""Point"",""coordinates"":[121.25814534138146,28.644444692742493]}"
1_0000000000000000005e,53,207,203,50,39,36,68,79,82,38,0,1,10,29,-642,-13,32,-13,6,-24,-36,3,-3,72,59,12,-5,35,-29,-22,0,13,-723,8,12,2,24,-26,-23,3,1.8543341,372.83334,0.18833445,101325.336,0.012138001,143.08333,291.44666,4.3639975,"{""type"":""Point"",""coordinates"":[121.46026747393208,28.675435445063936]}"
