system:index,B1,B2,B3,B4,B5,B6_VCID_1,B6_VCID_2,B7,B8,Built,DEM,EVI,EVI_constant,EVI_cos_1,EVI_cos_2,EVI_cos_3,EVI_sin_1,EVI_sin_2,EVI_sin_3,EVI_t,NDBI,NDBI_constant,NDBI_cos_1,NDBI_cos_2,NDBI_cos_3,NDBI_sin_1,NDBI_sin_2,NDBI_sin_3,NDBI_t,NDVI,NDVI_constant,NDVI_cos_1,NDVI_cos_2,NDVI_cos_3,NDVI_sin_1,NDVI_sin_2,NDVI_sin_3,NDVI_t,SLOPE,lrad,prec,pres,shum,srad,temp,wind,.geo
1_00000000000000000009,34,32,35,53,61,200,200,50,42,1,794,23,327,-131,41,7,-133,109,-85,0,-4,729,240,-186,54,93,-106,91,-3,16,720,-56,-13,13,-88,45,-15,-1,8.959446,365.91666,0.19000112,88663.336,0.012236333,184.08333,292.26334,1.2019972,"{""type"":""Point"",""coordinates"":[101.54353655017918,21.721668011762496]}"
1_0000000000000000000b,34,30,29,48,47,200,200,36,39,1,1178,25,1467,-72,-54,22,-146,22,9,-4,-2,-1264,276,-83,14,160,-126,62,4,24,71,32,-33,2,-22,-38,30,0,1.3636674,359.75,0.13750112,88400.664,0.011415667,200.0,292.5133,1.3259972,"{""type"":""Point"",""coordinates"":[100.4496610934552,21.956667096380144]}"
1_0000000000000000000e,29,27,28,53,57,197,197,39,41,1,767,24,1639,-239,5,7,-205,181,-55,-4,-3,-513,1215,-378,-52,822,-788,353,-1,21,452,74,-6,-44,80,-74,55,0,8.000972,375.91666,0.19333445,90470.0,0.013257001,181.5,293.63333,1.0613306,"{""type"":""Point"",""coordinates"":[101.42900453962143,21.949389843460924]}"
1_0000000000000000001d,30,29,32,54,61,198,198,46,43,1,1171,27,77,-51,-31,28,-95,26,-6,0,-1,-102,48,12,-5,75,2,-2,0,24,24,-29,23,-12,-63,25,-27,0,7.0338635,365.58334,0.18916778,89628.664,0.012261667,196.25,293.09665,1.2879972,"{""type"":""Point"",""coordinates"":[99.66893492641158,22.36737705800883]}"
1_0000000000000000002e,36,31,29,50,49,200,200,34,39,1,105,27,2238,48,-112,171,-182,107,-35,-7,-6,960,-28,-41,15,-18,-1,-4,-3,15,1390,-33,-73,125,-161,53,-10,-4,8.348003,412.66666,0.24416779,98850.664,0.015494334,132.5,296.79666,1.2719972,"{""type"":""Point"",""coordinates"":[103.95659246255458,22.51398338244402]}"
1_00000000000000000034,37,35,38,62,59,199,199,47,47,1,1316,17,-806,51,-1,-30,95,-71,48,3,-4,62,-346,178,-64,-115,198,-103,0,17,-555,-32,-15,-22,7,-2,41,2,5.5157037,354.25,0.16333444,85129.336,0.011496667,200.0,291.65,1.1046638,"{""type"":""Point"",""coordinates"":[100.98191277249767,22.768116469682013]}"
1_00000000000000000040,33,32,35,48,69,201,200,58,42,1,1300,15,979,35,-78,21,-52,2,17,-3,8,1449,177,-97,-20,157,-109,73,-5,13,884,70,-72,0,16,-36,35,-2,1.3680393,361.75,0.15583445,87035.336,0.011996667,202.83333,292.97,1.1019973,"{""type"":""Point"",""coordinates"":[100.94984291772128,22.783478072811135]}"
1_00000000000000000049,26,20,13,32,23,188,188,13,21,1,1055,31,2974,-299,41,95,-187,137,-111,-9,-13,-1945,132,4,-24,165,-68,31,6,17,1735,-338,88,90,-174,107,-67,-4,27.055182,398.25,0.19750112,94396.0,0.014406334,143.83333,295.27667,1.5259972,"{""type"":""Point"",""coordinates"":[103.63400771504514,22.905559341452374]}"
1_0000000000000000005a,27,21,18,36,32,192,191,24,26,1,1509,29,3928,-62,-247,193,-257,165,-51,-13,-7,-2652,-11,37,30,29,34,-12,9,15,1399,-95,-30,78,-60,27,-30,-4,5.0238414,398.91666,0.18083444,94714.0,0.014470667,147.33333,295.52335,1.5913305,"{""type"":""Point"",""coordinates"":[103.69734032730723,22.96808039732274]}"
1_0000000000000000005c,31,30,29,46,50,199,199,38,40,1,1407,24,4202,12,-90,49,-88,60,-18,-14,-7,385,70,-76,81,0,-9,3,-1,14,1458,5,-54,51,-9,-16,-2,-4,5.4602036,363.0,0.19333445,87126.664,0.011112667,147.75,290.15665,1.4893305,"{""type"":""Point"",""coordinates"":[104.32418291699643,22.9486788486392]}"
1_0000000000000000005d,30,26,27,63,56,195,195,31,42,1,641,38,5934,-13,-92,144,-252,102,-57,-20,-11,-770,16,-33,34,14,9,-27,2,19,3168,-105,-86,138,-227,52,-31,-10,20.289303,373.16666,0.18083444,89768.0,0.012148,147.33333,291.62,1.4826639,"{""type"":""Point"",""coordinates"":[104.75375933518227,23.010660353282095]}"
1_00000000000000000069,38,38,41,56,61,201,201,47,50,1,218,16,1671,-194,123,23,-167,108,-93,-5,0,-702,116,-60,0,101,-60,51,2,13,40,-151,80,-18,-80,35,-26,0,2.1108017,395.83334,0.11083445,96238.664,0.012651,189.33333,297.9,1.9579972,"{""type"":""Point"",""coordinates"":[102.84465764656414,23.219520187524445]}"
1_0000000000000000006c,29,26,25,42,47,196,196,37,33,1,1485,24,2460,-117,-35,20,-137,49,-78,-8,-5,-2493,93,-18,-26,132,-96,70,8,20,250,-76,-7,-3,-41,1,-15,0,20.73641,348.41666,0.11166778,83216.664,0.010444,178.16667,289.66998,1.9119973,"{""type"":""Point"",""coordinates"":[103.51974325055059,23.19661378541289]}"
