system:index,B1,B2,B3,B4,B5,B6,B7,Built,DEM,EVI,EVI_constant,EVI_cos_1,EVI_cos_2,EVI_cos_3,EVI_sin_1,EVI_sin_2,EVI_sin_3,EVI_t,NDBI,NDBI_constant,NDBI_cos_1,NDBI_cos_2,NDBI_cos_3,NDBI_sin_1,NDBI_sin_2,NDBI_sin_3,NDBI_t,NDVI,NDVI_constant,NDVI_cos_1,NDVI_cos_2,NDVI_cos_3,NDVI_sin_1,NDVI_sin_2,NDVI_sin_3,NDVI_t,SLOPE,lrad,prec,pres,shum,srad,temp,wind,.geo
0000000000000000024e,28,23,20,43,25,182,13,0,605,16,1140,-140,85,18,-39,23,35,-5,-24,-811,-94,-56,71,-78,-34,56,3,11,961,-191,56,19,-59,37,43,-4,7.0700526,251.25,0.076667786,94290.664,0.004030334,134.41667,271.17667,2.3299973,"{""type"":""Point"",""coordinates"":[124.49774022502359,50.97638081557854]}"
0000000000000000006f,29,29,31,55,62,196,44,0,252,17,139,-144,46,-7,-69,52,-12,0,-5,407,38,-101,-17,128,35,80,-2,15,556,-146,42,-6,-70,43,0,-2,5.2274914,300.5,0.076667786,97070.0,0.0063190004,158.16667,282.74,2.0713305,"{""type"":""Point"",""coordinates"":[117.09606946820671,40.6240158732712]}"
000000000000000003cb,25,22,17,62,47,193,21,0,1167,29,-1626,-149,-29,47,-45,-94,165,11,-12,-51,144,5,2,39,16,-83,0,25,-1893,-102,-70,50,-52,-111,189,12,12.594468,312.5,0.076667786,92567.336,0.0072396672,168.83333,284.75665,2.0353308,"{""type"":""Point"",""coordinates"":[112.40120682386302,35.263770628833385]}"
000000000000000003c2,28,22,18,22,13,187,8,0,513,12,539,-125,20,-15,-17,-38,16,-2,-19,-586,6,-25,-60,5,0,-41,2,12,376,-118,-13,-9,-24,-63,41,-1,10.338484,309.0,0.076667786,91390.664,0.0070300004,168.08333,284.06665,2.1479971,"{""type"":""Point"",""coordinates"":[112.76799018101421,35.243829528922376]}"
00000000000000000304,29,27,28,57,53,197,37,0,491,23,-23,-149,52,10,-100,69,2,1,-10,809,95,-95,-20,86,-37,47,-5,20,-158,-151,37,-4,-77,54,22,2,18.266642,299.5,0.076667786,96621.336,0.006223667,159.0,282.61,1.5106639,"{""type"":""Point"",""coordinates"":[117.35397941403694,40.78247894740749]}"
0000000000000000184f,27,23,23,51,53,192,33,0,357,18,287,-103,88,44,-87,104,-50,0,-27,-929,-184,-102,10,-94,-213,20,4,10,-142,-140,34,23,-94,73,-33,1,2.851071,254.33333,0.076667786,96728.0,0.004046667,148.75,272.77667,1.624664,"{""type"":""Point"",""coordinates"":[124.1193676642345,49.451582292150604]}"
00000000000000000384,25,18,14,26,18,186,10,0,1113,18,207,-175,-1,33,-11,-50,78,0,-17,-488,25,-21,-21,23,16,-63,1,18,-588,-165,-82,54,-30,-78,151,4,20.659191,300.58334,0.076667786,88830.664,0.0065703336,168.75,282.55667,2.0006638,"{""type"":""Point"",""coordinates"":[112.33140851507342,35.274280730016365]}"
00000000000000000091,24,22,20,48,44,190,24,0,632,26,308,-213,180,-29,-89,63,-30,0,-13,-122,116,-141,-13,40,-44,30,0,21,606,-182,112,-16,-97,56,-12,-2,1.8543341,254.66667,0.076667786,93144.664,0.004102667,163.66667,274.72665,2.7713306,"{""type"":""Point"",""coordinates"":[122.12699672254436,47.95508122400785]}"
000000000000000001bf,29,23,20,30,29,175,14,0,577,20,-1441,-345,-1,-138,-41,34,-6,9,-19,-1195,-54,-214,-38,25,-68,-5,5,16,-668,-280,53,-32,-55,52,0,5,14.746403,254.66667,0.076667786,93589.336,0.0042440007,162.16667,274.63666,2.5473306,"{""type"":""Point"",""coordinates"":[122.11190266547842,48.34800383153434]}"
00000000000000000183,36,25,21,32,22,166,11,0,769,16,-523,-230,12,-4,-50,42,-11,3,-24,-527,-56,-85,-11,-14,-67,23,1,12,-840,-244,1,34,-73,89,-13,5,15.621232,244.91667,0.076667786,91217.336,0.0038016671,157.0,271.97333,1.8746638,"{""type"":""Point"",""coordinates"":[122.48111177360268,49.12953709586864]}"
