system:index,B1,B2,B3,B4,B5,B6_VCID_1,B6_VCID_2,B7,B8,Built,DEM,EVI,EVI_constant,EVI_cos_1,EVI_cos_2,EVI_cos_3,EVI_sin_1,EVI_sin_2,EVI_sin_3,EVI_t,NDBI,NDBI_constant,NDBI_cos_1,NDBI_cos_2,NDBI_cos_3,NDBI_sin_1,NDBI_sin_2,NDBI_sin_3,NDBI_t,NDVI,NDVI_constant,NDVI_cos_1,NDVI_cos_2,NDVI_cos_3,NDVI_sin_1,NDVI_sin_2,NDVI_sin_3,NDVI_t,SLOPE,lrad,prec,pres,shum,srad,temp,wind,.geo
00000000000000000851,23,19,14,54,38,190,190,17,31,0,578,30,1015,-139,181,19,-30,53,1,-2,-21,-791,-143,-179,-6,-121,-134,-39,1,23,2079,-160,123,34,-76,82,-15,-6,4.5506387,239.0,0.076667786,92952.664,0.0036540003,149.75,268.81,2.5919974,"{""type"":""Point"",""coordinates"":[120.51218232615052,51.450962940696776]}"
000000000000000012ee,23,20,21,59,49,192,193,20,39,0,532,37,786,-208,110,17,-44,28,-9,-1,-20,-2629,-119,-176,13,-73,-120,15,8,26,2307,-220,86,-2,-75,10,50,-7,11.904075,250.0,0.076667786,94840.664,0.004075667,151.08333,271.81,1.8006638,"{""type"":""Point"",""coordinates"":[123.7361480606003,49.79518724202598]}"
00000000000000001283,25,20,16,38,30,184,183,15,30,0,878,26,463,-162,105,17,-67,69,-3,0,-20,-2290,-62,-75,2,-84,-82,50,7,19,784,-161,64,24,-91,45,53,-2,4.0680413,235.25,0.076667786,90724.0,0.0036263338,145.33333,268.13333,1.8033305,"{""type"":""Point"",""coordinates"":[122.67461000471593,51.45689354509786]}"
000000000000000012e1,26,20,16,41,28,185,185,13,28,0,550,28,1355,-244,121,-36,-35,86,20,-4,-20,-1434,-85,-138,-12,-117,-114,21,4,27,2489,-212,152,21,-54,95,49,-8,10.096576,239.25,0.076667786,93636.0,0.0036553338,147.33333,268.67667,2.4193306,"{""type"":""Point"",""coordinates"":[120.61378294365326,51.891856557356235]}"
00000000000000001311,24,20,18,40,32,186,186,15,30,0,776,29,647,-214,88,8,-31,28,6,-1,-19,-553,8,-51,54,-74,-72,72,1,20,1077,-208,77,60,-79,65,32,-3,15.453905,241.5,0.076667786,91953.336,0.0036900004,153.58333,270.28665,2.2239974,"{""type"":""Point"",""coordinates"":[122.53447383590927,49.81917274659247]}"
000000000000000004c7,28,26,26,66,48,193,193,24,47,0,668,26,-2992,-218,108,2,-40,152,-64,12,-25,1152,-190,-117,-29,-60,-173,18,-4,15,-1922,-213,67,12,-78,114,-28,8,1.3418803,254.5,0.076667786,92240.0,0.0038570005,168.58333,274.24332,2.2133305,"{""type"":""Point"",""coordinates"":[120.34806065277738,46.285830121953545]}"
000000000000000004fd,29,27,29,58,65,197,197,33,42,0,746,26,-1394,-129,11,5,-53,58,17,6,-23,672,-231,-113,-48,-56,-108,-11,-3,15,-803,-182,13,17,-109,99,-21,3,8.364534,254.5,0.076667786,92240.0,0.0038570005,168.58333,274.24332,2.2133305,"{""type"":""Point"",""coordinates"":[120.32057475388393,46.28502302466287]}"
00000000000000000575,29,27,31,63,68,197,197,39,44,0,719,26,-2368,-161,33,-2,-23,129,-15,9,-28,-1647,-251,-93,-25,-101,-122,70,5,14,-1555,-186,20,14,-83,94,7,6,0.0,254.5,0.076667786,92240.0,0.0038570005,168.58333,274.24332,2.2133305,"{""type"":""Point"",""coordinates"":[120.30467359952736,46.27774577174364]}"
0000000000000000063e,28,26,26,56,61,197,197,38,41,0,1283,23,-981,-182,34,16,-126,70,34,4,-3,149,115,-68,-43,95,-43,-39,0,22,-756,-167,1,1,-134,67,24,3,12.102999,297.25,0.076667786,89334.664,0.0063630007,164.58333,282.58334,3.5913308,"{""type"":""Point"",""coordinates"":[113.55194919632157,38.204226718305094]}"
00000000000000001349,25,21,20,47,31,185,185,15,33,0,1005,26,113,-102,111,33,-39,60,33,0,-25,-899,-41,-85,-30,-52,-67,58,2,19,543,-97,93,88,-84,84,77,-1,3.4896355,223.75,0.076667786,86500.664,0.0031586671,148.41667,265.26,1.9499972,"{""type"":""Point"",""coordinates"":[121.81842247054485,51.20787950586923]}"
0000000000000000074f,29,25,23,52,61,198,198,37,40,0,819,25,-408,-187,46,9,-97,51,23,2,2,190,177,-33,-33,51,-50,-45,0,24,-624,-145,7,10,-92,22,44,3,27.665094,305.75,0.076667786,92514.664,0.006850667,165.41667,284.40332,3.9773307,"{""type"":""Point"",""coordinates"":[113.48565128185895,38.47183520892659]}"
000000000000000012d6,26,22,25,44,53,191,191,39,35,0,1702,27,-84,-164,56,-9,-101,75,-48,1,-6,997,170,-37,57,6,-71,54,-3,29,-930,-215,74,-2,-80,48,25,4,29.26562,278.41666,0.076667786,84192.0,0.005568334,169.58333,279.66998,5.0653305,"{""type"":""Point"",""coordinates"":[113.52957788633643,38.845623813832745]}"
000000000000000011f8,28,25,23,56,56,196,196,37,37,0,695,26,545,-199,26,-19,-77,22,26,-1,-2,130,144,-50,-15,46,-37,-20,0,25,706,-189,8,-7,-99,1,53,-1,22.200882,295.16666,0.076667786,88878.664,0.0062583336,165.08333,282.30334,3.778664,"{""type"":""Point"",""coordinates"":[113.56542459970508,38.32496133842819]}"
00000000000000001240,28,25,23,56,56,196,196,37,37,0,695,26,545,-199,26,-19,-77,22,26,-1,-2,130,144,-50,-15,46,-37,-20,0,25,706,-189,8,-7,-99,1,53,-1,22.200882,295.16666,0.076667786,88878.664,0.0062583336,165.08333,282.30334,3.778664,"{""type"":""Point"",""coordinates"":[113.56542459970508,38.32496133842819]}"
0000000000000000086d,24,21,17,43,51,194,194,21,31,0,887,31,682,-165,147,-51,-70,74,-51,-1,-21,-779,-195,-90,90,-147,-117,139,1,19,725,-197,94,-15,-82,42,21,-1,1.8543341,227.83333,0.076667786,88365.336,0.0033030005,148.58333,266.23334,2.0153306,"{""type"":""Point"",""coordinates"":[121.70335090875962,51.276598712203885]}"
0000000000000000137f,24,19,17,48,31,188,188,13,32,0,995,31,711,-56,175,47,-14,74,52,-1,-27,-1568,-184,-138,38,-107,-123,49,4,23,621,-63,158,79,-48,89,122,-1,9.066495,227.83333,0.076667786,88332.0,0.0032630004,146.41667,266.05664,2.066664,"{""type"":""Point"",""coordinates"":[121.53626393318595,51.567653156164404]}"
000000000000000005ad,30,29,32,52,60,200,200,46,42,0,198,20,-134,-200,54,-9,-83,108,-41,1,-3,75,86,-86,-38,51,-51,17,0,15,-36,-132,1,17,-68,49,-2,0,3.0207243,323.66666,0.076667786,98692.664,0.007407667,157.0,286.87,2.8679974,"{""type"":""Point"",""coordinates"":[114.08797327485526,38.37185324510624]}"
0000000000000000136e,30,20,17,21,21,178,178,12,20,0,523,21,29,-276,65,-9,-53,36,44,0,-15,-819,50,-81,-30,58,-32,-47,2,17,81,-243,-1,22,-72,17,62,0,30.016626,323.66666,0.076667786,98692.664,0.007407667,157.0,286.87,2.8679974,"{""type"":""Point"",""coordinates"":[114.13594428398822,38.533816713569486]}"
000000000000000004c9,31,29,28,61,58,200,200,37,46,0,4,27,1733,-258,50,35,-240,189,-80,-5,-10,383,122,-64,-46,130,-155,29,-1,21,916,-159,28,6,-151,87,-23,-2,2.2092426,313.91666,0.076667786,101346.0,0.0068640006,159.58333,285.04,2.6333306,"{""type"":""Point"",""coordinates"":[117.93986070144919,39.49618436202523]}"
000000000000000005f0,36,34,36,57,54,200,200,37,48,0,347,23,767,-200,-45,70,-137,35,15,-1,-12,-1563,111,3,-74,28,4,-53,5,18,-293,-142,-40,21,-113,28,22,1,1.8543341,331.91666,0.076667786,94192.0,0.008190334,160.5,287.84332,3.082664,"{""type"":""Point"",""coordinates"":[110.51177868909271,34.938492584287665]}"
0000000000000000126d,31,22,17,26,20,175,175,10,23,0,794,26,-312,-327,57,-28,0,1,18,1,-26,-944,-125,-166,-1,21,-24,25,2,20,34,-325,49,4,-46,56,19,0,28.387123,243.16667,0.076667786,92580.0,0.0037823336,153.41667,270.62665,2.092664,"{""type"":""Point"",""coordinates"":[122.79210731747422,49.776592790633124]}"
000000000000000012fc,24,19,17,41,33,187,187,15,29,0,846,27,1,-183,105,1,-27,34,13,0,-22,800,-38,-9,76,-68,-79,27,-3,20,348,-205,76,32,-71,56,25,0,7.003715,243.16667,0.076667786,92580.0,0.0037823336,153.41667,270.62665,2.092664,"{""type"":""Point"",""coordinates"":[122.76812181290774,49.790607745244095]}"
000000000000000005d8,28,23,25,64,38,195,195,18,40,0,996,48,917,-160,36,-109,27,108,-110,-2,-33,-715,-268,-69,4,-201,-308,105,1,16,571,-233,54,-32,-93,121,-92,-1,4.1477017,246.41667,0.076667786,89468.0,0.0036160005,168.0,272.21332,2.2573307,"{""type"":""Point"",""coordinates"":[120.21169688346195,46.6059891184899]}"
0000000000000000075e,29,25,25,46,29,186,186,15,34,0,1089,27,-1828,-165,91,-7,-85,123,22,7,-24,-1250,-159,-43,0,-92,-147,40,3,18,-501,-215,25,40,-116,76,20,2,15.180985,246.41667,0.076667786,89468.0,0.0036160005,168.0,272.21332,2.2573307,"{""type"":""Point"",""coordinates"":[120.22139988735427,46.563409162530554]}"
000000000000000012ed,24,19,16,53,46,193,193,21,34,0,968,37,-383,-119,67,14,-31,36,-10,2,-30,-738,-240,-77,2,-178,-42,122,1,23,-233,-181,53,36,-94,42,64,1,9.742291,229.66667,0.076667786,89006.664,0.0034023337,148.75,266.73334,1.956664,"{""type"":""Point"",""coordinates"":[121.89954243690916,51.135383440942306]}"
000000000000000006df,22,16,12,22,11,184,184,5,14,0,720,19,-515,-123,146,-54,-3,55,-5,2,-43,-1435,-228,-139,-57,-109,-83,109,3,11,-231,-158,165,-29,-42,77,24,1,3.1199977,234.66667,0.076667786,91294.664,0.0035470005,146.41667,267.80334,1.9953306,"{""type"":""Point"",""coordinates"":[121.681523609103,51.536122852615485]}"
000000000000000013c1,23,19,16,44,34,189,189,14,29,0,624,26,793,-101,175,-4,-15,86,33,-1,-18,-453,-163,-184,20,-151,-171,-9,0,22,2086,-128,183,30,-58,86,45,-6,6.2733455,234.66667,0.076667786,91632.0,0.0035000003,146.25,267.53,2.3086638,"{""type"":""Point"",""coordinates"":[120.81536552497641,51.949526111280456]}"
0000000000000000052a,27,27,29,60,60,200,199,42,44,0,198,22,-78,-161,-11,34,-114,134,-62,1,-6,-157,89,-46,-54,83,-69,10,0,17,-570,-123,-26,13,-90,77,-24,2,4.812122,323.33334,0.076667786,98744.0,0.007244,154.91667,286.66,2.5973306,"{""type"":""Point"",""coordinates"":[114.23889155000913,38.392601442307914]}"
000000000000000007d1,30,26,22,70,46,198,198,24,47,0,23,35,1598,-147,9,192,-26,-50,-101,-4,-11,-1217,131,-6,-142,12,25,63,3,28,1056,-93,-1,137,-11,-51,-62,-2,2.3376563,323.83334,0.076667786,101100.0,0.007728667,160.66667,286.35,1.8373306,"{""type"":""Point"",""coordinates"":[116.04989301545146,37.525640719991706]}"
00000000000000000a42,48,60,74,83,106,207,207,89,77,0,1759,5,-71,2,6,-7,0,0,0,0,3,-1039,-75,-60,-52,29,-15,63,3,4,-106,-1,0,-4,1,0,5,0,0.0,251.0,0.02083445,81998.0,0.003399667,195.66667,276.66,3.9839973,"{""type"":""Point"",""coordinates"":[106.90513290223619,41.40932599619775]}"
