system:index,B1,B10,B11,B2,B3,B4,B5,B6,B7,B8,B9,Built,DEM,EVI,EVI_constant,EVI_cos_1,EVI_cos_2,EVI_cos_3,EVI_sin_1,EVI_sin_2,EVI_sin_3,EVI_t,NDBI,NDBI_constant,NDBI_cos_1,NDBI_cos_2,NDBI_cos_3,NDBI_sin_1,NDBI_sin_2,NDBI_sin_3,NDBI_t,NDVI,NDVI_constant,NDVI_cos_1,NDVI_cos_2,NDVI_cos_3,NDVI_sin_1,NDVI_sin_2,NDVI_sin_3,NDVI_t,SLOPE,lrad,prec,pres,shum,srad,temp,wind,.geo
000000000000000009ae,35,199,196,29,24,21,60,46,28,23,0,0,566,29,355,-236,10,46,-91,-10,25,0,-13,-350,83,-26,-14,8,-21,-13,0,21,571,-193,-11,49,-83,-36,26,-1,20.984318,328.25,0.076667786,96682.0,0.006988,148.66667,286.76334,2.572664,"{""type"":""Point"",""coordinates"":[113.91199039267997,36.61959597694203]}"
00000000000000000b5b,31,193,191,26,24,20,82,54,29,24,1,0,643,42,-330,-310,85,19,-71,-21,92,2,-16,-526,145,-48,-1,73,18,-68,1,26,-756,-206,25,46,-25,-33,76,3,15.872416,298.75,0.076667786,94630.664,0.0058130003,155.5,282.28998,1.9919972,"{""type"":""Point"",""coordinates"":[117.67171265960023,40.38147198967111]}"
00000000000000000b6c,31,186,185,25,17,13,29,22,11,17,1,0,687,38,1145,-410,60,13,-31,-38,105,-2,-26,431,78,-111,-60,78,49,-34,-2,23,750,-356,-47,36,-6,-25,100,-1,22.27799,298.75,0.076667786,94630.664,0.0058130003,155.5,282.28998,1.9919972,"{""type"":""Point"",""coordinates"":[117.62131589949416,40.35560028535901]}"
000000000000000000aa,45,203,201,40,39,43,60,67,55,41,0,0,141,19,2458,-177,101,-10,-76,72,-83,-7,-13,2573,46,-27,17,90,-81,54,-9,12,1818,-123,57,4,-43,36,-46,-5,1.8543341,335.25,0.076667786,98706.0,0.0071810004,145.66667,287.74332,2.6593306,"{""type"":""Point"",""coordinates"":[114.11599872497617,36.321808290390805]}"
0000000000000000067e,38,206,202,34,31,31,62,49,37,29,0,0,150,27,618,-209,26,20,-133,59,-39,-1,-15,268,73,-20,-19,88,-31,47,-1,17,484,-144,-9,36,-91,14,-15,0,4.686783,335.25,0.076667786,98706.0,0.0071810004,145.66667,287.74332,2.6593306,"{""type"":""Point"",""coordinates"":[114.16208353436352,36.32450158742708]}"
00000000000000000aa5,34,201,198,29,25,22,70,50,29,23,0,0,495,33,205,-250,52,-15,-88,33,-15,0,-16,-903,148,35,-17,2,-36,5,2,19,273,-207,69,12,-85,54,-14,0,1.4600172,335.5,0.076667786,94048.664,0.008009667,151.0,287.48666,2.936664,"{""type"":""Point"",""coordinates"":[110.70689557388833,34.6883994426041]}"
0000000000000000000d,32,188,188,26,20,17,31,32,21,17,1,0,754,24,-573,-230,28,10,-62,30,38,2,-15,632,163,16,-18,51,-34,-70,-2,16,-978,-183,-21,29,-56,-8,57,4,28.05338,315.75,0.076667786,94304.0,0.007184667,163.58333,286.03665,3.848664,"{""type"":""Point"",""coordinates"":[113.34766885886111,38.475068057190335]}"
00000000000000000aaf,30,190,189,25,22,21,54,47,27,20,1,0,1063,32,-333,-156,127,-2,-68,61,-7,2,-33,685,-105,-81,78,-39,-97,51,-3,19,-508,-172,46,20,-62,24,27,2,10.313292,235.08333,0.076667786,89792.0,0.0034456672,147.66667,268.36334,2.1046638,"{""type"":""Point"",""coordinates"":[122.76273521883519,50.86292790747571]}"
00000000000000000bb3,39,186,185,33,25,21,30,19,14,26,1,0,513,19,-836,-161,6,23,-38,-5,18,3,-21,-773,65,0,0,21,-9,-21,2,11,-529,-108,-17,21,-37,-27,33,2,10.338484,318.16666,0.076667786,91498.0,0.006874667,154.5,284.87668,2.040664,"{""type"":""Point"",""coordinates"":[112.76799018101421,35.243829528922376]}"
0000000000000000005c,39,205,203,34,32,33,45,51,46,30,0,0,316,12,-672,-101,1,-4,-41,25,1,2,-9,1178,17,0,-11,37,-25,-24,-4,8,-143,-82,-13,13,-35,16,5,0,8.478147,326.41666,0.076667786,98045.336,0.007678667,152.25,286.94,3.1413307,"{""type"":""Point"",""coordinates"":[114.2817390520317,38.85101486700636]}"
000000000000000008ea,32,186,185,26,22,19,40,37,21,17,1,0,745,28,-78,-168,78,8,-72,81,-24,1,-22,149,-12,-80,59,3,-107,44,-1,19,-1110,-186,25,31,-73,69,-6,4,4.529996,237.33333,0.076667786,91313.336,0.003547667,146.0,268.75998,2.0273306,"{""type"":""Point"",""coordinates"":[123.42191520936397,51.23240456166318]}"
00000000000000000963,31,191,189,26,23,21,61,57,33,24,1,0,1150,34,-196,-136,122,-29,-61,49,-16,1,-32,-942,-111,-214,15,11,-96,31,2,19,-419,-177,45,-19,-46,21,-11,2,31.18622,237.33333,0.076667786,91313.336,0.003547667,146.0,268.75998,2.0273306,"{""type"":""Point"",""coordinates"":[123.40035991487161,51.273365863940136]}"
000000000000000005e8,31,195,193,25,21,17,56,46,25,19,0,0,541,31,593,-51,70,26,-65,46,-42,0,-26,-1778,-174,-181,37,-65,-124,15,5,17,-963,-127,3,9,-91,42,-28,4,0.92740995,252.33333,0.076667786,94312.0,0.0038956671,155.66667,273.19333,2.370664,"{""type"":""Point"",""coordinates"":[122.74117546524178,49.27721806365771]}"
0000000000000000072b,32,187,186,26,21,17,43,31,20,18,1,0,540,35,245,-257,113,-8,-62,58,-5,0,-26,-570,100,-92,34,-4,-107,10,1,22,-705,-253,46,14,-99,63,12,3,0.0,252.33333,0.076667786,94312.0,0.0038956671,155.66667,273.19333,2.370664,"{""type"":""Point"",""coordinates"":[122.76084901908956,49.27775761488519]}"
0000000000000000095c,29,192,190,24,20,13,93,46,19,17,0,0,900,44,-809,-227,117,-17,-118,76,0,4,-31,328,-72,-178,52,-35,-149,-26,-2,25,-589,-234,40,-12,-120,37,21,3,22.44008,243.83333,0.076667786,90620.0,0.0035613338,156.41667,271.32,2.3646638,"{""type"":""Point"",""coordinates"":[122.72850715914892,49.14112629950655]}"
0000000000000000090e,30,191,189,24,19,15,61,35,16,18,0,0,648,35,-855,-225,122,1,-75,61,-6,4,-27,801,8,-107,28,-24,-49,45,-3,20,-1479,-220,46,16,-99,75,29,6,3.4457436,244.83333,0.076667786,93320.0,0.003811667,148.75,270.59332,2.0993307,"{""type"":""Point"",""coordinates"":[123.72941035890854,50.37783568117448]}"
00000000000000001013,34,184,184,28,24,23,40,32,18,25,1,0,409,27,-1016,-276,79,-40,-68,62,-8,4,-19,1472,21,-192,-63,66,-49,-9,-5,16,-664,-230,36,-23,-27,42,-7,3,11.247094,293.66666,0.076667786,94824.0,0.005525667,163.25,281.96664,2.974664,"{""type"":""Point"",""coordinates"":[119.55709638971506,40.46420615061675]}"
0000000000000000063e,32,194,193,28,25,26,55,60,46,26,1,0,1283,28,62,-174,25,13,-107,51,23,0,-9,800,163,22,-19,71,-39,-26,-3,21,714,-102,-6,4,-93,6,47,-1,12.102999,301.91666,0.076667786,89448.664,0.006504667,161.33333,283.16333,3.7059972,"{""type"":""Point"",""coordinates"":[113.55194919632157,38.204226718305094]}"
000000000000000009b7,30,189,188,25,23,16,81,47,22,20,1,0,846,40,-100,-235,135,-20,-84,35,28,1,-29,404,-38,-156,-2,-17,-134,-34,-2,23,-398,-219,48,-7,-98,21,47,2,18.341902,245.16667,0.076667786,91106.664,0.0036303338,156.16667,271.52,2.3213305,"{""type"":""Point"",""coordinates"":[122.85490037850883,49.152443497980194]}"
000000000000000009e0,30,186,185,24,20,18,48,34,17,19,1,0,917,36,-23,-246,129,-17,-60,33,26,1,-30,225,-14,-88,41,-30,-96,8,-1,22,231,-249,71,-8,-85,22,62,0,2.3338518,245.16667,0.076667786,91106.664,0.0036303338,156.16667,271.52,2.3213305,"{""type"":""Point"",""coordinates"":[122.8697224304105,49.16483979890877]}"
00000000000000000957,31,193,191,26,23,16,81,47,20,20,1,0,623,42,1122,-246,152,-30,-102,66,-11,-2,-29,-932,-25,-189,5,-23,-100,-39,2,26,881,-217,57,-17,-98,46,6,-1,13.914235,246.16667,0.076667786,92759.336,0.0037793338,152.41667,271.24335,2.2219973,"{""type"":""Point"",""coordinates"":[123.14191041781389,49.67930412384904]}"
00000000000000000b27,33,198,196,28,24,21,66,53,31,21,0,0,886,32,-260,-219,3,50,-101,11,25,2,-11,807,91,-1,-2,22,-23,-38,-3,22,325,-172,-22,58,-108,-22,28,0,23.758543,313.58334,0.076667786,92451.336,0.0063256673,148.66667,284.16666,2.7353306,"{""type"":""Point"",""coordinates"":[114.04404667037777,36.94622512910695]}"
00000000000000000acb,43,170,171,34,22,16,27,16,10,20,1,0,1208,22,866,-347,-40,-82,-34,40,0,-2,-34,-240,-110,-173,-67,-49,-47,41,0,12,-364,-292,-22,-3,-74,75,26,1,17.097286,236.91667,0.076667786,88839.336,0.0032640004,156.5,269.70334,2.6506639,"{""type"":""Point"",""coordinates"":[121.99494490394761,49.50089994980172]}"
000000000000000012cf,39,212,210,38,47,62,75,96,90,53,0,0,1600,8,-161,3,0,2,4,2,2,0,1,2887,-16,37,-25,-119,-20,-17,-10,7,269,0,7,-1,-17,0,0,0,3.6376677,282.0,0.02083445,83730.664,0.0049730004,199.0,282.77332,4.4193306,"{""type"":""Point"",""coordinates"":[103.51327309492204,37.898889773670376]}"
0000000000000000136d,39,214,211,38,46,61,75,96,89,53,0,0,1597,8,-131,-3,2,1,3,6,0,0,0,2321,-29,24,-20,-104,-15,-14,-8,7,248,-6,6,0,-17,0,0,0,1.8543341,282.0,0.02083445,83730.664,0.0049730004,199.0,282.77332,4.4193306,"{""type"":""Point"",""coordinates"":[103.54992690558137,37.86628036766653]}"
00000000000000001250,41,212,211,40,48,63,78,96,86,52,1,0,1123,9,-43,-3,3,-2,-7,4,3,0,3,-300,19,-27,-6,-5,-26,-15,1,8,-5,2,-5,0,-11,1,2,0,6.911343,274.25,0.02083445,88607.336,0.0031953338,193.08333,282.44,4.7153306,"{""type"":""Point"",""coordinates"":[103.72078628064627,41.22202591554882]}"
00000000000000001248,46,213,208,46,58,79,98,118,108,65,0,0,916,9,211,-3,4,4,1,3,3,0,3,-59,-25,5,-18,-5,19,6,0,9,89,-7,4,0,-2,9,3,0,7.23646,280.25,0.02083445,90814.664,0.0037730006,187.25,283.06665,5.225331,"{""type"":""Point"",""coordinates"":[106.72079812378777,42.18115625663976]}"
000000000000000014ad,39,210,207,38,46,59,77,90,79,50,0,0,1523,11,101,-18,-6,4,-18,6,4,0,-2,-1816,-26,-15,47,29,-2,41,6,9,-313,-21,-5,14,-17,13,19,1,7.526063,284.25,0.02083445,84452.664,0.004941667,194.66667,282.45667,2.9573307,"{""type"":""Point"",""coordinates"":[104.84107299290977,37.76683795507365]}"
