system:index,B1,B2,B3,B4,B5,B6_VCID_1,B6_VCID_2,B7,B8,Built,DEM,EVI,EVI_constant,EVI_cos_1,EVI_cos_2,EVI_cos_3,EVI_sin_1,EVI_sin_2,EVI_sin_3,EVI_t,NDBI,NDBI_constant,NDBI_cos_1,NDBI_cos_2,NDBI_cos_3,NDBI_sin_1,NDBI_sin_2,NDBI_sin_3,NDBI_t,NDVI,NDVI_constant,NDVI_cos_1,NDVI_cos_2,NDVI_cos_3,NDVI_sin_1,NDVI_sin_2,NDVI_sin_3,NDVI_t,SLOPE,lrad,prec,pres,shum,srad,temp,wind,.geo
000000000000000016bd,35,34,33,63,57,200,199,39,47,0,13,31,181,-104,-17,172,-43,16,-95,0,-11,427,86,16,-146,-13,-7,65,-2,24,-279,-44,-17,127,0,-20,-58,2,1.4960234,319.5,0.076667786,101220.0,0.007355334,168.25,286.23666,2.1193306,"{""type"":""Point"",""coordinates"":[116.92278434216873,37.827740357261604]}"
00000000000000001b5c,32,30,28,70,35,201,201,21,44,0,30,42,3769,-96,-109,266,-78,129,-161,-12,-18,-2289,67,58,-118,-71,-34,76,7,30,321,-68,-109,196,-18,87,-45,0,1.4475102,340.58334,0.076667786,100978.664,0.008071667,161.5,288.77335,2.238664,"{""type"":""Point"",""coordinates"":[115.84265183489147,33.45923485991858]}"
0000000000000000172e,34,32,37,72,58,202,202,40,50,0,109,30,797,-136,0,83,-79,69,-105,-1,-16,3831,9,-90,-79,-14,-74,56,-14,20,986,-103,-39,56,-28,28,-65,-2,4.666567,324.5,0.076667786,100074.0,0.008043334,159.83333,286.03998,2.4273305,"{""type"":""Point"",""coordinates"":[119.60075544812933,35.97011453120448]}"
00000000000000001816,29,25,24,62,41,198,198,21,38,0,92,28,811,-187,13,61,-47,5,-77,-1,-18,273,82,-81,-117,30,19,-1,-1,20,1555,-143,-44,66,-47,-18,-37,-4,1.4740185,324.5,0.076667786,100074.0,0.008043334,159.83333,286.03998,2.4273305,"{""type"":""Point"",""coordinates"":[119.58431474254527,35.973619384632485]}"
00000000000000001b04,35,30,30,67,42,198,198,24,48,0,88,40,1946,-121,-18,130,-70,51,-105,-5,-19,1512,-4,-35,-124,-3,-46,65,-6,26,2099,-95,-51,105,-31,21,-57,-6,3.4344795,324.5,0.076667786,100074.0,0.008043334,159.83333,286.03998,2.4273305,"{""type"":""Point"",""coordinates"":[119.60452784762055,35.983322388524776]}"
000000000000000017e8,38,38,39,76,57,200,200,34,53,0,30,28,344,-239,26,61,-150,72,-59,0,-11,1103,74,-27,-40,72,-25,20,-4,21,-212,-131,-27,56,-91,22,-3,1,1.4848927,328.0,0.076667786,101096.0,0.007822334,162.91667,287.12332,2.1699972,"{""type"":""Point"",""coordinates"":[116.29917460074326,36.913348177039886]}"
000000000000000014e0,47,49,59,77,89,201,200,73,64,0,241,15,1127,-80,4,27,-53,30,-13,-3,-3,-307,-26,-68,-9,-4,-73,-35,1,10,459,-49,-17,22,-27,2,-2,-1,10.382398,311.75,0.076667786,98310.664,0.0068820002,168.66667,284.62332,2.5833306,"{""type"":""Point"",""coordinates"":[120.01523780924923,37.03192459225312]}"
000000000000000019f2,34,33,34,64,64,201,202,41,47,0,420,25,162,-148,34,-11,-87,36,-9,0,-8,1249,23,-77,-23,2,-92,-80,-4,17,-209,-103,-12,7,-59,10,6,1,21.68171,311.75,0.076667786,98310.664,0.0068820002,168.66667,284.62332,2.5833306,"{""type"":""Point"",""coordinates"":[120.07641221660144,37.0820493471949]}"
00000000000000001c3d,31,28,29,66,46,200,200,27,46,0,31,33,1834,-120,-42,171,-18,-24,-132,-5,-16,-1232,32,28,-117,-28,11,104,3,25,896,-71,-57,125,2,-43,-82,-2,1.4809457,329.75,0.076667786,101038.0,0.007993334,161.83333,287.3033,2.2999973,"{""type"":""Point"",""coordinates"":[116.15607312973607,36.57782757737441]}"
00000000000000001cf5,33,31,31,65,57,202,202,35,43,0,32,32,-96,-151,-36,169,9,-62,-100,1,-14,285,35,45,-133,-61,68,63,-1,23,-431,-95,-54,141,24,-72,-53,2,2.9630544,329.75,0.076667786,101038.0,0.007993334,161.83333,287.3033,2.2999973,"{""type"":""Point"",""coordinates"":[116.0889681179828,36.71230514694423]}"
0000000000000000190d,32,29,28,61,46,200,200,28,45,0,10,29,405,-207,-13,84,-110,25,-16,0,-18,581,117,-32,-62,33,-43,2,-2,21,353,-120,-42,44,-69,-16,23,0,0.0,327.16666,0.076667786,101288.0,0.0075753336,160.58333,286.94666,2.2413306,"{""type"":""Point"",""coordinates"":[118.06786811539047,37.135411409501486]}"
00000000000000001155,40,33,32,35,29,182,182,22,35,1,33,10,-526,-79,28,-9,8,-15,4,2,-7,3319,-10,-51,1,13,-49,0,-12,7,325,-61,0,4,-6,-4,8,0,1.8543341,329.25,0.076667786,101438.0,0.008275667,156.25,286.67667,3.5293307,"{""type"":""Point"",""coordinates"":[120.20873158126143,35.96391638074019]}"
0000000000000000119f,40,33,32,45,49,201,201,39,37,1,14,11,-547,-73,0,4,6,-3,7,2,-8,1622,-37,-67,29,15,-39,-5,-6,7,67,-51,-21,11,-9,-3,10,0,1.4738556,329.25,0.076667786,101438.0,0.008275667,156.25,286.67667,3.5293307,"{""type"":""Point"",""coordinates"":[120.19957258769765,35.95906487879403]}"
00000000000000000acc,40,39,39,62,58,201,200,43,49,1,17,16,396,-138,9,27,-66,35,-9,0,-7,-430,80,-62,-1,63,-44,26,1,14,289,-96,-18,27,-58,18,12,0,1.4957913,319.75,0.076667786,101254.0,0.0073820003,167.75,286.19666,2.1553307,"{""type"":""Point"",""coordinates"":[117.00255766001484,37.80914590586873]}"
