system:index,B1,B2,B3,B4,B5,B6,B7,Built,DEM,EVI,EVI_constant,EVI_cos_1,EVI_cos_2,EVI_cos_3,EVI_sin_1,EVI_sin_2,EVI_sin_3,EVI_t,NDBI,NDBI_constant,NDBI_cos_1,NDBI_cos_2,NDBI_cos_3,NDBI_sin_1,NDBI_sin_2,NDBI_sin_3,NDBI_t,NDVI,NDVI_constant,NDVI_cos_1,NDVI_cos_2,NDVI_cos_3,NDVI_sin_1,NDVI_sin_2,NDVI_sin_3,NDVI_t,SLOPE,lrad,prec,pres,shum,srad,temp,wind,.geo
00000000000000002053,26,22,17,60,37,192,17,0,1115,24,-141,-174,-49,9,-125,-25,88,3,-17,-17,24,43,35,135,86,-48,-1,21,131,-106,-171,-56,-233,-121,116,1,29.654037,333.5,0.15750112,89471.336,0.008455,131.0,284.65332,1.2726638,"{""type"":""Point"",""coordinates"":[110.21722385080523,29.764463858942804]}"
0000000000000000219e,25,21,14,53,30,192,13,0,1252,25,766,-214,37,12,-29,14,5,-3,-19,-569,16,55,72,154,102,-20,2,21,638,-151,-111,-57,-137,-72,56,-2,29.084978,333.5,0.15750112,89471.336,0.008455,131.0,284.65332,1.2726638,"{""type"":""Point"",""coordinates"":[110.22126379635965,29.771201560634562]}"
00000000000000002588,25,20,14,42,23,192,11,0,921,22,883,21,-80,-63,-235,-168,21,-3,-18,-191,48,28,46,54,46,-28,0,20,1366,14,-163,-93,-318,-241,61,-6,26.232643,333.5,0.15750112,89471.336,0.008455,131.0,284.65332,1.2726638,"{""type"":""Point"",""coordinates"":[110.13610388444094,29.738324608567506]}"
00000000000000001b32,27,23,19,42,43,187,22,0,1604,26,511,-151,85,-9,-83,8,8,-1,-12,-114,103,6,-53,25,-18,-20,0,24,671,-112,81,13,-71,-14,20,-2,20.33187,322.91666,0.12750112,85381.336,0.007042334,132.0,282.79333,0.42266384,"{""type"":""Point"",""coordinates"":[109.00206976362965,30.495332817107858]}"
00000000000000002365,29,21,19,48,27,190,12,0,707,24,127,-81,28,-10,-50,-94,9,1,-18,-471,116,3,-16,11,50,-20,2,19,406,-68,26,-26,-58,-115,0,0,26.54856,359.58334,0.15000111,97085.336,0.009866667,133.0,288.92667,0.9686639,"{""type"":""Point"",""coordinates"":[110.01698791800025,28.63959319079634]}"
00000000000000001d44,26,26,19,73,56,196,28,0,816,35,1617,-176,106,45,-94,-65,-5,-9,-9,-235,148,-13,17,35,9,13,1,27,1819,-152,107,27,-68,-100,-7,-11,26.495268,360.25,0.15916778,90852.0,0.010510667,136.0,289.06,1.2493305,"{""type"":""Point"",""coordinates"":[107.64381866454792,25.314031297944833]}"
00000000000000001edd,25,23,18,85,46,193,21,0,1716,37,94,-76,-136,8,-302,-75,90,3,-20,-214,113,-10,-35,87,-17,-35,0,35,538,-41,-197,-15,-336,-128,101,0,25.594505,311.83334,0.18000111,84189.336,0.0074823336,137.0,281.45667,2.6593306,"{""type"":""Point"",""coordinates"":[110.33687936847339,30.294829338239666]}"
00000000000000002032,28,25,18,52,30,193,17,0,648,19,1108,-186,93,16,34,48,-72,-6,-16,-1293,110,-61,-24,-4,-17,26,8,16,1251,-162,75,22,32,29,-99,-7,11.111087,351.91666,0.15666778,95901.336,0.0091740005,137.0,288.11,1.3686639,"{""type"":""Point"",""coordinates"":[110.76133227954881,29.140854117517346]}"
00000000000000001e9b,27,23,19,42,29,192,16,0,595,19,801,-65,12,6,-104,-39,17,-4,-10,584,29,39,6,-21,-39,-31,-5,15,1019,-88,30,26,-106,-55,37,-6,37.02684,374.5,0.17000112,94386.664,0.010845,137.0,291.59332,1.3839972,"{""type"":""Point"",""coordinates"":[108.03970657427494,24.471591172321517]}"
000000000000000011f4,28,27,23,69,42,194,21,0,290,20,-207,-163,86,-23,-27,-47,36,3,-14,-638,77,-19,16,-10,14,-12,3,16,1,-171,88,-24,-16,-80,9,1,15.020023,369.5,0.17000112,97265.336,0.010768,137.0,290.57,1.3493305,"{""type"":""Point"",""coordinates"":[112.7369949695917,25.647393692700444]}"
