system:index,B1,B2,B3,B4,B5,B6,B7,Built,DEM,EVI_constant,EVI_cos_1,EVI_cos_2,EVI_cos_3,EVI_sin_1,EVI_sin_2,EVI_sin_3,EVI_t,Mean_EVI,Mean_NDBI,Mean_NDVI,NDBI_constant,NDBI_cos_1,NDBI_cos_2,NDBI_cos_3,NDBI_sin_1,NDBI_sin_2,NDBI_sin_3,NDBI_t,NDVI_constant,NDVI_cos_1,NDVI_cos_2,NDVI_cos_3,NDVI_sin_1,NDVI_sin_2,NDVI_sin_3,NDVI_t,SLOPE,lrad,prec,pres,shum,srad,temp,wind,.geo
1_00000000000000000001,42,39,36,61,62,201,43,1,25,-146,-104,-27,14,-59,60,-50,2,21,10,8,-1093,53,-20,-48,18,6,-25,6,-93,-72,-43,5,-50,50,-46,1,2.1623466,338.83334,0.09250112,101100.0,0.008729667,169.75,288.54666,2.4206638,"{""type"":""Point"",""coordinates"":[117.48737788115182,33.5740388756406]}"
1_00000000000000000002,43,38,36,57,63,201,46,1,23,-79,-106,0,2,-33,54,-49,1,18,13,7,-751,71,0,-65,-16,-6,-9,4,97,-76,-16,-1,-19,41,-38,0,1.1121691,339.08334,0.09500112,101088.664,0.00873,169.0,288.55,2.4366639,"{""type"":""Point"",""coordinates"":[117.54935938579472,33.504508112914216]}"
1_00000000000000000008,37,34,32,63,56,198,39,1,16,-644,-113,3,5,-31,16,-13,5,17,11,6,-995,45,-21,-43,5,-11,-15,6,-339,-91,-7,8,-23,11,-9,3,3.813304,340.58334,0.101667784,101218.0,0.0089920005,164.08333,288.41666,2.416664,"{""type"":""Point"",""coordinates"":[118.34167475647625,33.536577967690604]}"
1_00000000000000000009,32,31,28,60,47,197,30,1,13,91,-131,-19,31,-57,54,-49,0,22,7,10,-714,48,-6,-57,22,-20,-12,3,52,-99,-30,24,-44,37,-32,1,3.4594634,340.58334,0.101667784,101218.0,0.0089920005,164.08333,288.41666,2.416664,"{""type"":""Point"",""coordinates"":[118.38371516120814,33.51097826854277]}"
1_0000000000000000000c,31,28,25,67,44,197,24,1,14,-286,-144,-20,32,-53,40,-32,3,19,10,9,-997,50,-7,-45,45,-8,-15,5,-127,-122,-39,28,-64,56,-36,2,1.4488847,340.66666,0.094167784,101174.664,0.009075,163.0,288.30334,2.335997,"{""type"":""Point"",""coordinates"":[118.79119227457306,33.59829638537135]}"
1_0000000000000000001a,36,33,32,60,52,192,34,1,0,-342,-71,-71,73,-32,13,34,3,20,6,7,-327,57,29,-20,-10,-14,53,1,-105,-57,-64,59,-37,12,45,2,1.111955,336.75,0.105001114,101598.0,0.009255334,169.33333,287.60666,3.2353306,"{""type"":""Point"",""coordinates"":[120.45397322099883,33.48779986126696]}"
1_00000000000000000031,32,32,32,56,54,199,41,1,76,361,-71,-51,9,-4,0,-6,-1,18,9,7,-605,40,-17,-28,-20,-7,50,3,494,-78,-53,2,-22,-6,11,-2,1.4488021,341.41666,0.07750112,100467.336,0.008725001,155.25,288.14667,2.774664,"{""type"":""Point"",""coordinates"":[113.59398960105345,33.58994002999719]}"
1_00000000000000000032,35,33,33,59,56,200,43,1,72,39,-62,-32,29,-17,18,-26,0,16,11,5,-167,27,-22,-26,-12,-1,45,0,-14,-62,-39,19,-19,8,-8,1,1.4492017,340.0,0.07750112,100552.664,0.008738001,158.16667,288.03998,2.766664,"{""type"":""Point"",""coordinates"":[113.7581112744266,33.63036624014773]}"
1_00000000000000000033,37,40,44,72,71,201,57,1,67,-108,-92,-24,70,-52,65,-81,2,21,10,9,-138,47,-5,-63,7,-36,58,0,-175,-79,-33,51,-42,50,-46,2,0.92740995,339.91666,0.07833445,100633.336,0.008775334,159.0,288.03665,2.6959972,"{""type"":""Point"",""coordinates"":[113.8925888439964,33.60341543338071]}"
1_00000000000000000035,32,29,27,48,37,197,25,1,66,-442,-112,-25,25,-7,25,-23,4,20,5,8,-255,51,-4,-36,17,-12,36,0,-205,-104,-26,17,-19,6,7,2,2.1626267,339.33334,0.07916778,100687.336,0.0088370005,160.66667,287.99332,2.2993307,"{""type"":""Point"",""coordinates"":[114.12462262641351,33.61635128553675]}"
