system:index,B1,B2,B3,B4,B5,B6,B7,Built,DEM,EVI,EVI_constant,EVI_cos_1,EVI_cos_2,EVI_cos_3,EVI_sin_1,EVI_sin_2,EVI_sin_3,EVI_t,NDBI,NDBI_constant,NDBI_cos_1,NDBI_cos_2,NDBI_cos_3,NDBI_sin_1,NDBI_sin_2,NDBI_sin_3,NDBI_t,NDVI,NDVI_constant,NDVI_cos_1,NDVI_cos_2,NDVI_cos_3,NDVI_sin_1,NDVI_sin_2,NDVI_sin_3,NDVI_t,SLOPE,lrad,prec,pres,shum,srad,temp,wind,.geo
1_00000000000000000002,35,30,27,35,27,192,22,1,78,10,-900,-53,-14,0,-30,-9,9,5,-9,-568,41,-9,-1,15,2,-16,2,8,-510,-67,-7,11,-31,-6,7,3,2.7802885,372.41666,0.2300011,100414.664,0.011188,144.5,291.82666,1.4733305,"{""type"":""Point"",""coordinates"":[117.98863880787285,28.470080464249595]}"
1_0000000000000000000e,31,26,23,44,37,192,24,1,148,18,149,-100,11,-33,-17,10,3,0,-13,-418,58,-12,4,3,0,-11,1,15,-1460,-76,-13,-16,-27,39,43,8,3.488566,353.25,0.1675011,95504.0,0.009524001,144.58333,288.85666,2.0926638,"{""type"":""Point"",""coordinates"":[119.40941096282491,28.53233397405675]}"
1_0000000000000000001c,29,24,20,46,35,197,20,1,12,19,-130,-48,-10,4,-14,28,-20,1,-14,1426,119,27,-35,32,-41,-29,-8,14,-369,-59,-35,-2,-57,55,0,3,2.1123946,366.41666,0.19833446,100036.664,0.010706,147.41667,290.84665,1.5079972,"{""type"":""Point"",""coordinates"":[121.07354301686985,28.6285435383859]}"
1_0000000000000000001e,38,32,30,34,29,200,24,1,8,6,-252,-32,5,5,-2,-12,-20,1,-10,494,66,12,-46,1,-12,-51,-3,5,-185,-23,-1,-2,-11,-3,-16,1,2.3068628,370.16666,0.19666778,101232.0,0.011172,147.25,291.32666,1.8553306,"{""type"":""Point"",""coordinates"":[121.26461103790898,28.638786093505665]}"
1_0000000000000000001f,39,33,30,32,31,196,27,1,8,5,205,-44,-13,1,17,-16,-4,0,-10,-447,50,-8,-31,-11,8,16,1,5,48,-36,-12,-3,3,-4,-1,0,1.4052452,369.58334,0.19083445,101276.0,0.011344001,147.08333,291.16333,2.5886638,"{""type"":""Point"",""coordinates"":[121.37860795634029,28.56736913103368]}"
1_00000000000000000020,33,29,23,46,36,195,25,1,3,16,378,-32,8,-41,-32,2,12,-1,-13,-146,54,14,3,3,5,-8,0,14,-348,-8,-12,-33,-40,21,6,2,2.1332834,370.25,0.18500112,101268.0,0.011511667,146.66667,291.22665,3.030664,"{""type"":""Point"",""coordinates"":[121.52737248568538,28.514818625118817]}"
1_0000000000000000002b,36,30,27,31,29,188,25,1,49,8,517,-76,-1,10,-21,19,7,-2,-9,-311,-39,21,2,-14,-5,48,1,6,-175,-73,1,0,-15,6,17,1,0.92740995,369.0,0.22916777,100364.664,0.011516,144.08333,291.18997,1.4506639,"{""type"":""Point"",""coordinates"":[115.38451041535731,28.708851948358465]}"
1_0000000000000000002c,33,33,34,60,57,200,42,1,43,17,10,-107,15,-1,-56,15,24,0,-5,-397,70,12,-24,-14,-24,0,1,13,-99,-95,17,-1,-45,-2,24,1,3.6685889,370.33334,0.22916777,100756.0,0.011613667,144.33333,291.43668,1.5326638,"{""type"":""Point"",""coordinates"":[115.49096253480617,28.65657344760786]}"
1_0000000000000000002e,35,29,27,34,27,197,22,1,36,10,79,-80,-4,-1,-34,6,-12,0,-12,-821,22,13,-27,3,2,-8,3,8,-253,-69,-3,2,-28,-6,2,1,1.4064668,370.08334,0.20666778,100888.0,0.011561001,148.0,291.54333,1.7453306,"{""type"":""Point"",""coordinates"":[115.82675068053489,28.728797507370526]}"
1_0000000000000000002f,37,31,28,31,29,194,24,1,31,2,-1471,11,-21,25,22,-36,38,7,-8,457,-3,5,-49,-32,40,-39,-2,1,-1214,-2,-8,19,23,-32,39,6,2.134067,370.08334,0.20666778,100888.0,0.011561001,148.0,291.54333,1.7453306,"{""type"":""Point"",""coordinates"":[115.87714744064093,28.672470142863396]}"
1_00000000000000000030,36,34,33,52,51,202,41,1,24,13,-340,-65,-1,19,-67,13,31,2,-11,-377,64,-31,-10,-31,-41,0,1,10,-153,-55,-2,3,-52,-10,36,1,5.0519385,370.58334,0.21833444,101144.664,0.011522334,149.0,291.65332,1.8933306,"{""type"":""Point"",""coordinates"":[116.04477396744207,28.76841216112934]}"
1_00000000000000000036,29,26,24,60,41,196,26,1,22,22,267,-117,-13,18,-94,-16,32,0,-18,530,52,5,-1,-3,-29,-80,-3,15,868,-104,-14,17,-96,-23,38,-3,3.6699195,369.83334,0.20750111,101150.0,0.010810668,148.25,291.48666,1.902664,"{""type"":""Point"",""coordinates"":[116.695869607761,28.70777730500458]}"
1_00000000000000000037,28,24,20,54,40,196,21,1,46,20,193,-75,-20,18,-99,-9,25,0,-14,546,46,-31,-15,0,-36,-18,-3,15,136,-90,-18,30,-96,-27,36,0,12.67778,366.83334,0.21333444,100224.664,0.010493667,148.5,291.07333,1.782664,"{""type"":""Point"",""coordinates"":[116.79908887894615,28.647409994943025]}"
1_00000000000000000039,30,28,25,52,44,200,29,1,69,16,-135,-99,-4,12,-49,11,24,1,-9,221,76,-14,-24,-3,-15,-16,-1,13,-91,-106,-10,25,-50,6,29,1,1.4061083,366.91666,0.22416778,100151.336,0.010493001,148.16667,291.12332,1.4953306,"{""type"":""Point"",""coordinates"":[117.02869691039015,28.681633595528226]}"
