system:index,B1,B2,B3,B4,B5,B6,B7,Built,DEM,EVI,EVI_constant,EVI_cos_1,EVI_cos_2,EVI_cos_3,EVI_sin_1,EVI_sin_2,EVI_sin_3,EVI_t,NDBI,NDBI_constant,NDBI_cos_1,NDBI_cos_2,NDBI_cos_3,NDBI_sin_1,NDBI_sin_2,NDBI_sin_3,NDBI_t,NDVI,NDVI_constant,NDVI_cos_1,NDVI_cos_2,NDVI_cos_3,NDVI_sin_1,NDVI_sin_2,NDVI_sin_3,NDVI_t,SLOPE,lrad,prec,pres,shum,srad,temp,wind,.geo
1_00000000000000000004,29,25,22,55,43,194,26,1,1300,22,2334,-127,-16,10,-67,-4,-24,-9,-11,-461,116,13,-2,19,7,-8,1,17,1948,-131,-10,15,-71,-14,10,-8,13.1114435,329.75,0.14166778,85318.0,0.0075740004,129.58333,283.88333,0.6099972,"{""type"":""Point"",""coordinates"":[108.69565371654,30.399662804006176]}"
1_00000000000000000016,35,32,29,51,40,199,23,1,147,14,387,-97,17,-1,-15,-2,-7,0,-11,501,71,-37,-27,0,-22,-4,-2,10,583,-73,-10,8,-18,-12,-23,-1,7.213888,367.41666,0.14666778,99780.0,0.010154667,128.25,290.55667,1.2686639,"{""type"":""Point"",""coordinates"":[111.44719553078143,30.569443076616132]}"
1_00000000000000000017,43,42,46,64,64,200,50,1,58,9,434,-49,20,-3,-2,5,-2,-1,-6,-153,39,-11,-17,-28,18,-9,0,6,343,-36,4,-9,-3,3,-13,-1,5.668667,369.83334,0.14916778,100554.0,0.010314001,129.33333,290.99332,1.2953305,"{""type"":""Point"",""coordinates"":[111.46471087971936,30.391578453796278]}"
1_00000000000000000018,38,36,35,44,39,202,34,1,56,5,-281,-45,17,0,7,17,-7,1,-13,-375,23,-2,-4,-17,-3,26,1,4,-138,-42,3,-6,1,12,-12,0,2.1502533,366.08334,0.14750111,100728.0,0.010192,132.83333,290.47665,1.5299972,"{""type"":""Point"",""coordinates"":[111.72935406814032,30.426881156836405]}"
1_00000000000000000019,37,35,34,47,38,201,29,1,45,9,194,-18,15,8,6,5,-36,0,-11,-884,33,6,12,-13,-34,0,3,6,527,-14,-14,-8,30,7,-62,-2,2.1431704,366.08334,0.14750111,100728.0,0.010192,132.83333,290.47665,1.5299972,"{""type"":""Point"",""coordinates"":[111.80373633281286,30.4069400569254]}"
1_0000000000000000001e,29,28,25,59,41,199,29,1,33,16,-1693,-88,-6,22,-36,57,-31,8,-16,-579,63,14,9,-21,-35,29,2,12,-1248,-57,-12,23,-43,50,-46,6,0.0,367.66666,0.13500112,100998.0,0.0103,136.0,290.94998,1.938664,"{""type"":""Point"",""coordinates"":[112.6044035997675,30.442242759965534]}"
1_00000000000000000020,40,35,34,40,31,199,26,1,36,7,-48,-44,1,3,16,17,-11,0,-13,93,11,-25,20,-16,11,13,0,5,94,-26,-6,4,9,11,-12,0,2.341145,367.41666,0.14166778,100978.0,0.010180334,135.41667,290.92334,1.8026639,"{""type"":""Point"",""coordinates"":[112.89033899571865,30.4152919531985]}"
1_00000000000000000025,33,31,28,50,37,199,26,1,28,18,-1098,-87,-52,28,-13,31,-5,6,-13,-67,88,13,-8,-7,-7,24,0,15,-837,-72,-64,33,-14,33,-5,4,2.3405674,363.41666,0.14916778,101027.336,0.009943,143.25,290.77332,1.3459972,"{""type"":""Point"",""coordinates"":[113.539552895393,30.386726951850132]}"
1_00000000000000000026,32,32,31,57,49,201,37,1,29,17,308,-101,-24,25,-44,43,-17,0,-8,-750,71,-6,0,-3,-6,30,3,14,141,-73,-33,31,-28,23,-6,0,0.0,364.5,0.15666778,101062.0,0.010174334,144.66667,290.99332,1.2459972,"{""type"":""Point"",""coordinates"":[113.79018112920296,30.55058107916005]}"
1_00000000000000000027,33,26,24,52,40,199,26,1,34,18,-530,-124,-20,26,-18,33,-6,3,-12,-371,54,1,0,-12,1,37,1,15,-268,-101,-37,33,-22,18,1,2,1.421069,364.58334,0.16166778,100978.0,0.010261334,145.83333,291.04666,1.2119972,"{""type"":""Point"",""coordinates"":[113.8354543821986,30.55462102471447]}"
