system:index,B1,B2,B3,B4,B5,B6,B7,Built,DEM,EVI_constant,EVI_cos_1,EVI_cos_2,EVI_cos_3,EVI_sin_1,EVI_sin_2,EVI_sin_3,EVI_t,Mean_EVI,Mean_NDBI,Mean_NDVI,NDBI_constant,NDBI_cos_1,NDBI_cos_2,NDBI_cos_3,NDBI_sin_1,NDBI_sin_2,NDBI_sin_3,NDBI_t,NDVI_constant,NDVI_cos_1,NDVI_cos_2,NDVI_cos_3,NDVI_sin_1,NDVI_sin_2,NDVI_sin_3,NDVI_t,SLOPE,lrad,prec,pres,shum,srad,temp,wind,.geo
00000000000000000c2b,30,27,21,59,33,198,15,0,14,1597,-188,0,27,-72,29,56,-5,25,3,12,-1378,138,20,-2,9,-40,3,5,696,-162,-11,4,-60,2,58,-1,1.0777951,373.58334,0.19250111,101190.0,0.012954,149.33333,292.82333,4.8179975,"{""type"":""Point"",""coordinates"":[117.88676618520581,30.633582786168894]}"
00000000000000000bbd,28,23,18,45,30,193,14,0,168,1287,-144,38,-18,-56,-16,-1,-4,26,1,14,-3266,103,2,17,57,3,12,13,1223,-125,7,-28,-69,-29,-5,-4,12.483081,373.33334,0.19250111,100788.0,0.012924001,148.83333,292.77,4.847997,"{""type"":""Point"",""coordinates"":[117.74986286466292,30.524169823620493]}"
00000000000000001ccb,37,34,35,56,53,206,46,0,119,-136,-122,-91,80,21,151,-97,1,25,3,9,-1061,-22,93,-137,-50,-98,30,3,-476,-85,-90,51,35,87,-48,3,1.8543341,345.58334,0.10333445,99961.336,0.009049,154.33333,288.79,1.8219973,"{""type"":""Point"",""coordinates"":[112.90812634982083,33.024271847660195]}"
00000000000000001a61,40,36,30,70,49,199,28,0,50,694,22,7,107,150,76,-278,-1,34,0,15,-313,-73,67,-128,-125,-51,102,0,930,5,-17,86,129,36,-198,-2,2.1621332,342.58334,0.10333445,100802.0,0.008906667,160.0,288.75665,1.4266639,"{""type"":""Point"",""coordinates"":[114.35719596005809,33.54196902086422]}"
00000000000000001ec3,39,35,32,70,54,199,35,0,48,988,3,35,97,110,64,-234,-2,31,0,14,-612,-43,37,-105,-86,-26,80,1,1260,-5,-6,70,106,18,-167,-4,0.92740995,342.58334,0.10333445,100802.0,0.008906667,160.0,288.75665,1.4266639,"{""type"":""Point"",""coordinates"":[114.37175046589654,33.55571197031094]}"
00000000000000001abb,29,24,19,40,27,190,14,0,386,753,-247,24,32,-19,-33,16,-2,29,-1,15,-895,125,23,-7,61,36,-25,3,145,-183,-1,24,-31,-42,25,0,21.381687,336.75,0.10333445,96832.664,0.008448667,160.75,288.01666,1.9986639,"{""type"":""Point"",""coordinates"":[112.12928638252284,33.556791072765876]}"
00000000000000001a07,34,30,25,59,39,199,22,0,100,1758,-103,-112,90,6,68,-32,-6,22,0,7,-1570,59,13,-76,-44,-65,3,6,849,-72,-91,58,3,26,0,-2,1.8543341,352.41666,0.10333445,100178.0,0.00942,151.41667,289.65,1.7406639,"{""type"":""Point"",""coordinates"":[112.19935223737562,32.58472487951889]}"
00000000000000001422,37,35,34,56,49,201,38,1,45,543,-46,-7,53,22,25,-45,-1,18,9,5,458,5,-4,-37,1,-32,-8,-2,1064,-28,-22,35,35,-9,-30,-3,0.0,342.08334,0.10333445,100870.0,0.008830001,162.08333,288.98334,1.8306639,"{""type"":""Point"",""coordinates"":[115.19047263301658,33.78936440641044]}"
00000000000000001752,30,25,19,70,31,193,15,0,42,1055,81,-15,132,158,27,-195,-2,38,-1,19,-999,-92,56,-137,-112,-20,97,3,2223,42,-47,96,131,-4,-140,-8,1.4505892,342.08334,0.10333445,100870.0,0.008830001,162.08333,288.98334,1.8306639,"{""type"":""Point"",""coordinates"":[115.14843222828472,33.76942330649944]}"
000000000000000012e7,34,31,29,52,43,202,32,1,36,-899,-117,-23,86,21,62,-65,4,22,4,9,9,75,7,-59,-9,-17,1,0,-618,-80,-18,58,27,18,-39,3,3.4754937,341.08334,0.10333445,100945.336,0.009290667,166.33333,288.82666,2.0993307,"{""type"":""Point"",""coordinates"":[116.28300590032347,33.939475584273644]}"
000000000000000012f1,37,32,34,52,46,206,36,1,36,-907,-113,-19,87,34,47,-60,4,22,4,9,173,80,-2,-63,-19,-22,7,-1,-509,-76,-19,62,34,11,-30,2,3.5649245,341.08334,0.10333445,100945.336,0.009290667,166.33333,288.82666,2.0993307,"{""type"":""Point"",""coordinates"":[116.29971415197075,33.94001513550112]}"
00000000000000001339,39,36,36,56,56,209,47,1,38,-698,-82,-26,78,45,40,-50,4,23,6,9,-405,63,-16,-60,-21,-15,23,1,-400,-58,-26,66,35,12,-27,2,1.1174245,341.08334,0.10333445,100945.336,0.009290667,166.33333,288.82666,2.0993307,"{""type"":""Point"",""coordinates"":[116.24419834385532,33.90955947530608]}"
00000000000000001f2e,30,34,37,62,72,199,59,0,1420,-426,-73,22,8,-42,50,-46,2,14,14,4,497,-117,-160,-85,55,-128,-32,-2,-201,-81,-6,-2,-38,28,-26,1,1.5502981,259.75,0.04083445,85432.664,0.004196667,171.83333,275.93,3.628664,"{""type"":""Point"",""coordinates"":[115.46131843100288,41.7257125932429]}"
00000000000000001c54,37,41,46,65,70,200,58,0,1079,475,-89,23,35,-70,73,-37,-1,13,20,3,-1079,7,-22,-21,52,-91,-24,4,840,-86,-2,42,-73,63,-29,-3,7.2364025,284.83334,0.04083445,90437.336,0.004560667,175.16667,281.84,1.7599972,"{""type"":""Point"",""coordinates"":[114.82369373496645,40.09931345231222]}"
000000000000000018cc,30,28,28,53,55,199,36,0,1042,1091,-83,-12,4,-64,20,38,-4,15,18,5,637,98,-16,32,25,-51,-8,-2,1203,-72,-34,18,-71,6,59,-4,17.203121,285.41666,0.04083445,90182.664,0.004607667,170.25,281.54,2.2433305,"{""type"":""Point"",""coordinates"":[115.27859784713583,40.23351901671777]}"
00000000000000001b10,28,25,23,34,27,192,17,0,1042,827,-125,-14,5,-47,8,37,-3,10,10,3,-66,-19,-85,-18,52,-76,-7,0,1244,-144,-38,28,-64,13,55,-4,11.245397,285.41666,0.04083445,90182.664,0.004607667,170.25,281.54,2.2433305,"{""type"":""Point"",""coordinates"":[115.26054294697042,40.23540521646339]}"
00000000000000001bf1,31,31,31,60,51,200,33,0,686,248,-83,-31,35,-83,43,11,0,15,16,4,353,70,-21,18,55,-81,-21,-1,574,-79,-42,47,-87,27,20,-1,1.528861,285.41666,0.04083445,90182.664,0.004607667,170.25,281.54,2.2433305,"{""type"":""Point"",""coordinates"":[115.20206183665452,40.28526242534196]}"
00000000000000000b5a,39,34,28,26,8,189,5,0,9,-1458,-112,18,14,-75,40,-2,6,0,-10,-7,-709,-27,9,4,33,-22,17,1,-1495,-114,23,7,-86,52,3,6,0.0,365.41666,0.18333444,101250.664,0.009152001,144.0,291.65332,2.2279973,"{""type"":""Point"",""coordinates"":[116.10244352136627,29.926159781342868]}"
00000000000000001d7e,39,36,35,65,46,201,31,0,233,-380,14,22,76,14,40,-116,2,24,0,7,-648,-18,1,-50,-33,-8,60,1,-797,24,7,70,13,9,-76,4,2.912249,336.41666,0.06750112,97245.336,0.007773667,157.33333,288.37,2.406664,"{""type"":""Point"",""coordinates"":[112.39204337119818,34.40542934885348]}"
00000000000000001ebd,32,27,24,36,27,189,14,0,415,-1449,-156,-44,47,-30,16,2,7,15,0,3,-929,66,-14,-51,20,-3,-18,3,-1954,-122,-66,55,-18,7,20,9,24.46346,335.41666,0.06750112,96936.0,0.0077580004,158.58333,288.26334,2.330664,"{""type"":""Point"",""coordinates"":[112.21309964592339,34.48735641250843]}"
00000000000000000f21,29,25,21,68,36,195,16,0,8,820,-70,-50,142,48,94,-103,-1,36,-10,17,767,42,-16,-98,-85,-61,11,-4,1596,-46,-59,114,16,79,-73,-5,2.7802885,344.5,0.18333445,101294.0,0.009053667,155.33333,288.59668,2.642664,"{""type"":""Point"",""coordinates"":[119.23046723755013,33.812542813686264]}"
00000000000000000f16,28,25,19,72,36,196,17,0,12,1642,-19,-40,174,16,117,-87,-5,31,-4,12,-635,33,-17,-96,-83,-28,61,1,984,-24,-58,142,-3,105,-54,-3,1.1147801,344.58334,0.17416778,101228.664,0.008954667,155.91667,288.8,2.5353305,"{""type"":""Point"",""coordinates"":[118.73836976349396,33.706630245464815]}"
00000000000000001255,38,38,38,62,54,204,44,1,26,58,-99,-1,38,-30,6,-9,0,14,8,2,263,6,-5,-4,50,-16,-7,-1,46,-94,-4,32,-15,-5,0,0,2.5580428,325.58334,0.054167785,101090.0,0.0068220003,158.41667,287.37,1.6433306,"{""type"":""Point"",""coordinates"":[115.44595682787379,38.966897985183316]}"
000000000000000011d5,37,35,36,54,45,200,37,1,52,-336,-106,-18,31,-39,13,-12,2,14,4,3,-179,32,-29,-36,43,-18,36,0,-462,-96,-30,24,-45,4,6,2,0.0,336.83334,0.054167785,100736.664,0.0077753337,148.41667,287.66,2.1433306,"{""type"":""Point"",""coordinates"":[114.79081232379836,36.575401826401325]}"
000000000000000011a4,42,41,42,53,51,204,44,1,11,158,-60,-14,21,-29,22,-12,0,6,11,-3,-460,-3,-22,-71,16,-33,11,1,290,-49,-7,14,-14,2,-5,-1,2.2020211,323.41666,0.054167785,101280.0,0.007045667,160.66667,286.78,1.9733305,"{""type"":""Point"",""coordinates"":[116.133706278852,38.70872049328985]}"
00000000000000001b8a,37,36,37,62,58,202,44,0,13,1646,-139,16,45,-86,53,-44,-6,16,9,4,-1540,62,16,-73,65,-73,24,6,1511,-99,16,15,-40,-9,-17,-5,3.0136578,323.5,0.054167785,101292.0,0.007022667,160.25,286.75,2.0713305,"{""type"":""Point"",""coordinates"":[116.34633851258556,38.75345419505801]}"
00000000000000000888,34,32,31,56,47,204,35,1,89,581,-115,7,38,-33,6,-13,-1,13,9,3,-214,23,1,7,0,-15,-26,0,426,-118,8,37,-23,-3,0,-1,4.5141697,323.75,0.054167785,100263.336,0.0069470005,163.16667,287.37332,1.8539972,"{""type"":""Point"",""coordinates"":[114.90696744713955,38.724621647646444]}"
0000000000000000168a,35,35,34,60,55,204,42,0,66,1814,-122,1,55,-80,53,-23,-7,15,9,2,-1970,29,-28,-54,75,-62,3,8,1336,-100,-7,33,-50,18,6,-5,1.8543341,321.66666,0.054167785,100764.0,0.006493667,160.33333,287.20334,1.9053305,"{""type"":""Point"",""coordinates"":[115.78551737309365,39.49807056177083]}"
00000000000000000f1c,30,25,19,66,33,192,18,0,5,1327,-130,-176,89,-29,58,-98,-4,28,-8,12,-1024,117,78,-54,-26,-33,-15,3,1259,-85,-135,55,-63,55,-36,-4,2.1611474,347.0,0.16500111,101298.0,0.009126667,154.33333,288.95667,2.554664,"{""type"":""Point"",""coordinates"":[119.07901387026985,33.392129848165276]}"
00000000000000000f3d,29,25,19,74,29,196,13,0,0,569,-41,-162,144,5,80,-50,0,38,-9,18,-87,78,72,-56,-49,-67,14,0,986,-20,-121,88,-2,58,-25,-2,2.4097881,347.16666,0.16500111,101382.0,0.009305667,151.75,288.65665,2.6499972,"{""type"":""Point"",""coordinates"":[119.57272553890736,33.54601342551969]}"
00000000000000000f3e,29,25,20,62,29,192,12,0,1,388,-38,-196,106,-2,31,-18,0,37,-9,18,-601,103,119,-58,0,-83,22,1,1289,-27,-153,81,-32,41,-2,-4,2.1621075,347.16666,0.16500111,101382.0,0.009305667,151.75,288.65665,2.6499972,"{""type"":""Point"",""coordinates"":[119.59024534694638,33.5379290753098]}"
00000000000000000f0b,43,41,36,19,6,189,4,0,10,40,-30,-2,36,14,-12,-8,-1,-15,-10,-20,-801,-81,72,82,11,-36,-28,1,-402,-41,21,37,28,-23,-18,0,0.0,347.25,0.16500111,101262.0,0.009222001,153.75,289.0,2.4739974,"{""type"":""Point"",""coordinates"":[118.70872565969067,33.38108019575484]}"
00000000000000001aa8,30,27,23,65,49,199,28,0,44,3133,-142,47,73,-83,45,-52,-12,27,6,12,-686,114,-26,-71,-15,-51,37,2,4044,-104,6,58,-71,18,-27,-16,1.1583948,324.08334,0.08500111,100801.336,0.0077540004,162.08333,286.13666,2.7579973,"{""type"":""Point"",""coordinates"":[120.41408656207578,36.81632705631902]}"
00000000000000001d3f,40,39,40,63,65,202,51,0,92,-485,-170,49,0,-42,63,-79,3,19,13,6,856,109,-34,-13,8,-48,13,-3,-135,-121,27,-1,-19,27,-49,1,5.719132,341.08334,0.08500111,100353.336,0.008115667,154.0,288.66333,2.4259973,"{""type"":""Point"",""coordinates"":[114.02248691678433,34.57952603128317]}"
000000000000000001c8,29,28,29,60,49,199,36,1,48,153,-100,-4,52,10,0,-29,0,20,5,7,208,102,-21,-64,22,-11,5,-1,807,-80,-5,36,5,-2,-23,-2,4.378117,336.0,0.08500111,100854.664,0.009044333,159.33333,287.5533,1.7479973,"{""type"":""Point"",""coordinates"":[115.99249100759039,34.866803616651424]}"
00000000000000000283,29,27,28,58,42,199,30,1,46,-85,-111,3,53,2,-6,-36,1,20,5,6,453,95,-28,-54,9,11,6,-2,657,-88,2,32,2,-3,-30,-2,1.4620023,336.0,0.08500111,100854.664,0.009044333,159.33333,287.5533,1.7479973,"{""type"":""Point"",""coordinates"":[115.99653095314484,34.87623907448051]}"
000000000000000012bc,40,41,41,57,57,201,44,1,54,-1176,-73,-23,75,0,75,-72,6,19,8,6,1349,4,20,-101,27,-48,19,-6,-36,-45,-24,37,24,25,-50,0,1.1200037,340.25,0.08500111,100772.664,0.008679334,159.75,288.59665,1.8786639,"{""type"":""Point"",""coordinates"":[114.92124994781372,34.105211452228126]}"
0000000000000000144c,34,30,29,56,50,202,37,1,54,-774,-92,-22,37,9,29,-41,4,21,5,8,1198,58,11,-77,65,-59,13,-5,544,-82,-17,23,15,5,-40,-1,1.1202427,340.25,0.08500111,100772.664,0.008679334,159.75,288.59665,1.8786639,"{""type"":""Point"",""coordinates"":[114.91693799709503,34.12327081149458]}"
