system:index,B1,B10,B11,B2,B3,B4,B5,B6,B7,B8,B9,Built,DEM,EVI,EVI_constant,EVI_cos_1,EVI_cos_2,EVI_cos_3,EVI_sin_1,EVI_sin_2,EVI_sin_3,EVI_t,NDBI,NDBI_constant,NDBI_cos_1,NDBI_cos_2,NDBI_cos_3,NDBI_sin_1,NDBI_sin_2,NDBI_sin_3,NDBI_t,NDVI,NDVI_constant,NDVI_cos_1,NDVI_cos_2,NDVI_cos_3,NDVI_sin_1,NDVI_sin_2,NDVI_sin_3,NDVI_t,SLOPE,lrad,prec,pres,shum,srad,temp,wind,.geo
000000000000000015a5,36,198,197,30,26,26,57,49,32,25,0,0,432,24,-869,-196,11,13,-121,90,-21,3,-10,-300,69,-30,-6,76,-38,24,0,16,-1512,-127,-10,7,-71,45,7,5,17.307596,323.08334,0.076667786,96406.0,0.007621667,165.33333,286.34665,2.7073307,"{""type"":""Point"",""coordinates"":[117.94794505165909,36.20322741607652]}"
00000000000000001627,47,204,200,44,48,59,98,77,53,52,1,0,142,31,361,-164,34,41,-108,130,-102,0,-11,-1700,57,-40,-18,76,-30,110,5,20,-845,-73,-15,33,-53,67,-28,3,4.629769,332.41666,0.076667786,99842.664,0.007909667,166.25,287.75,1.7739973,"{""type"":""Point"",""coordinates"":[118.2319897887636,35.308236784538344]}"
00000000000000001740,37,199,195,31,27,23,56,43,28,25,0,0,91,36,2358,-118,-62,59,13,19,-44,-7,-19,-1001,-14,36,-30,-25,42,33,2,23,888,-86,-70,48,23,18,-6,-2,1.1365713,329.25,0.076667786,99740.0,0.008040333,167.33333,287.06,1.9906639,"{""type"":""Point"",""coordinates"":[118.76154817076979,35.320093534239454]}"
00000000000000001b1c,32,199,196,27,23,20,81,42,24,23,0,0,41,51,273,-44,27,53,55,56,-173,0,-24,-560,37,-5,-67,-119,-33,80,1,28,-1868,4,0,1,30,27,-107,7,1.1265901,339.08334,0.076667786,101012.664,0.008282334,162.33333,288.43332,1.6726639,"{""type"":""Point"",""coordinates"":[116.77645002289778,34.5970413802211]}"
000000000000000014f1,37,203,201,34,33,31,74,60,31,30,0,0,141,29,1224,-191,2,9,-174,101,-19,-3,-9,-1466,147,0,-44,64,-24,-33,4,21,736,-99,-27,-5,-133,58,8,-1,5.6612387,335.33334,0.076667786,100522.0,0.008254,163.5,287.91,1.8799973,"{""type"":""Point"",""coordinates"":[117.11682212450945,35.27697402705264]}"
000000000000000014f5,35,202,200,29,25,24,65,51,30,22,0,0,97,31,731,-171,35,0,-98,19,-55,-1,-13,-1130,123,-35,-47,14,14,2,3,20,-374,-79,-6,-13,-74,-4,-20,2,5.7359443,335.33334,0.076667786,100522.0,0.008254,163.5,287.91,1.8799973,"{""type"":""Point"",""coordinates"":[117.04837046423798,35.268082579552065]}"
00000000000000000489,46,203,199,42,36,37,47,51,45,34,0,1,72,11,-457,-78,0,18,1,12,-10,2,-9,-1861,8,-29,-10,0,9,18,6,7,-736,-43,-13,6,5,0,3,2,3.8733237,337.0,0.076667786,100778.0,0.008247334,164.16667,288.25665,1.7139972,"{""type"":""Point"",""coordinates"":[117.15966962653198,35.08374780110366]}"
000000000000000007fb,46,191,190,40,34,34,35,27,21,38,0,1,70,9,63,-83,6,15,-1,15,-8,0,-16,-1163,7,-11,-28,-16,17,3,3,5,-266,-46,-8,1,3,0,2,1,1.4642763,337.0,0.076667786,100778.0,0.008247334,164.16667,288.25665,1.7139972,"{""type"":""Point"",""coordinates"":[117.16020917775944,35.088866849113025]}"
00000000000000001228,49,202,200,45,38,38,52,57,49,36,1,1,69,14,71,-96,0,15,-6,8,-9,0,-9,-1574,0,-21,-14,-2,8,10,5,8,-485,-52,-15,9,-1,1,1,2,2.4477062,337.0,0.076667786,100778.0,0.008247334,164.16667,288.25665,1.7139972,"{""type"":""Point"",""coordinates"":[117.16317447995998,35.08186160135805]}"
000000000000000013f2,44,200,199,38,31,31,40,34,27,33,1,1,66,16,-161,-121,-6,25,-4,6,0,1,-14,-1324,21,-12,-28,0,34,6,4,9,-680,-78,-12,3,3,-1,3,2,1.8543341,337.0,0.076667786,100778.0,0.008247334,164.16667,288.25665,1.7139972,"{""type"":""Point"",""coordinates"":[117.1542830324594,35.10207470643333]}"
