system:index,B1,B2,B3,B4,B5,B6,B7,Built,DEM,EVI,EVI_constant,EVI_cos_1,EVI_cos_2,EVI_cos_3,EVI_sin_1,EVI_sin_2,EVI_sin_3,EVI_t,NDBI,NDBI_constant,NDBI_cos_1,NDBI_cos_2,NDBI_cos_3,NDBI_sin_1,NDBI_sin_2,NDBI_sin_3,NDBI_t,NDVI,NDVI_constant,NDVI_cos_1,NDVI_cos_2,NDVI_cos_3,NDVI_sin_1,NDVI_sin_2,NDVI_sin_3,NDVI_t,SLOPE,lrad,prec,pres,shum,srad,temp,wind,.geo
0000000000000000015c,20,21,23,52,43,178,21,0,4767,8,125,-79,7,32,-83,56,-30,0,-33,-1597,-59,39,60,-75,-6,20,6,5,332,-74,1,25,-95,56,-22,-1,20.431038,255.33333,0.076667786,58884.0,0.0035123338,168.91667,272.19,1.2293305,"{""type"":""Point"",""coordinates"":[98.84347059849874,31.79968676175658]}"
00000000000000000e46,25,27,30,86,78,196,38,0,4779,20,-656,-124,4,48,-165,149,-39,4,-5,424,88,50,19,38,-146,30,-2,17,-436,-121,-6,55,-173,131,-18,3,40.11857,232.25,0.076667786,55452.0,0.003545667,210.08333,269.8,1.5026639,"{""type"":""Point"",""coordinates"":[95.18212055991853,32.15514846133307]}"
0000000000000000020d,27,30,30,35,18,181,14,0,4757,2,324,-65,-5,0,-17,31,-2,-1,-40,263,-251,-75,37,-10,7,10,-2,1,45,-71,10,10,-34,46,-9,0,19.401173,232.0,0.076667786,55966.0,0.0039030004,216.08333,270.03333,2.2326639,"{""type"":""Point"",""coordinates"":[93.3077820231131,31.872989923974178]}"
00000000000000001002,21,18,18,34,36,179,23,0,4295,11,285,-28,32,2,-46,33,-11,0,-10,843,40,-1,23,-27,12,-12,-4,10,682,-45,57,1,-76,24,-11,-2,29.984398,255.08333,0.076667786,58826.0,0.003429667,190.83333,274.26334,1.2746639,"{""type"":""Point"",""coordinates"":[99.20998640958673,30.51931832167434]}"
00000000000000000dc1,28,33,43,62,91,193,65,0,4865,10,402,-46,10,7,-37,41,-12,-1,-8,2332,33,-89,40,88,29,23,-11,8,826,-66,1,19,-48,70,-43,-3,8.4402,227.58333,0.076667786,56030.0,0.0038646671,221.5,269.45334,3.1159973,"{""type"":""Point"",""coordinates"":[91.9942690849006,32.34190899075454]}"
00000000000000000ce2,23,23,27,36,47,179,32,0,5043,6,1393,-52,-3,-3,-40,20,0,-6,-24,14865,-22,-228,11,-63,-59,28,-69,4,2157,-46,-30,19,-44,24,-1,-9,30.838606,226.33333,0.076667786,55292.0,0.0037446672,233.75,269.91998,2.286664,"{""type"":""Point"",""coordinates"":[91.70132844119448,30.659186944417783]}"
00000000000000000f06,26,27,32,58,79,190,55,0,4472,16,201,-64,28,5,-85,43,-3,0,0,-104,152,13,-2,6,-50,11,0,14,240,-66,24,4,-99,33,10,0,24.308607,248.33333,0.076667786,56087.332,0.0031933337,182.25,271.70667,1.1339972,"{""type"":""Point"",""coordinates"":[99.16605534600816,30.91843907966513]}"
00000000000000001022,23,22,22,38,40,182,24,0,3455,17,-664,-194,57,-5,-92,97,-30,4,-18,1601,58,-64,-30,27,-126,23,-8,13,-800,-180,18,18,-111,108,-40,4,21.611658,264.41666,0.076667786,67662.664,0.0050550005,196.16667,276.59332,1.7426639,"{""type"":""Point"",""coordinates"":[101.61495351265118,32.91081448045634]}"
00000000000000000f8a,23,23,23,53,58,190,31,0,3464,20,207,-164,62,-15,-86,55,-14,0,-10,951,142,-51,47,20,-78,-5,-4,19,273,-164,20,4,-133,68,-16,0,7.17464,258.0,0.076667786,66268.664,0.0048096674,192.16667,274.92667,2.254664,"{""type"":""Point"",""coordinates"":[102.85975170363008,33.24579552889434]}"
00000000000000000fa4,23,23,23,53,58,190,31,0,3464,20,207,-164,62,-15,-86,55,-14,0,-10,951,142,-51,47,20,-78,-5,-4,19,273,-164,20,4,-133,68,-16,0,7.17464,258.0,0.076667786,66268.664,0.0048096674,192.16667,274.92667,2.254664,"{""type"":""Point"",""coordinates"":[102.85975170363008,33.24579552889434]}"
