system:index,B1,B2,B3,B4,B5,B6_VCID_1,B6_VCID_2,B7,B8,Built,DEM,EVI,EVI_constant,EVI_cos_1,EVI_cos_2,EVI_cos_3,EVI_sin_1,EVI_sin_2,EVI_sin_3,EVI_t,NDBI,NDBI_constant,NDBI_cos_1,NDBI_cos_2,NDBI_cos_3,NDBI_sin_1,NDBI_sin_2,NDBI_sin_3,NDBI_t,NDVI,NDVI_constant,NDVI_cos_1,NDVI_cos_2,NDVI_cos_3,NDVI_sin_1,NDVI_sin_2,NDVI_sin_3,NDVI_t,SLOPE,lrad,prec,pres,shum,srad,temp,wind,.geo
000000000000000021df,20,18,15,64,40,185,185,19,38,0,3769,38,2143,21,26,15,-75,74,-131,-6,-27,-2253,-43,-34,-22,42,-13,39,7,30,1696,29,31,27,-114,103,-184,-4,37.998627,260.91666,0.076667786,63488.0,0.0048160003,211.75,276.56332,1.2366638,"{""type"":""Point"",""coordinates"":[94.19657896328803,30.676974298519973]}"
0000000000000000001f,80,88,85,113,29,191,191,24,99,0,5524,20,281,-140,-23,-8,31,-68,64,0,-36,-2787,7,113,26,-130,190,-68,9,9,107,-69,-3,9,17,-35,28,0,33.304504,224.5,0.076667786,53010.0,0.0030423338,212.58333,268.08,1.8639972,"{""type"":""Point"",""coordinates"":[93.21157245878396,31.37388720216303]}"
00000000000000001b25,26,28,31,45,56,188,188,41,38,0,4589,19,920,-143,-21,-1,35,17,-56,-2,-17,981,65,127,-15,-104,16,99,-4,13,459,-125,53,-27,-21,47,-56,-1,17.356056,246.41667,0.076667786,60472.0,0.003600667,206.5,273.35666,1.6313306,"{""type"":""Point"",""coordinates"":[100.89702040664218,30.771565209166724]}"
0000000000000000241f,21,17,15,37,34,182,182,15,28,0,2333,28,-1185,-222,21,-9,-54,-38,64,5,-16,-249,118,4,0,70,-11,-38,0,28,-2201,-203,24,-7,-53,-75,47,9,38.137833,254.75,0.076667786,65366.0,0.0037536672,178.58333,273.65665,2.2273307,"{""type"":""Point"",""coordinates"":[103.92048266222378,33.550053371074114]}"
000000000000000001fa,38,38,42,49,61,185,186,39,44,0,5093,18,325,0,-75,28,3,-69,23,0,-20,-1257,-53,41,74,-54,55,-34,4,9,214,-16,-26,23,1,-24,6,0,31.813236,231.25,0.076667786,56067.332,0.0034590005,214.5,270.15665,2.246664,"{""type"":""Point"",""coordinates"":[93.3862086924411,31.958149835892886]}"
0000000000000000076f,33,39,47,58,70,204,204,54,50,0,4568,10,859,-6,-9,23,-54,38,18,-2,0,1121,54,-42,65,-26,-167,-20,-4,10,1158,6,-16,25,-56,9,18,-3,19.602388,251.08333,0.076667786,60441.332,0.005225667,217.75,274.33334,2.7393305,"{""type"":""Point"",""coordinates"":[85.16203890991187,28.876210929096395]}"
00000000000000002037,21,20,19,47,47,191,191,28,36,0,3665,25,-427,-123,10,8,-60,43,23,2,-6,1572,16,-52,3,4,-69,-21,-6,26,-585,-152,-42,0,-125,38,38,3,39.355667,274.41666,0.076667786,64549.332,0.0042733336,175.91667,277.23334,1.0666639,"{""type"":""Point"",""coordinates"":[98.59904051515305,31.60430233089774]}"
0000000000000000048b,57,53,55,71,42,174,175,27,61,0,5000,18,-579,-81,-63,85,73,-37,25,2,-44,1053,-276,-3,52,-125,172,50,-5,8,-190,-61,-46,60,-1,8,22,1,9.339604,229.25,0.076667786,55337.332,0.0033613339,213.83333,269.59332,2.2279973,"{""type"":""Point"",""coordinates"":[93.44899729437468,31.950872582973663]}"
00000000000000001e94,23,21,24,44,56,190,190,41,32,0,4015,21,-1019,-133,8,44,-60,42,-10,4,-2,213,99,-9,6,11,-101,-19,0,20,-1342,-113,-13,71,-115,56,2,6,34.56742,245.0,0.076667786,58457.332,0.0036260004,211.08333,273.25998,1.3846639,"{""type"":""Point"",""coordinates"":[94.61294752415354,31.176616571558586]}"
00000000000000001f77,27,32,43,62,85,195,195,60,49,0,2091,20,-1239,88,-147,14,-135,-42,41,5,4,978,-90,150,-39,108,84,-66,-3,19,-2049,415,-343,77,-36,-166,156,7,9.801142,317.25,0.076667786,77000.664,0.008121333,192.66667,286.04,2.908664,"{""type"":""Point"",""coordinates"":[102.39002108045797,24.5397708274287]}"
000000000000000023ba,22,16,13,38,31,192,192,16,23,0,1992,27,104,-141,48,-32,-77,79,-24,0,-7,-383,-39,-40,-21,113,-27,49,0,33,168,-52,103,-49,-92,53,-24,1,44.029243,331.16666,0.076667786,82156.664,0.0069740005,203.41667,290.66666,1.6673306,"{""type"":""Point"",""coordinates"":[101.53006560589672,26.327870349860497]}"
000000000000000025a5,21,16,12,40,20,190,190,9,27,0,2067,29,-1206,-43,8,-13,-13,-1,-10,5,-23,1847,22,-7,70,42,-22,11,-7,35,-1189,-35,39,-73,3,-57,-13,6,23.530594,331.16666,0.076667786,82156.664,0.0069740005,203.41667,290.66666,1.6673306,"{""type"":""Point"",""coordinates"":[101.59070046202147,26.40359926305117]}"
00000000000000001dd0,23,18,15,41,21,173,174,12,31,0,4373,24,322,-91,12,-5,-55,55,-15,0,-27,-1448,-141,0,13,-3,-37,0,4,19,-1478,-60,40,2,-131,44,-42,6,40.615875,240.25,0.076667786,58013.332,0.0040280004,214.66667,271.94333,1.0939972,"{""type"":""Point"",""coordinates"":[93.60530662270217,30.18757012150008]}"
000000000000000021c9,19,16,14,40,29,186,187,16,27,0,3666,25,11,-152,34,-34,-40,32,5,0,-12,1136,52,-69,2,42,-48,-10,-4,26,64,-171,-19,-63,-90,39,11,0,34.201717,253.83333,0.076667786,58545.332,0.0033453337,178.25,272.72333,1.1193305,"{""type"":""Point"",""coordinates"":[98.70279487846463,31.49488936834933]}"
00000000000000002431,16,11,8,20,10,173,173,6,16,0,3921,17,20,-177,8,-43,-2,53,-26,0,-17,-105,-69,-68,24,38,-14,39,0,20,829,-168,56,-166,-3,51,35,-1,28.866354,247.41667,0.076667786,61107.332,0.0036163337,203.08333,273.34998,1.8519973,"{""type"":""Point"",""coordinates"":[101.47751064088081,30.857264672312898]}"
00000000000000000137,27,26,29,29,27,183,183,24,28,0,4876,8,-446,-55,49,-1,8,36,-42,1,-32,-1561,-6,21,-30,-14,47,-72,4,5,21,-29,16,6,-12,25,-20,0,31.198137,225.91667,0.076667786,56541.332,0.003369667,214.25,268.7633,2.1839974,"{""type"":""Point"",""coordinates"":[97.66254903011045,33.57754372906861]}"
0000000000000000015a,27,26,29,29,27,183,183,24,28,0,4876,8,-446,-55,49,-1,8,36,-42,1,-32,-1561,-6,21,-30,-14,47,-72,4,5,21,-29,16,6,-12,25,-20,0,31.198137,225.91667,0.076667786,56541.332,0.003369667,214.25,268.7633,2.1839974,"{""type"":""Point"",""coordinates"":[97.66254903011045,33.57754372906861]}"
00000000000000000189,26,25,27,47,48,186,186,29,36,0,4632,13,-889,-102,62,18,20,53,-20,3,-36,-2924,-211,-60,-2,41,107,-56,9,6,-1025,-79,17,-3,0,46,-11,4,3.8162606,228.33333,0.076667786,57339.332,0.0034850005,213.41667,269.31332,2.268664,"{""type"":""Point"",""coordinates"":[97.53615581075053,33.62443563574664]}"
00000000000000000340,34,34,36,37,28,203,203,22,37,0,5129,19,895,-126,25,-34,-5,-5,15,-2,-27,-225,-31,92,55,-22,78,-14,0,10,146,-58,14,-6,-2,-2,3,0,25.589502,248.75,0.076667786,60923.332,0.0041276673,216.66667,274.65665,2.1319973,"{""type"":""Point"",""coordinates"":[92.82080805616732,31.61131203775376]}"
00000000000000001e8e,30,33,40,63,82,200,200,57,47,0,1678,21,751,-71,31,-21,-79,3,-24,-1,3,52,205,-97,25,83,-88,74,0,18,-205,165,-98,-7,-20,-105,46,1,12.871383,344.66666,0.076667786,83450.664,0.010024333,187.5,290.1433,2.996664,"{""type"":""Point"",""coordinates"":[103.23677315679998,24.626549393029816]}"
00000000000000001f0e,25,23,27,53,51,194,195,38,39,0,1711,22,218,26,22,-51,3,-35,-17,0,-8,94,64,-33,-37,52,-22,50,0,20,-536,78,4,-69,20,-100,41,2,12.26298,344.66666,0.076667786,83450.664,0.010024333,187.5,290.1433,2.996664,"{""type"":""Point"",""coordinates"":[103.26533815814834,24.623316544766066]}"
00000000000000001fbe,27,28,35,56,65,198,198,46,43,0,1697,20,546,-97,77,8,-128,114,-115,-1,-2,197,69,2,-20,34,-29,23,0,17,323,-37,73,-33,-56,25,-45,0,16.359545,344.66666,0.076667786,83450.664,0.010024333,187.5,290.1433,2.996664,"{""type"":""Point"",""coordinates"":[103.21925780786205,24.64164345009573]}"
00000000000000001fbf,25,23,23,40,50,189,189,32,26,0,2024,20,638,-89,39,-9,-73,74,-33,-1,-7,-162,65,-86,-34,90,-83,109,0,17,-1169,-58,25,-41,-13,-42,45,5,17.451145,319.25,0.076667786,77405.336,0.008299334,182.16667,285.48666,2.876664,"{""type"":""Point"",""coordinates"":[103.79193123795397,25.04938810952387]}"
