system:index,B1,B10,B11,B2,B3,B4,B5,B6,B7,B8,B9,Built,DEM,EVI,EVI_constant,EVI_cos_1,EVI_cos_2,EVI_cos_3,EVI_sin_1,EVI_sin_2,EVI_sin_3,EVI_t,NDBI,NDBI_constant,NDBI_cos_1,NDBI_cos_2,NDBI_cos_3,NDBI_sin_1,NDBI_sin_2,NDBI_sin_3,NDBI_t,NDVI,NDVI_constant,NDVI_cos_1,NDVI_cos_2,NDVI_cos_3,NDVI_sin_1,NDVI_sin_2,NDVI_sin_3,NDVI_t,SLOPE,lrad,prec,pres,shum,srad,temp,wind,.geo
00000000000000000220,31,195,195,30,32,36,42,40,33,33,3,0,4659,5,709,-22,-4,2,-37,13,-4,-2,-12,-251,2,-51,-29,4,-32,7,0,5,524,-19,-10,6,-50,24,0,-1,19.53297,249.0,0.058751114,59918.0,0.0044260006,225.375,275.405,3.8779974,"{""type"":""Point"",""coordinates"":[90.61364667583373,28.373870899920448]}"
0000000000000000097b,27,191,189,26,29,37,72,78,55,29,3,0,4622,23,-28,-104,9,18,-108,80,-25,0,-12,859,83,-6,-36,24,-35,13,-3,16,-454,-69,-6,7,-121,67,-13,2,2.1506734,236.625,0.058751114,57638.0,0.0036365003,225.125,272.53497,2.9239974,"{""type"":""Point"",""coordinates"":[91.71453183941372,31.71614550352027]}"
000000000000000008d8,31,202,201,30,33,40,56,67,57,34,8,0,4851,10,282,-17,-2,2,-11,9,0,0,-5,-2177,28,-22,0,11,-39,110,7,9,-587,-4,-6,1,-10,1,27,2,9.333572,238.5,0.058751114,56882.0,0.0034055004,239.0,274.35,3.3929973,"{""type"":""Point"",""coordinates"":[86.65638623224582,30.990123588200323]}"
0000000000000000098c,25,191,190,22,19,20,30,38,30,17,2,0,4409,12,896,-70,-14,26,-54,21,11,-2,-5,1986,47,-48,-74,-22,-48,-33,-6,10,1008,-16,-46,29,-81,17,12,-2,27.60057,233.0,0.058751114,54334.0,0.0035025002,214.75,270.465,3.1219974,"{""type"":""Point"",""coordinates"":[91.29816327854822,28.273621390036872]}"
000000000000000009d1,27,184,184,27,29,37,63,73,49,31,6,0,4630,21,-230,-72,4,13,-72,58,-17,1,-12,179,87,-15,13,32,-11,-28,0,14,-557,-48,4,16,-71,51,-21,2,1.4334505,236.625,0.058751114,58178.0,0.0037725004,225.875,272.53998,3.0699973,"{""type"":""Point"",""coordinates"":[91.73986399249836,31.971892785339605]}"
00000000000000000983,28,186,186,28,30,38,62,89,66,34,8,0,4872,18,277,-74,19,2,-65,44,-24,0,-13,1901,107,-44,-27,-8,-118,-30,-6,12,289,-46,9,-10,-64,17,-23,0,2.3820298,230.125,0.058751114,56650.0,0.0036935005,223.75,270.555,3.0109973,"{""type"":""Point"",""coordinates"":[92.2686108181128,32.340022791008934]}"
00000000000000000052,24,175,175,20,12,5,3,1,1,9,0,0,5013,-7,1080,-112,-46,-35,-52,-46,-68,-3,-58,825,-271,85,-82,-154,-32,-30,-4,-5,-724,-105,15,-21,140,60,-4,1,0.0,234.0,0.058751114,55372.0,0.0035690004,232.75,272.61,4.0309973,"{""type"":""Point"",""coordinates"":[90.49102585596503,28.56036388327871]}"
00000000000000000863,29,189,189,29,31,37,47,55,46,34,8,0,5004,9,809,-54,12,6,-71,23,0,-2,-22,2495,-59,20,12,-144,-127,26,-8,5,618,-16,-6,11,-51,-2,18,-1,13.248373,236.25,0.058751114,55380.0,0.0036055003,229.75,272.81,3.7969973,"{""type"":""Point"",""coordinates"":[90.90011716391132,28.52371007261939]}"
00000000000000000e10,22,174,174,17,13,10,17,9,6,10,1,0,4006,14,-119,-100,-25,-20,-10,26,-4,0,-22,-267,-125,-35,-16,10,-24,-1,0,9,1149,-114,-76,-67,-17,12,19,-3,32.276703,270.5,0.058751114,63574.0,0.0041535003,204.0,278.95502,1.8109972,"{""type"":""Point"",""coordinates"":[97.70593608336047,30.884755030307396]}"
00000000000000000a2c,29,194,192,29,31,38,61,95,73,33,9,0,4949,18,664,-51,25,12,-77,36,-11,-1,-3,2120,182,45,-43,-58,-64,9,-7,12,668,21,8,0,-79,10,-8,-1,34.07169,230.25,0.058751114,53854.0,0.0033775005,227.0,270.775,2.0819974,"{""type"":""Point"",""coordinates"":[92.05274573611548,29.430829459022934]}"
00000000000000000857,29,193,192,28,31,35,49,57,45,32,7,0,5010,10,44,-37,-1,8,-28,26,-8,0,-8,-517,-9,-1,-8,3,-45,71,1,8,192,-35,-7,13,-34,15,5,0,10.125056,231.375,0.058751114,54880.0,0.0029575005,243.125,273.015,3.5609975,"{""type"":""Point"",""coordinates"":[85.95570092911156,30.827353022446385]}"
00000000000000000656,30,197,196,31,36,47,70,97,83,39,16,0,5340,13,192,-15,0,4,-16,14,-6,0,-3,15,54,2,-25,13,-81,35,0,9,254,3,-2,-3,-10,-8,6,0,6.688918,239.125,0.058751114,56420.0,0.0034150004,239.25,274.505,3.3939972,"{""type"":""Point"",""coordinates"":[86.86497852042497,30.495872368335316]}"
00000000000000000785,38,200,199,39,45,54,71,90,78,47,17,0,5120,12,-221,-38,-2,17,-30,21,4,1,-8,152,-40,-66,-13,-60,-50,79,0,7,-54,-10,-18,9,-29,7,11,0,9.715642,231.875,0.058751114,55654.0,0.0030475003,244.375,272.90497,3.5399973,"{""type"":""Point"",""coordinates"":[84.72653634642603,29.86283162818183]}"
000000000000000002ae,48,201,200,51,66,84,103,116,106,71,6,0,4560,9,139,0,0,1,-7,2,0,0,-4,676,60,24,18,-18,-8,12,-2,7,161,7,4,3,-7,0,3,0,0.92740995,237.75,0.058751114,59248.0,0.0033535003,229.5,273.565,4.1479974,"{""type"":""Point"",""coordinates"":[89.1424777607756,32.08157775305227]}"
00000000000000000441,43,206,205,46,55,66,78,96,73,58,3,0,4661,8,141,-23,0,8,-23,19,-4,0,1,-382,30,3,20,3,-53,52,1,7,62,-5,0,6,-18,4,4,0,2.1459959,241.875,0.058751114,58484.0,0.0033610002,242.5,275.64502,3.5489974,"{""type"":""Point"",""coordinates"":[85.94734903283845,30.911701377973365]}"
000000000000000008e9,30,193,192,30,33,42,63,75,60,36,2,0,4757,14,-67,-31,-3,4,-31,16,-1,0,-7,772,51,17,-82,-28,-29,-21,-2,11,35,-24,6,-13,-60,30,-9,0,0.0,240.625,0.058751114,57222.0,0.0035515004,220.375,273.275,2.3309972,"{""type"":""Point"",""coordinates"":[91.32726783112406,31.081214104520104]}"
00000000000000000b9b,20,176,176,16,11,8,17,11,7,9,1,0,4062,13,333,-75,-11,-13,-20,6,-3,0,-15,80,-56,-50,15,14,-52,15,0,14,1207,-12,-25,-52,-58,0,27,-3,46.228,260.625,0.058751114,61834.0,0.0033465005,202.5,276.78998,2.7709973,"{""type"":""Point"",""coordinates"":[97.53911665385002,29.753953757759838]}"
00000000000000000285,33,178,178,31,31,35,36,48,41,31,1,0,5699,5,148,-24,-1,14,-2,17,-8,0,-16,3135,0,-13,-48,-135,-96,25,-10,2,198,0,-1,0,-7,-2,3,0,23.807947,212.875,0.058751114,50318.0,0.0025580004,249.75,268.39,2.6229973,"{""type"":""Point"",""coordinates"":[87.4716080050389,28.765446858928804]}"
000000000000000007dd,34,202,200,35,42,51,74,88,72,46,1,0,4742,13,-231,-28,8,3,-30,20,-2,1,-2,-344,49,28,-45,-31,-10,21,1,11,-60,-15,7,-3,-46,20,2,0,3.8572907,242.0,0.058751114,57494.0,0.0036000004,227.5,274.22498,3.2239974,"{""type"":""Point"",""coordinates"":[90.27570032519519,30.550848625223264]}"
000000000000000012a1,24,187,186,22,21,24,41,55,39,21,8,0,4862,15,-78,-48,43,-10,-58,21,8,0,-17,3062,66,71,-9,-140,-56,-10,-10,6,-183,-7,44,-14,-63,1,-14,1,18.078928,257.875,0.058751114,61082.0,0.0046930006,218.125,276.72,3.2699971,"{""type"":""Point"",""coordinates"":[91.28603452368284,28.37360335385724]}"
0000000000000000094d,29,188,187,27,27,36,52,61,51,33,2,0,4416,12,115,-53,16,0,-28,23,-11,0,-20,2001,-43,43,70,-62,-20,24,-7,7,417,-26,11,13,-35,12,0,-1,3.7339282,249.5,0.058751114,60066.0,0.0037820004,213.0,274.81,1.9699973,"{""type"":""Point"",""coordinates"":[96.30752632019144,31.015727746449205]}"
0000000000000000098e,28,181,180,26,24,28,37,34,27,27,1,0,4432,12,-343,-61,14,-7,-41,22,8,1,-29,2386,-157,6,57,-104,-25,49,-8,6,831,-58,15,3,-46,14,-3,-2,16.373758,249.5,0.058751114,60066.0,0.0037820004,213.0,274.81,1.9699973,"{""type"":""Point"",""coordinates"":[96.30402592586447,31.014109092766805]}"
000000000000000012e3,29,188,187,27,27,36,52,61,51,33,2,0,4416,12,115,-53,16,0,-28,23,-11,0,-20,2001,-43,43,70,-62,-20,24,-7,7,417,-26,11,13,-35,12,0,-1,3.7339282,249.5,0.058751114,60066.0,0.0037820004,213.0,274.81,1.9699973,"{""type"":""Point"",""coordinates"":[96.30752632019144,31.015727746449205]}"
0000000000000000056c,38,207,206,40,53,70,84,96,85,59,3,0,4738,9,449,-17,2,4,-18,16,-6,-1,0,-1085,28,-10,24,9,-39,42,3,9,-34,-3,0,6,-12,4,7,0,6.5321813,234.75,0.058751114,56484.0,0.0031065005,242.75,273.875,3.5409973,"{""type"":""Point"",""coordinates"":[85.9624386308033,31.012494898185455]}"
00000000000000000866,35,203,202,35,40,46,64,82,68,42,2,0,5179,12,281,-26,-1,6,-35,21,-4,0,0,-291,85,-34,-79,-7,-7,6,1,10,-399,4,-8,-2,-36,23,-8,1,5.547545,229.625,0.058751114,54184.0,0.0035345005,232.75,271.34,4.2729974,"{""type"":""Point"",""coordinates"":[90.23419947169076,28.434510215146265]}"
