system:index,B1,B2,B3,B4,B5,B6_VCID_1,B6_VCID_2,B7,B8,Built,DEM,EVI,EVI_constant,EVI_cos_1,EVI_cos_2,EVI_cos_3,EVI_sin_1,EVI_sin_2,EVI_sin_3,EVI_t,NDBI,NDBI_constant,NDBI_cos_1,NDBI_cos_2,NDBI_cos_3,NDBI_sin_1,NDBI_sin_2,NDBI_sin_3,NDBI_t,NDVI,NDVI_constant,NDVI_cos_1,NDVI_cos_2,NDVI_cos_3,NDVI_sin_1,NDVI_sin_2,NDVI_sin_3,NDVI_t,SLOPE,lrad,prec,pres,shum,srad,temp,wind,.geo
00000000000000001b6b,30,27,23,69,47,200,200,25,45,0,177,34,-2142,-41,-30,113,21,101,-80,9,-16,780,22,62,-44,-9,-38,6,-3,21,-1483,-40,-32,125,7,70,-34,6,3.7859883,352.33334,0.076667786,99476.664,0.008835333,140.5,289.05,1.6353306,"{""type"":""Point"",""coordinates"":[111.7530720266436,32.70599905086945]}"
00000000000000001ef9,30,27,24,37,27,177,177,15,35,0,1154,30,880,-279,31,8,-45,68,-40,-2,-19,-566,50,-64,40,39,-67,-53,1,21,1093,-245,-9,66,-50,44,-23,-3,15.467549,312.16666,0.076667786,89304.664,0.0067463336,151.5,283.29,1.2633306,"{""type"":""Point"",""coordinates"":[110.79609543136148,33.803646907084634]}"
00000000000000000d39,35,30,27,62,42,200,199,22,48,0,49,48,512,0,-30,180,68,103,-245,0,-21,-1448,-44,47,-133,-137,11,148,4,33,722,50,-13,102,57,5,-175,-1,0.92740995,347.41666,0.076667786,100778.0,0.008639667,144.08333,288.65668,1.3959973,"{""type"":""Point"",""coordinates"":[114.67466165955817,33.75109640116977]}"
00000000000000000da1,34,30,26,67,49,191,191,27,47,0,49,42,98,-34,9,132,55,38,-183,1,-21,-807,-44,2,-28,-53,45,100,2,29,738,-10,8,78,40,-16,-123,-1,4.7597456,345.25,0.076667786,100760.0,0.0083466675,145.5,288.54,1.6259972,"{""type"":""Point"",""coordinates"":[114.9640974498363,34.07503225629841]}"
00000000000000001cd3,27,23,17,75,48,194,195,20,45,0,862,36,2369,-311,45,88,-64,-23,37,-7,-8,603,221,29,-23,35,24,-40,-2,29,2464,-260,23,113,-69,-7,30,-7,21.051157,317.41666,0.076667786,90505.336,0.007133667,151.25,284.26666,1.5739971,"{""type"":""Point"",""coordinates"":[110.70635602266088,33.94001513550112]}"
00000000000000000c40,44,38,41,44,46,200,200,38,44,1,55,8,333,-48,-30,25,-21,3,-15,0,-7,-2020,15,34,-12,16,27,-18,7,6,203,-40,-14,21,-13,8,-25,0,1.4430984,349.91666,0.076667786,100772.664,0.0085930005,146.0,289.28998,1.4346639,"{""type"":""Point"",""coordinates"":[114.34803250739326,33.005405391103075]}"
00000000000000002734,44,40,42,51,49,200,200,41,46,1,54,10,-35,-77,-17,27,-8,-2,-7,0,-8,-1460,6,21,-12,6,52,-30,5,7,87,-52,-4,10,-7,5,-19,0,2.3969622,349.91666,0.076667786,100772.664,0.0085930005,146.0,289.28998,1.4346639,"{""type"":""Point"",""coordinates"":[114.34695786403938,32.99812813818385]}"
00000000000000000d54,28,23,21,53,42,199,199,24,36,0,545,23,1003,-247,33,21,-88,-4,12,-2,-12,436,80,-43,15,47,25,-22,-2,17,50,-234,17,42,-46,11,35,0,7.8397403,331.41666,0.076667786,96126.664,0.007741667,158.25,287.28665,1.6179972,"{""type"":""Point"",""coordinates"":[111.94737735504751,34.12515701124019]}"
00000000000000001b64,33,30,27,56,43,199,199,24,40,0,79,31,732,-263,45,25,-65,62,-117,-1,-16,-324,105,-44,-35,13,-10,80,0,19,526,-168,-6,40,-30,5,-44,-1,2.3768795,358.5,0.076667786,100231.336,0.009719334,137.25,289.59,1.8653306,"{""type"":""Point"",""coordinates"":[111.86706894507493,32.107721462528616]}"
00000000000000000e7e,31,24,19,62,35,198,198,17,39,0,39,44,882,20,-39,152,132,75,-257,-1,-22,-990,-50,50,-80,-153,13,139,2,29,1006,59,-28,103,90,0,-184,-2,2.9929671,348.83334,0.076667786,100818.0,0.008626667,145.83333,289.04333,1.4633305,"{""type"":""Point"",""coordinates"":[114.59192749861256,33.320984890857545]}"
000000000000000007c3,35,35,37,62,53,201,201,36,46,1,167,26,-1908,-126,-50,34,30,58,-34,8,-13,1227,67,16,-27,-37,2,-28,-5,17,-1807,-96,-51,44,41,39,-6,7,2.7802885,352.66666,0.076667786,99536.0,0.008793334,140.5,289.12668,1.6913306,"{""type"":""Point"",""coordinates"":[111.84982114220021,32.76825256067661]}"
000000000000000019b4,24,19,12,82,33,196,196,12,45,0,205,65,-794,-52,38,16,23,36,-7,5,-27,5243,63,-26,19,10,-61,63,-20,38,-4132,-99,84,-50,31,60,-68,17,10.277395,393.16666,0.2641678,96338.0,0.014345667,182.5,295.24332,2.2413306,"{""type"":""Point"",""coordinates"":[110.05229062104038,18.883619637084223]}"
00000000000000001220,33,29,22,33,12,193,193,5,29,0,1,26,-1477,-24,-42,-16,-34,-16,55,6,-21,-1710,62,-76,-45,90,64,-33,5,18,-177,-61,18,3,-42,-40,60,1,2.725349,399.58334,0.2641678,101086.0,0.014335668,163.0,296.01666,3.7026641,"{""type"":""Point"",""coordinates"":[111.89671304887824,21.913547589193325]}"
00000000000000001123,30,25,18,78,40,195,195,14,44,0,80,48,-282,-67,101,-94,-222,-30,46,2,-17,-466,4,-28,24,65,27,-15,1,29,988,-53,128,-94,-202,-90,61,-2,10.905609,399.33334,0.2641678,100914.0,0.014422,164.41667,295.95334,4.012664,"{""type"":""Point"",""coordinates"":[111.8880891474409,21.635968548616322]}"
0000000000000000198a,22,19,11,84,43,196,196,16,44,0,457,55,-1361,-248,-22,29,-55,-22,-28,7,-18,-444,19,4,-24,7,-69,-10,0,32,-1018,-172,-29,-1,-55,47,-41,5,17.759115,393.83334,0.2641678,96371.336,0.014305667,180.16667,295.27332,1.9759973,"{""type"":""Point"",""coordinates"":[110.13745053295908,19.06580066972381]}"
00000000000000001746,26,23,18,66,43,198,198,19,40,0,26,47,-4190,-239,-145,-112,20,-68,76,16,-17,2945,80,56,4,79,0,-115,-11,33,-6450,-259,-147,-75,81,-14,123,25,4.045296,410.08334,0.2641678,100443.336,0.015789667,172.16667,297.25665,2.534664,"{""type"":""Point"",""coordinates"":[109.88277789449364,19.855418284268005]}"
000000000000000018b3,26,22,16,74,51,197,196,21,42,0,196,56,3906,-132,-44,0,-6,-5,-15,-12,-17,-2698,79,0,-25,10,14,1,9,37,2893,-146,-45,-59,-12,-7,-58,-9,3.0896382,407.83334,0.2641678,99400.664,0.015814,179.41667,297.21664,1.9146639,"{""type"":""Point"",""coordinates"":[109.46182983684623,19.417489969809086]}"
000000000000000016cf,26,20,13,75,39,195,196,14,40,0,99,55,-1906,-210,-17,27,-30,35,-47,9,-21,1932,68,35,-2,102,8,27,-8,38,-1021,-215,-1,-4,-67,42,-76,5,2.9484096,411.66666,0.2641678,100282.664,0.015739668,172.5,297.5,1.9893305,"{""type"":""Point"",""coordinates"":[110.35708801444761,19.350652504118987]}"
00000000000000001408,32,26,21,46,25,191,191,13,40,0,412,46,2175,-184,6,-58,-119,-39,25,-6,-20,2349,50,46,59,-73,10,17,-9,27,-3264,-170,-89,-68,66,0,4,13,7.4617796,362.58334,0.13916779,96872.664,0.009576334,135.91667,289.40332,1.7466639,"{""type"":""Point"",""coordinates"":[109.53297479415397,26.76310090818209]}"
00000000000000001643,29,22,16,43,24,191,191,10,34,0,523,40,-2819,-103,-103,105,91,-100,-63,12,-18,1690,-38,-274,-156,189,134,-79,-6,27,-4679,-47,56,151,-38,-152,1,18,7.16171,361.16666,0.13916779,95721.336,0.009703667,135.66667,289.12665,1.7659973,"{""type"":""Point"",""coordinates"":[109.84585653777111,26.563136980541362]}"
00000000000000000ee6,25,21,16,49,47,192,191,21,32,0,927,32,785,4,-297,97,-198,53,-239,-2,-5,17,-15,-87,-85,29,16,-85,0,22,2391,10,-249,77,-127,40,-130,-8,31.941557,340.0,0.13916779,90082.664,0.008051667,141.08333,286.18,1.7039973,"{""type"":""Point"",""coordinates"":[111.1364675329731,26.65638124266997]}"
00000000000000001205,26,21,15,59,29,197,197,11,37,0,88,44,-191,-182,-22,-3,-71,5,34,2,-22,733,113,18,-9,16,5,-12,-3,31,-1506,-237,-41,-24,-52,-4,2,6,9.584834,364.75,0.13916779,100923.336,0.009685334,142.66667,290.54666,2.3079972,"{""type"":""Point"",""coordinates"":[111.56604395115892,29.095308859357452]}"
000000000000000015d0,35,26,20,45,27,189,189,12,37,0,85,46,776,-181,3,-10,-111,-30,-2,-1,-24,1147,28,6,-13,42,18,11,-5,34,836,-160,10,18,-138,-3,-26,-1,5.647551,360.0,0.13916779,99814.0,0.009855334,151.58333,290.3,2.4273307,"{""type"":""Point"",""coordinates"":[113.29323215320065,29.42571041101359]}"
00000000000000000e18,27,26,20,70,48,193,194,27,42,0,1490,32,-212,-189,-4,9,-111,24,63,1,-14,-3071,88,2,-35,46,-30,-48,10,23,78,-169,-8,-9,-132,14,84,0,26.25061,316.08334,0.13916779,83226.664,0.0069950004,131.16667,281.74332,1.3119972,"{""type"":""Point"",""coordinates"":[110.6605387593367,30.585076684909502]}"
00000000000000001720,26,21,15,49,27,193,193,11,29,0,858,37,-338,-197,31,56,-55,-17,31,2,-16,530,95,-19,-20,3,5,-18,-2,25,-1791,-189,40,9,-37,-13,24,8,26.714424,353.33334,0.13916779,93253.336,0.009317,136.08333,288.50333,1.3526639,"{""type"":""Point"",""coordinates"":[110.08247427607115,30.710930353041963]}"
00000000000000000d6b,25,21,15,65,42,194,195,18,38,0,1082,46,-2511,-219,-20,9,41,-10,121,11,-17,974,129,-8,-27,9,16,-69,-4,29,-3741,-151,-37,41,86,-75,122,15,9.429017,345.91666,0.13916779,91487.336,0.008960334,124.666664,286.18665,1.2979972,"{""type"":""Point"",""coordinates"":[109.44538913126219,29.16456761691958]}"
