Year,Size,Acc_type,Acc_value
Training_sample_huadong_1990_1992,0.10,acc_test,0.733015494636472
Training_sample_huadong_1990_1992,0.10,acc_RF,0.5
Training_sample_huadong_1990_1992,0.40,acc_test,0.7556615017878426
Training_sample_huadong_1990_1992,0.40,acc_RF,0.875
Training_sample_huadong_1990_1992,0.70,acc_test,0.799165673420739
Training_sample_huadong_1990_1992,0.70,acc_RF,0.9047619047619048
Training_sample_huadong_1990_1992,1.00,acc_test,0.8200238379022646
Training_sample_huadong_1990_1992,1.00,acc_RF,0.8333333333333334
Training_sample_huadong_1990_1992,1.50,acc_test,0.8307508939213349
Training_sample_huadong_1990_1992,1.50,acc_RF,0.8666666666666667
Training_sample_huadong_1990_1992,10.00,acc_test,0.8831942789034565
Training_sample_huadong_1990_1992,10.00,acc_RF,0.92
Training_sample_huadong_1990_1992,15.00,acc_test,0.8933253873659118
Training_sample_huadong_1990_1992,15.00,acc_RF,0.9377777777777778
Training_sample_huadong_1990_1992,2.00,acc_test,0.866507747318236
Training_sample_huadong_1990_1992,2.00,acc_RF,0.925
Training_sample_huadong_1990_1992,20.00,acc_test,0.899880810488677
Training_sample_huadong_1990_1992,20.00,acc_RF,0.9333333333333333
Training_sample_huadong_1990_1992,25.00,acc_test,0.902264600715137
Training_sample_huadong_1990_1992,25.00,acc_RF,0.9266666666666666
Training_sample_huadong_1990_1992,30.00,acc_test,0.8963051251489869
Training_sample_huadong_1990_1992,30.00,acc_RF,0.9294836202109938
Training_sample_huadong_1990_1992,35.00,acc_test,0.8897497020262217
Training_sample_huadong_1990_1992,35.00,acc_RF,0.9338410280818658
Training_sample_huadong_1990_1992,40.00,acc_test,0.8951132300357568
Training_sample_huadong_1990_1992,40.00,acc_RF,0.9366930445647647
Training_sample_huadong_1990_1992,45.00,acc_test,0.8933253873659118
Training_sample_huadong_1990_1992,45.00,acc_RF,0.9370603480192521
Training_sample_huadong_1990_1992,5.00,acc_test,0.8671036948748511
Training_sample_huadong_1990_1992,5.00,acc_RF,0.94
Training_sample_huadong_1990_1992,50.00,acc_test,0.901072705601907
Training_sample_huadong_1990_1992,50.00,acc_RF,0.9413724183877415
Training_sample_huadong_1990_1992,55.00,acc_test,0.9028605482717521
Training_sample_huadong_1990_1992,55.00,acc_RF,0.937916414294367
Training_sample_huadong_1990_1992,60.00,acc_test,0.902264600715137
Training_sample_huadong_1990_1992,60.00,acc_RF,0.9380899500277624
Training_sample_huadong_1990_1992,65.00,acc_test,0.9058402860548271
Training_sample_huadong_1990_1992,65.00,acc_RF,0.9402870322911328
Training_sample_huadong_1990_1992,70.00,acc_test,0.9106078665077473
Training_sample_huadong_1990_1992,70.00,acc_RF,0.9405045216563541
Training_sample_huadong_1990_1992,75.00,acc_test,0.9082240762812872
Training_sample_huadong_1990_1992,75.00,acc_RF,0.9438152342882523
Training_sample_huadong_1990_1992,80.00,acc_test,0.9106078665077473
Training_sample_huadong_1990_1992,80.00,acc_RF,0.9435769310847387
Training_sample_huadong_1990_1992,85.00,acc_test,0.9123957091775924
Training_sample_huadong_1990_1992,85.00,acc_RF,0.9433666470703508
Training_sample_huadong_1990_1992,90.00,acc_test,0.9082240762812872
Training_sample_huadong_1990_1992,90.00,acc_RF,0.9441051267814178
Training_sample_huadong_1990_1992,95.00,acc_test,0.9135876042908224
Training_sample_huadong_1990_1992,95.00,acc_RF,0.9430124495879362
Training_sample_huadong_1993_1995,0.10,acc_test,0.6536697247706422
Training_sample_huadong_1993_1995,0.10,acc_RF,0.8
Training_sample_huadong_1993_1995,0.40,acc_test,0.8165137614678899
Training_sample_huadong_1993_1995,0.40,acc_RF,0.8695652173913043
Training_sample_huadong_1993_1995,0.70,acc_test,0.8193807339449541
Training_sample_huadong_1993_1995,0.70,acc_RF,0.926829268292683
Training_sample_huadong_1993_1995,1.00,acc_test,0.8285550458715596
Training_sample_huadong_1993_1995,1.00,acc_RF,0.9491525423728814
Training_sample_huadong_1993_1995,1.50,acc_test,0.8577981651376146
Training_sample_huadong_1993_1995,1.50,acc_RF,0.9325842696629213
Training_sample_huadong_1993_1995,10.00,acc_test,0.885894495412844
Training_sample_huadong_1993_1995,10.00,acc_RF,0.9409780775716695
Training_sample_huadong_1993_1995,15.00,acc_test,0.8893348623853211
Training_sample_huadong_1993_1995,15.00,acc_RF,0.9471910112359551
