system:index,B1,B2,B3,B4,B5,B6,B7,Built,DEM,EVI,EVI_constant,EVI_cos_1,EVI_cos_2,EVI_cos_3,EVI_sin_1,EVI_sin_2,EVI_sin_3,EVI_t,NDBI,NDBI_constant,NDBI_cos_1,NDBI_cos_2,NDBI_cos_3,NDBI_sin_1,NDBI_sin_2,NDBI_sin_3,NDBI_t,NDVI,NDVI_constant,NDVI_cos_1,NDVI_cos_2,NDVI_cos_3,NDVI_sin_1,NDVI_sin_2,NDVI_sin_3,NDVI_t,SLOPE,lrad,prec,pres,shum,srad,temp,wind,.geo
1_00000000000000000029,31,31,33,51,56,193,44,1,1155,12,291,-51,18,3,-29,28,-12,-1,1,431,27,-64,22,27,-57,-19,-3,12,297,-61,9,8,-38,27,-14,-1,11.94349,268.41666,0.046667784,88436.664,0.0044330005,175.25,278.16333,2.9219973,"{""type"":""Point"",""coordinates"":[115.6235539046304,40.837187658232224]}"
1_00000000000000000051,38,43,51,69,77,203,62,1,1035,11,-61,-15,8,-3,-20,11,5,1,0,-14,18,-6,6,-5,0,18,0,10,37,-20,0,0,-28,13,8,0,1.8543341,278.25,0.016667783,89643.336,0.004902334,192.58333,281.55,2.7719972,"{""type"":""Point"",""coordinates"":[107.0948587338582,41.07757779602349]}"
1_000000000000000000b9,31,32,33,45,50,199,42,1,557,8,291,-58,13,6,-27,12,3,-1,-6,-161,-23,-25,17,26,-6,-3,0,7,405,-68,7,10,-31,15,5,-2,1.5439274,278.33334,0.06750111,91653.336,0.004857334,167.16667,279.30667,1.0326638,"{""type"":""Point"",""coordinates"":[117.72749601377885,41.3096115784406]}"
1_000000000000000000fa,30,30,32,58,62,196,48,1,1235,14,152,-60,19,6,-39,32,-12,0,0,140,-8,-34,21,17,-48,24,-1,13,-18,-75,5,13,-46,31,-6,1,3.7047918,257.83334,0.050001115,85720.0,0.0041970005,170.58333,275.35,2.8093305,"{""type"":""Point"",""coordinates"":[116.37571061122462,41.64109223255167]}"
1_0000000000000000017d,30,30,31,44,44,194,31,1,905,10,448,-26,13,7,-19,9,6,-2,-7,653,-40,-20,52,7,-8,12,-5,8,381,-46,8,12,-23,10,10,-2,2.660945,264.0,0.06083445,87631.336,0.0042563337,167.08333,276.34998,1.6619972,"{""type"":""Point"",""coordinates"":[117.66712870371727,41.9997867803919]}"
1_000000000000000001f8,40,42,48,75,78,200,61,1,554,14,192,-53,15,14,-45,36,-10,0,-3,-664,-20,-51,14,18,-53,22,4,11,69,-63,5,14,-53,39,-10,0,2.238344,275.91666,0.052501116,94165.336,0.0045953337,174.0,279.59,2.6713307,"{""type"":""Point"",""coordinates"":[119.90959278709099,42.336654028575516]}"
1_000000000000000002ef,34,33,34,50,48,201,39,1,179,10,-12,-76,29,-1,-37,31,-14,0,-3,652,25,-53,6,14,-6,4,-4,9,77,-71,14,2,-39,32,-9,0,1.5808707,280.41666,0.05583445,99241.336,0.005230667,171.91667,280.13,3.9793305,"{""type"":""Point"",""coordinates"":[122.28464824028893,43.59708136874675]}"
1_00000000000000000332,35,35,40,62,68,199,56,1,628,13,5,-50,17,9,-33,28,-5,1,-1,519,15,-33,-26,9,-57,-1,-3,12,190,-64,4,3,-41,20,-7,0,1.5880411,267.66666,0.049167782,93678.0,0.0043856674,173.58333,277.86,2.5899973,"{""type"":""Point"",""coordinates"":[119.22076423365783,44.00833088160291]}"
1_00000000000000000361,40,37,36,42,37,200,30,1,727,6,275,-59,-3,14,-16,3,-6,-1,-11,-26,-26,-14,-15,3,-23,31,0,6,329,-65,-2,12,-16,0,0,-1,3.882796,303.83334,0.06250112,91097.336,0.006584667,172.25,283.41,1.7893306,"{""type"":""Point"",""coordinates"":[112.8542247362868,35.50065591319664]}"
1_0000000000000000036f,39,42,48,70,69,201,57,1,798,12,214,-61,0,19,-20,-3,9,0,-4,-64,11,17,0,-6,3,10,0,10,416,-63,-7,8,-28,-8,17,-2,2.4690766,305.5,0.05083445,91184.664,0.006345334,165.83333,283.0533,1.6919973,"{""type"":""Point"",""coordinates"":[111.76196347414418,35.89735092021434]}"
1_00000000000000000379,37,32,31,32,27,184,24,1,450,3,61,-43,-6,2,-5,-6,4,0,-12,673,-24,3,-17,-19,-11,3,-5,3,98,-53,-6,3,-6,-5,5,0,2.1802049,321.25,0.04833445,95958.664,0.0071013337,163.66667,285.72998,1.7173306,"{""type"":""Point"",""coordinates"":[111.51079568910673,36.07791329917153]}"
1_00000000000000000383,31,29,28,51,50,197,36,1,489,13,261,-94,-15,24,-14,-2,5,0,-8,428,-4,-4,-38,-45,8,-12,-3,11,458,-101,-15,16,-21,-6,11,-2,2.9533806,314.25,0.05083445,94304.0,0.0067320005,165.33333,284.82333,1.7333306,"{""type"":""Point"",""coordinates"":[111.73851752080516,36.29485748362378]}"
1_0000000000000000038e,43,46,50,63,62,203,55,1,46,12,355,-68,-32,31,-17,12,-20,-1,-6,96,12,-7,-67,-4,0,-6,-1,9,-11,-60,-28,21,-17,21,-26,0,3.6062143,327.16666,0.052501116,100813.336,0.0077033336,160.91667,286.39667,2.1713307,"{""type"":""Point"",""coordinates"":[115.14951133073966,36.295397034851256]}"
1_000000000000000003a2,35,31,30,32,27,186,24,1,728,3,87,-42,-1,-1,-11,-2,5,0,-13,-71,-13,10,-37,-21,0,-4,0,3,92,-50,1,0,-13,0,4,0,6.566187,302.83334,0.05083445,91684.0,0.006108334,167.08333,283.21332,1.8859973,"{""type"":""Point"",""coordinates"":[111.78163702799198,36.84947601355032]}"
