system:index,B1,B2,B3,B4,B5,B6,B7,Built,DEM,EVI,EVI_constant,EVI_cos_1,EVI_cos_2,EVI_cos_3,EVI_sin_1,EVI_sin_2,EVI_sin_3,EVI_t,NDBI,NDBI_constant,NDBI_cos_1,NDBI_cos_2,NDBI_cos_3,NDBI_sin_1,NDBI_sin_2,NDBI_sin_3,NDBI_t,NDVI,NDVI_constant,NDVI_cos_1,NDVI_cos_2,NDVI_cos_3,NDVI_sin_1,NDVI_sin_2,NDVI_sin_3,NDVI_t,SLOPE,lrad,prec,pres,shum,srad,temp,wind,.geo
1_00000000000000000037,28,29,29,48,57,189,43,1,3048,12,666,-96,69,17,-70,57,-42,-2,-13,1436,14,44,32,-25,-107,55,-6,10,593,-112,67,14,-72,61,-40,-1,18.679794,235.33333,0.06416778,65761.336,0.0035076672,185.91667,270.31998,2.202664,"{""type"":""Point"",""coordinates"":[101.96960811493699,37.31758798304002]}"
1_0000000000000000004a,37,37,39,47,50,200,45,1,1045,5,-88,-47,-8,13,-30,20,0,0,-6,375,20,0,9,-18,-59,-45,-1,5,-59,-44,-5,10,-31,17,0,0,9.228245,291.58334,0.05083445,89066.0,0.005408667,183.58333,282.93,2.188664,"{""type"":""Point"",""coordinates"":[109.69197741951774,37.147807710430065]}"
1_00000000000000000090,45,52,62,72,86,206,76,1,1368,6,-57,1,-7,-7,-6,5,8,0,1,1146,24,-19,-57,21,-34,-3,-4,6,-151,4,-7,-8,-6,4,8,0,4.6273675,289.25,0.025001116,85718.0,0.0052863336,190.08333,282.54,2.606664,"{""type"":""Point"",""coordinates"":[104.92919820702903,37.43994125684553]}"
1_0000000000000000009e,47,48,53,59,66,206,62,1,688,3,-177,-18,3,6,-9,7,-5,0,-6,113,6,-35,-21,-24,-50,3,0,3,-140,-17,-1,2,-10,2,-6,0,12.098643,307.0,0.05083445,92684.0,0.0057760007,173.25,285.32666,2.2033305,"{""type"":""Point"",""coordinates"":[110.74031207718286,37.45557040603785]}"
1_000000000000000000e0,42,48,55,78,81,203,69,1,1787,11,-298,-51,27,-3,-8,-19,12,1,-5,985,56,11,49,-8,-5,-18,-4,9,72,-37,22,0,-10,-19,6,0,2.5193825,282.91666,0.026667783,81726.664,0.005339334,189.75,281.71,3.2453306,"{""type"":""Point"",""coordinates"":[102.79911238840425,37.69191613917364]}"
1_00000000000000000135,40,46,49,75,80,203,65,1,1184,12,-7,-70,3,28,-68,56,-22,0,-4,-656,65,-11,-17,9,-106,-56,2,10,-49,-68,-5,23,-75,49,-24,0,4.38231,287.33334,0.038334448,87492.664,0.0048246672,182.0,282.31332,2.268664,"{""type"":""Point"",""coordinates"":[109.06109042517305,37.83124521068961]}"
1_00000000000000000136,44,50,55,62,72,204,68,1,1108,4,207,-16,2,4,-2,6,1,0,-6,994,-40,-15,3,-30,-68,-61,-4,3,174,-15,0,3,-4,1,0,0,13.198785,289.58334,0.03583445,88212.0,0.004912667,181.41667,282.77,2.3753307,"{""type"":""Point"",""coordinates"":[109.2761484098797,37.96734143394183]}"
1_00000000000000000182,42,43,47,51,52,203,47,1,1093,4,205,-40,7,13,-16,12,2,0,-9,187,-21,-26,-22,-17,-50,-44,-1,3,184,-35,4,7,-11,6,1,0,3.6449373,288.66666,0.040001117,88691.336,0.0049840007,182.25,282.87,2.6759973,"{""type"":""Point"",""coordinates"":[109.77579068291831,38.24949997130073]}"
1_000000000000000001c0,32,36,39,68,64,205,53,1,2425,12,-149,-61,30,-17,-22,10,9,1,-9,385,32,7,1,-14,-55,-41,-1,10,14,-74,32,-23,-31,3,14,0,3.0063624,259.0,0.050001115,75065.336,0.0039090007,186.0,276.75665,1.6153306,"{""type"":""Point"",""coordinates"":[100.57093080570473,38.47264230621727]}"
1_000000000000000001c4,42,43,47,51,50,207,45,1,1726,2,-18,-23,3,-4,0,-6,2,0,-5,-76,20,9,-30,0,-1,-17,0,2,-45,-22,3,-7,0,-6,2,0,2.1990557,268.25,0.021667784,80365.336,0.004087334,195.91667,279.82666,2.6546638,"{""type"":""Point"",""coordinates"":[102.07821398019472,38.374278996079305]}"
1_000000000000000001ca,32,33,32,52,49,201,38,1,1043,8,117,-63,-1,7,-40,13,-7,0,-7,920,-13,-54,-51,-25,-83,-69,-4,7,-58,-58,-10,-3,-46,2,-3,0,12.410346,288.66666,0.040001117,88691.336,0.0049840007,182.25,282.87,2.6759973,"{""type"":""Point"",""coordinates"":[109.80112283600293,38.256237672992484]}"
1_0000000000000000020d,40,41,46,52,51,208,46,1,1541,4,-76,-24,-1,-6,-15,-3,7,0,-8,1151,23,29,-34,14,-11,2,-5,4,-20,-24,1,-9,-16,-3,7,0,2.2002087,275.16666,0.020001117,82799.336,0.0042746672,196.25,281.36667,2.5059974,"{""type"":""Point"",""coordinates"":[102.1868243045535,38.50498416615791]}"
1_0000000000000000020f,44,51,58,78,85,203,73,1,1372,9,434,-44,12,-5,-19,6,3,-1,-1,49,58,5,-13,13,-19,-47,0,9,461,-41,15,-7,-17,4,-3,-1,2.2013683,281.16666,0.015001117,86170.0,0.0044026673,197.33333,282.78,2.5599973,"{""type"":""Point"",""coordinates"":[103.03788387251313,38.63568487713546]}"
1_00000000000000000212,40,43,48,62,65,205,58,1,1108,8,142,-58,17,-1,-27,22,0,0,-6,-494,13,-28,-31,14,3,2,1,7,-47,-53,9,-5,-28,20,-2,0,1.5054551,294.91666,0.01833445,88885.336,0.005178667,183.16667,283.8,2.1159973,"{""type"":""Point"",""coordinates"":[106.22762600637772,38.56831231931895]}"
1_00000000000000000261,37,35,36,42,43,199,42,1,943,2,27,-31,-12,4,-10,2,3,0,-9,-1281,14,-23,-22,13,-32,-11,5,2,-48,-30,-11,2,-8,-1,2,0,1.1907749,288.83334,0.045001116,89232.664,0.004920667,178.25,282.65,2.0439973,"{""type"":""Point"",""coordinates"":[110.49021893549929,38.850475315778894]}"
1_000000000000000002ef,31,31,34,54,61,204,51,1,1233,11,307,-32,-5,0,-33,0,6,0,-6,-1321,7,-68,-68,20,-102,-30,5,10,318,-38,-23,-13,-48,-7,6,0,5.1227574,283.91666,0.040001117,88100.0,0.0048063337,181.0,282.03333,2.372664,"{""type"":""Point"",""coordinates"":[110.18542154209206,39.23531357309549]}"
1_000000000000000002f1,38,42,49,65,72,206,64,1,1044,9,85,-36,-7,17,-45,27,-2,0,-6,-1362,7,-35,-35,29,-69,-13,5,8,-102,-40,-12,10,-44,18,-2,0,9.006308,293.0,0.05083445,90620.664,0.0052923337,168.33333,282.08,1.6273305,"{""type"":""Point"",""coordinates"":[111.13566043568244,39.153654055503736]}"
1_000000000000000003dc,40,42,44,65,54,204,44,1,1159,10,-133,-71,-7,4,-33,2,13,1,-11,-961,29,-25,-19,15,-13,-31,3,8,-112,-73,-2,1,-34,2,7,0,0.92740995,282.0,0.006667784,88561.336,0.0040520006,202.16667,284.07666,1.9333305,"{""type"":""Point"",""coordinates"":[94.6000116719975,40.11682880125016]}"
1_00000000000000000451,49,54,59,69,64,207,57,1,1178,5,-103,-35,1,-5,-17,12,5,0,-6,-945,16,-8,-1,-6,-23,-26,3,4,-182,-32,0,-5,-20,10,4,0,1.2198248,279.25,0.0075011174,87989.336,0.0039996672,197.75,283.17667,2.6533306,"{""type"":""Point"",""coordinates"":[95.78309144529565,40.515410008013454]}"
1_00000000000000000464,48,52,55,61,63,203,56,1,1047,4,154,98,65,34,1,13,-4,0,-17,5081,8383,3157,252,4142,3995,1494,2,3,280,145,94,33,29,50,22,0,1.224513,298.75,0.00833445,89609.336,0.005503667,183.83333,284.39667,1.4686639,"{""type"":""Point"",""coordinates"":[80.58548513471824,40.77143375409811]}"
