system:index,B1,B2,B3,B4,B5,B6,B7,Built,DEM,EVI,EVI_constant,EVI_cos_1,EVI_cos_2,EVI_cos_3,EVI_sin_1,EVI_sin_2,EVI_sin_3,EVI_t,NDBI,NDBI_constant,NDBI_cos_1,NDBI_cos_2,NDBI_cos_3,NDBI_sin_1,NDBI_sin_2,NDBI_sin_3,NDBI_t,NDVI,NDVI_constant,NDVI_cos_1,NDVI_cos_2,NDVI_cos_3,NDVI_sin_1,NDVI_sin_2,NDVI_sin_3,NDVI_t,SLOPE,lrad,prec,pres,shum,srad,temp,wind,.geo
1_00000000000000000016,38,34,32,37,32,200,27,1,66,7,-48,-39,19,0,-5,0,-24,0,-11,-822,18,-4,-21,1,-14,24,3,4,-187,-41,8,2,0,0,-11,1,5.108997,366.08334,0.11916778,100555.336,0.010515001,152.08333,291.53668,1.3753306,"{""type"":""Point"",""coordinates"":[111.44827463323637,30.392385551086953]}"
1_00000000000000000018,40,36,35,44,38,201,33,1,56,10,-597,-60,2,-17,13,16,-27,3,-13,-1296,20,-17,-12,1,-38,52,5,7,-246,-48,-3,-12,0,7,-8,1,2.1502533,362.33334,0.120001115,100729.336,0.010480667,153.58333,290.88,1.7159972,"{""type"":""Point"",""coordinates"":[111.72935406814032,30.426881156836405]}"
1_0000000000000000001a,37,35,32,65,55,201,38,1,41,24,297,-142,-5,-20,-49,44,-53,0,-13,-724,59,5,-2,23,-47,55,2,16,179,-99,2,-53,-49,15,-22,0,1.4206052,361.41666,0.12083445,100887.336,0.010463,153.83333,290.72,1.8393306,"{""type"":""Point"",""coordinates"":[111.92258475319034,30.49937722176334]}"
1_0000000000000000001e,33,29,25,59,46,201,31,1,33,23,-1277,-138,-22,-51,-32,64,-64,6,-17,-257,67,12,-60,-7,-37,62,0,17,-1897,-134,-4,-75,-41,57,-50,9,0.0,359.91666,0.10666778,100998.0,0.010260668,154.5,290.6133,2.1399972,"{""type"":""Point"",""coordinates"":[112.6044035997675,30.442242759965534]}"
1_0000000000000000001f,38,36,34,55,51,202,45,1,29,18,-237,-97,-19,-15,-46,21,-15,1,-10,-1013,42,23,-57,-15,-16,74,3,13,-709,-91,-5,-31,-36,32,-15,3,1.4199387,359.91666,0.10666778,100998.0,0.010260668,154.5,290.6133,2.1399972,"{""type"":""Point"",""coordinates"":[112.66611755834718,30.41960390391719]}"
1_00000000000000000020,42,39,38,45,41,200,33,1,36,8,430,-54,-16,5,4,5,-32,-1,-11,-635,1,-8,-37,-2,-9,15,2,6,21,-43,-7,-6,6,2,-23,0,2.341145,361.25,0.10666778,100978.0,0.010321001,155.0,290.87,1.9453306,"{""type"":""Point"",""coordinates"":[112.89033899571865,30.4152919531985]}"
1_00000000000000000025,40,38,35,59,46,199,31,1,28,27,225,-146,-23,44,-53,36,-17,0,-15,-363,55,7,-17,-11,-17,10,0,20,-486,-103,-18,28,-20,-8,4,2,2.3405674,363.91666,0.10583445,101028.0,0.010316334,156.75,291.5,1.4759972,"{""type"":""Point"",""coordinates"":[113.539552895393,30.386726951850132]}"
1_00000000000000000026,38,36,34,56,55,199,43,1,29,18,852,-105,1,37,-55,45,-35,-2,-10,-761,83,-5,-31,26,-33,11,3,14,223,-68,-1,14,-31,1,-24,0,0.0,363.5,0.11500111,101063.336,0.010229668,159.0,291.56,1.3819972,"{""type"":""Point"",""coordinates"":[113.79018112920296,30.55058107916005]}"
1_00000000000000000027,39,34,31,55,42,200,31,1,34,19,553,-102,2,25,-33,-2,-36,-1,-14,-1833,90,-16,-14,24,-3,2,7,14,-141,-74,-3,16,-12,-28,-22,1,1.421069,363.25,0.11916778,100979.336,0.010187333,159.58333,291.54,1.3613305,"{""type"":""Point"",""coordinates"":[113.8354543821986,30.55462102471447]}"
1_00000000000000000028,38,37,37,65,55,199,38,1,37,24,1646,-146,-13,17,-52,19,2,-6,-11,-991,74,-23,-12,24,-10,34,3,20,861,-120,-18,20,-22,1,11,-2,3.7174194,363.91666,0.12416778,100934.0,0.010252668,159.08333,291.60666,1.3386638,"{""type"":""Point"",""coordinates"":[114.02275446284756,30.446826715848474]}"
