system:index,B1,B2,B3,B4,B5,B6,B7,Built,DEM,EVI,EVI_constant,EVI_cos_1,EVI_cos_2,EVI_cos_3,EVI_sin_1,EVI_sin_2,EVI_sin_3,EVI_t,NDBI,NDBI_constant,NDBI_cos_1,NDBI_cos_2,NDBI_cos_3,NDBI_sin_1,NDBI_sin_2,NDBI_sin_3,NDBI_t,NDVI,NDVI_constant,NDVI_cos_1,NDVI_cos_2,NDVI_cos_3,NDVI_sin_1,NDVI_sin_2,NDVI_sin_3,NDVI_t,SLOPE,lrad,prec,pres,shum,srad,temp,wind,.geo
000000000000000010da,24,19,14,62,42,191,17,0,971,35,-723,10,-13,3,-1,38,121,6,-17,-639,46,-3,-10,11,23,20,2,26,-1030,30,-39,-55,-26,24,114,8,27.696142,350.75,0.24166778,91747.336,0.010024667,134.0,287.6,0.45999718,"{""type"":""Point"",""coordinates"":[117.41380717287102,27.153602223836554]}"
00000000000000000c95,27,24,17,72,49,192,21,0,439,28,1180,-105,56,-6,-82,15,27,-4,-15,319,114,-43,-13,74,2,-16,-2,22,1062,-93,47,-3,-48,20,12,-4,13.087914,361.0,0.26333445,97689.336,0.011136667,135.0,289.91333,2.7219973,"{""type"":""Point"",""coordinates"":[115.40930301721446,29.544286826226813]}"
00000000000000000f68,26,22,17,61,38,189,16,0,642,26,1865,-171,57,-14,-90,-19,39,-9,-16,-7,130,-33,-8,98,3,-28,0,21,1862,-141,45,-16,-67,-18,30,-9,12.282565,361.0,0.26333445,97689.336,0.011136667,135.0,289.91333,2.7219973,"{""type"":""Point"",""coordinates"":[115.34543531282597,29.528385671870225]}"
000000000000000017c1,30,26,19,79,35,196,15,0,77,32,-1176,-110,-86,103,-35,113,125,8,-22,-487,120,33,-45,-11,-54,-29,1,28,-850,-92,-89,97,-35,87,87,6,2.1300473,372.25,0.21833445,100100.0,0.011570667,137.0,291.14667,1.5213306,"{""type"":""Point"",""coordinates"":[114.7832675248159,27.847277820114808]}"
00000000000000000b6b,28,23,17,62,35,192,15,0,177,35,742,-190,87,26,-37,-7,48,-2,-19,34,105,-31,-10,26,-4,-36,-1,29,282,-184,88,-15,5,-24,46,0,9.534427,364.16666,0.25833446,98826.664,0.011416,137.0,290.36334,2.3273306,"{""type"":""Point"",""coordinates"":[115.30150870834846,29.370734154125653]}"
00000000000000001911,28,26,21,58,38,193,20,0,103,27,-233,-158,47,-2,-71,93,-27,3,-17,-489,108,6,-32,33,-41,-31,1,22,-366,-154,51,-24,-28,63,-12,3,2.1268735,364.16666,0.25833446,98826.664,0.011416,137.0,290.36334,2.3273306,"{""type"":""Point"",""coordinates"":[115.28587510005507,29.335966543211924]}"
0000000000000000103c,26,20,14,47,26,193,9,0,512,27,-51,-169,-65,40,-70,-24,64,1,-19,563,-2,0,-59,41,-6,-27,-4,22,-545,-156,-110,73,-54,20,38,4,5.2972975,364.25,0.21166778,97656.664,0.010862334,137.0,289.94333,1.8066639,"{""type"":""Point"",""coordinates"":[114.53910498753342,27.556223376154286]}"
00000000000000000eb4,28,25,20,72,51,196,25,0,445,32,-1014,-103,-3,-16,-102,-33,17,7,-13,1211,53,-16,10,61,-21,0,-7,25,-1446,-106,-51,8,-74,-24,12,10,16.479294,366.33334,0.21000111,98099.336,0.011077667,137.0,290.25333,1.8259972,"{""type"":""Point"",""coordinates"":[114.3623194671685,27.42821596221302]}"
00000000000000001a07,30,29,23,75,45,197,23,0,41,20,-432,-152,-13,45,-98,58,33,3,-16,-21,118,7,-6,45,-22,-2,0,14,-126,-117,-11,25,-66,38,34,1,5.096288,371.08334,0.21750112,101015.336,0.012039667,137.0,291.57333,2.746664,"{""type"":""Point"",""coordinates"":[116.14340928274429,30.17032231862535]}"
00000000000000001a43,30,29,23,75,45,197,23,0,41,20,-432,-152,-13,45,-98,58,33,3,-16,-21,118,7,-6,45,-22,-2,0,14,-126,-117,-11,25,-66,38,34,1,5.096288,371.08334,0.21750112,101015.336,0.012039667,137.0,291.57333,2.746664,"{""type"":""Point"",""coordinates"":[116.14340928274429,30.17032231862535]}"
00000000000000001030,27,22,16,57,25,191,9,0,266,35,539,-36,-12,16,-110,-89,-15,-1,-26,-1189,15,16,5,38,17,21,5,28,57,-21,-41,33,-89,-61,-2,1,30.144196,364.83334,0.20583445,98978.0,0.010937334,138.0,290.07333,1.4193306,"{""type"":""Point"",""coordinates"":[114.23700089116245,28.080930256214327]}"
