system:index,B1,B2,B3,B4,B5,B6,B7,Built,DEM,EVI,EVI_constant,EVI_cos_1,EVI_cos_2,EVI_cos_3,EVI_sin_1,EVI_sin_2,EVI_sin_3,EVI_t,NDBI,NDBI_constant,NDBI_cos_1,NDBI_cos_2,NDBI_cos_3,NDBI_sin_1,NDBI_sin_2,NDBI_sin_3,NDBI_t,NDVI,NDVI_constant,NDVI_cos_1,NDVI_cos_2,NDVI_cos_3,NDVI_sin_1,NDVI_sin_2,NDVI_sin_3,NDVI_t,SLOPE,lrad,prec,pres,shum,srad,temp,wind,.geo
1_0000000000000000002e,37,34,34,45,43,199,37,1,645,12,212,-36,-19,19,-24,18,13,0,-5,-472,118,-35,9,38,-27,26,1,9,-118,-39,-12,-4,-4,3,15,1,1.9927377,362.41666,0.19583444,88124.664,0.012513334,184.58333,291.43668,0.5519972,"{""type"":""Point"",""coordinates"":[101.55889815330829,21.487748029599775]}"
1_00000000000000000043,28,26,26,43,53,191,38,1,1657,13,284,101,-43,-29,107,-149,58,-1,-4,304,345,-38,-90,329,-272,54,-2,13,267,153,-48,-49,131,-191,79,0,16.679502,340.5,0.13416778,84163.336,0.010365333,197.91667,289.16666,0.7373305,"{""type"":""Point"",""coordinates"":[100.59222301323493,21.934028240331802]}"
1_00000000000000000044,32,30,30,37,43,200,39,1,556,8,-94,-7,-9,2,2,-19,9,0,-2,-271,266,17,-94,248,-285,118,0,8,-19,33,-15,-19,37,-70,34,0,3.4230573,376.16666,0.14083445,92335.336,0.013254667,195.33333,294.29,0.6533305,"{""type"":""Point"",""coordinates"":[100.79595934036688,22.008138499840072]}"
1_0000000000000000007f,28,25,24,33,45,194,35,1,1026,13,-218,-59,0,13,-62,38,-10,1,0,447,108,-39,-25,28,-30,22,-2,12,231,-20,8,-8,-30,2,1,0,10.778054,360.5,0.18833445,89620.664,0.011679,204.58333,292.85666,0.8893305,"{""type"":""Point"",""coordinates"":[99.63282066697973,22.359020702634677]}"
1_0000000000000000008a,31,27,27,35,47,195,40,1,1333,5,323,-28,-5,0,-41,8,24,-1,-5,28,30,-2,8,1,-11,-5,0,4,318,-35,13,-10,-28,0,4,-1,3.4313562,393.16666,0.19750111,94700.0,0.014668667,149.66667,294.85666,1.9859972,"{""type"":""Point"",""coordinates"":[103.6846720212144,22.988561048461218]}"
1_0000000000000000008b,31,28,27,30,27,194,23,1,1325,5,243,-51,19,3,-26,0,0,0,-8,-381,38,-11,5,-2,-19,29,1,4,295,-51,16,-2,-26,-9,4,-1,7.5753913,351.08334,0.14916778,84899.336,0.0101580005,161.5,289.42334,1.5793306,"{""type"":""Point"",""coordinates"":[104.39748607921405,23.013893201545844]}"
1_000000000000000000b1,35,28,27,36,41,199,34,1,1310,8,-6,-49,13,-8,-10,-23,26,0,-3,-140,90,-12,8,34,-20,-13,0,9,102,-14,2,-6,-15,-16,16,0,2.011211,360.0,0.19250111,87008.0,0.011764,192.5,292.33,0.83266383,"{""type"":""Point"",""coordinates"":[100.9676302718235,22.788329574757284]}"
1_000000000000000000b2,30,27,26,33,32,192,25,1,1327,9,-400,-42,1,-9,-22,-18,17,2,-5,-43,40,13,-8,25,-7,-5,0,8,-181,-31,0,-20,-15,-23,16,1,6.095996,358.33334,0.18250112,86737.336,0.011526334,190.91667,292.03333,1.0233306,"{""type"":""Point"",""coordinates"":[101.04605248205044,23.064022415588685]}"
1_000000000000000000b7,25,24,24,31,42,190,36,1,2372,7,-166,-42,30,-10,-34,26,-14,1,-4,-567,150,8,5,-1,7,17,2,6,283,3,17,9,-43,10,-14,0,6.310535,340.5,0.11666778,81985.336,0.009673,178.83333,288.8033,2.3693306,"{""type"":""Point"",""coordinates"":[103.20739659905988,23.30279389969755]}"
1_000000000000000000b8,33,30,32,37,37,199,33,1,1342,7,169,-30,-5,7,-28,23,-16,0,-6,549,46,14,-8,10,-27,18,-3,6,305,-20,-1,-3,-26,6,-10,-1,1.0099245,358.08334,0.11333445,85958.0,0.011289334,177.91667,291.33,2.432664,"{""type"":""Point"",""coordinates"":[103.43512288985934,23.32381410206349]}"
1_000000000000000000ba,32,29,27,30,33,195,30,1,1260,5,438,-55,4,-9,-34,14,-14,-1,-7,-753,33,6,6,-8,-43,18,3,4,243,-42,2,-10,-25,-1,-4,0,4.0348706,347.58334,0.10250112,84730.0,0.010058001,180.75,290.09,1.920664,"{""type"":""Point"",""coordinates"":[104.24845400380576,23.370973554804735]}"
1_000000000000000000e4,29,26,25,31,34,193,27,1,1311,8,243,-27,-12,7,-43,-21,17,0,-6,-9,67,-2,8,31,-44,25,0,8,180,-18,-6,-2,-39,-30,15,0,1.3716288,347.91666,0.13250111,85816.664,0.010229667,190.08333,290.35,1.8566638,"{""type"":""Point"",""coordinates"":[101.69014287461437,23.43322706461189]}"
1_000000000000000000e7,38,38,42,56,75,206,64,1,480,12,-354,-45,25,-11,-37,11,1,2,1,1046,35,-6,50,13,14,-30,-5,11,137,-36,25,0,-36,6,-8,0,14.552913,336.91666,0.13250111,81714.0,0.009232334,179.41667,288.33,2.1479971,"{""type"":""Point"",""coordinates"":[102.71557113016794,23.272070693439307]}"
1_000000000000000000e8,29,28,29,34,37,192,32,1,1716,6,-129,-62,20,-8,-26,11,-9,1,-6,37,88,-11,31,30,-17,-30,0,5,-135,-25,7,-2,-10,0,-8,1,1.3713897,350.91666,0.11083445,84748.664,0.010285667,182.58333,290.82333,2.3906639,"{""type"":""Point"",""coordinates"":[103.15565319043569,23.3909191138168]}"
