system:index,B1,B10,B11,B2,B3,B4,B5,B6,B7,B8,B9,Built,DEM,EVI,EVI_constant,EVI_cos_1,EVI_cos_2,EVI_cos_3,EVI_sin_1,EVI_sin_2,EVI_sin_3,EVI_t,NDBI,NDBI_constant,NDBI_cos_1,NDBI_cos_2,NDBI_cos_3,NDBI_sin_1,NDBI_sin_2,NDBI_sin_3,NDBI_t,NDVI,NDVI_constant,NDVI_cos_1,NDVI_cos_2,NDVI_cos_3,NDVI_sin_1,NDVI_sin_2,NDVI_sin_3,NDVI_t,SLOPE,lrad,prec,pres,shum,srad,temp,wind,.geo
1_0000000000000000000b,41,202,200,37,34,34,54,49,41,35,0,1,1180,23,-623,-38,-10,2,-26,-24,0,3,-7,-135,46,-32,25,40,-12,-1,0,19,567,-16,1,-1,-12,-10,-12,-1,1.9992948,360.33334,0.11583445,88297.336,0.011496333,205.25,292.81665,1.3939972,"{""type"":""Point"",""coordinates"":[100.44669579125467,21.960439495871363]}"
1_0000000000000000001d,38,199,196,33,26,24,41,37,35,24,0,1,1026,30,-724,-66,13,10,-40,8,-9,3,-11,-216,147,-63,-16,51,-32,-15,0,19,-880,17,-16,-9,-22,-11,-21,3,10.778054,364.0,0.17833444,89530.664,0.0124636665,210.08333,293.23,1.4539973,"{""type"":""Point"",""coordinates"":[99.63282066697973,22.359020702634677]}"
1_00000000000000000040,39,202,199,36,30,30,40,48,42,29,0,1,1320,17,233,-63,10,-9,-35,0,10,0,-10,2341,111,-62,12,-7,-33,51,-8,9,475,16,-22,13,-3,-11,27,-1,2.1092653,355.83334,0.17416778,85048.664,0.011718334,195.75,291.57,1.2673305,"{""type"":""Point"",""coordinates"":[100.97140267131469,22.787790023529816]}"
1_0000000000000000005a,39,201,197,35,26,23,27,30,26,23,0,1,1333,20,35,-75,-2,17,-40,15,10,0,-13,-795,-13,22,25,23,-45,-31,2,9,-93,-53,-12,6,-17,9,-3,0,3.4313562,395.83334,0.18666779,94573.336,0.013578334,173.25,296.82666,2.0073307,"{""type"":""Point"",""coordinates"":[103.6846720212144,22.988561048461218]}"
1_0000000000000000005c,40,203,200,35,31,29,43,52,49,29,0,1,1320,20,5,-38,3,4,-29,6,-9,0,-11,320,7,9,15,31,-17,-14,-1,8,561,-38,11,-6,-15,-8,-25,-1,15.505667,350.91666,0.18583445,84810.0,0.010096667,172.66667,289.91666,1.8633306,"{""type"":""Point"",""coordinates"":[104.3961394306959,23.014432752773306]}"
1_0000000000000000007e,31,188,188,26,19,18,20,19,16,20,0,1,1752,12,527,-69,-5,9,-35,-2,15,-1,-14,-1897,52,-20,39,2,-17,-33,6,7,36,-44,-22,0,-10,-6,-13,0,11.013664,343.16666,0.097501114,81910.664,0.009478667,182.66667,289.62332,2.310664,"{""type"":""Point"",""coordinates"":[103.15753939018128,23.35237910341187]}"
1_00000000000000000089,45,202,200,42,36,34,53,62,54,33,0,1,1029,29,418,-101,24,-13,-62,25,0,0,-10,-202,61,21,7,15,-3,6,0,14,514,1,9,-7,-13,-10,4,-1,2.9578874,352.75,0.15000111,86331.336,0.011102667,203.33333,291.88998,1.254664,"{""type"":""Point"",""coordinates"":[99.82389314711988,23.476346571798715]}"
1_000000000000000000a2,38,201,199,35,32,33,45,49,46,30,0,1,1304,18,113,-76,22,-3,-42,25,-3,0,-7,534,63,-21,-16,46,-48,12,-2,12,843,-28,-2,-1,-7,1,-1,-2,5.4777994,352.66666,0.14416778,85415.336,0.010774001,198.33333,291.81665,1.5426639,"{""type"":""Point"",""coordinates"":[100.62267421432892,23.740450208992208]}"
1_000000000000000000b8,35,192,191,30,24,22,34,43,38,24,0,1,1516,19,-524,-62,0,20,-57,5,2,2,-8,-689,90,-8,-34,39,-56,6,2,10,-510,-7,-10,-11,-18,-24,1,2,2.9589546,329.5,0.13166778,80328.0,0.009289667,201.58333,288.37,1.4119972,"{""type"":""Point"",""coordinates"":[100.08018443926774,23.88005128567244]}"
1_000000000000000000dd,36,195,193,33,29,26,36,36,31,28,0,1,1462,16,-379,-57,-10,16,-49,18,10,1,-8,-888,44,18,-10,80,-12,-11,2,9,60,-31,12,-6,2,0,-7,0,1.0155034,356.58334,0.11666778,85266.664,0.010809334,173.75,291.02667,2.488664,"{""type"":""Point"",""coordinates"":[104.19347774691785,24.0436334078181]}"
