system:index,B1,B2,B3,B4,B5,B6_VCID_1,B6_VCID_2,B7,B8,Built,DEM,EVI,EVI_constant,EVI_cos_1,EVI_cos_2,EVI_cos_3,EVI_sin_1,EVI_sin_2,EVI_sin_3,EVI_t,NDBI,NDBI_constant,NDBI_cos_1,NDBI_cos_2,NDBI_cos_3,NDBI_sin_1,NDBI_sin_2,NDBI_sin_3,NDBI_t,NDVI,NDVI_constant,NDVI_cos_1,NDVI_cos_2,NDVI_cos_3,NDVI_sin_1,NDVI_sin_2,NDVI_sin_3,NDVI_t,SLOPE,lrad,prec,pres,shum,srad,temp,wind,.geo
1_00000000000000000000,45,42,43,60,58,200,200,44,46,1,10,27,1521,-148,44,39,26,-66,86,-4,-12,374,120,-41,-43,-4,26,-30,-1,21,1448,-64,10,0,-4,-29,48,-4,0.0,404.0,0.16500111,101440.664,0.015402,189.41667,297.15,5.459997,"{""type"":""Point"",""coordinates"":[108.73230752719932,18.580440897359384]}"
1_00000000000000000002,35,31,28,53,49,200,200,33,40,1,92,31,668,-82,-23,33,6,-15,10,-1,-11,1455,36,-25,-75,42,-30,11,-5,22,338,-63,-42,-22,-21,-33,10,0,3.4682896,404.16666,0.23666778,99934.664,0.016092334,181.08333,296.63,4.048664,"{""type"":""Point"",""coordinates"":[109.61840671123693,18.58528794020448]}"
1_00000000000000000012,36,33,34,48,48,201,200,38,40,1,33,17,-447,-34,-16,-52,-43,-65,-1,2,-7,-1613,11,64,0,96,-28,-34,5,15,-1286,-49,-2,-25,-17,-35,-7,5,1.9699506,410.25,0.27166778,100293.336,0.015782334,171.25,297.25333,2.3719974,"{""type"":""Point"",""coordinates"":[110.00701736804473,19.734416118081693]}"
1_00000000000000000014,31,29,28,67,54,199,199,28,46,1,18,35,-144,-78,-8,5,-59,-50,-74,1,-13,1935,-2,0,12,27,-19,28,-7,26,-951,-131,24,-10,-40,-77,-70,4,3.9306352,413.58334,0.25416777,101266.0,0.015448334,169.66667,297.80334,2.494664,"{""type"":""Point"",""coordinates"":[110.795555880134,19.545229837687145]}"
1_00000000000000000016,41,36,37,52,60,201,201,47,48,1,38,28,-2683,-60,-34,-23,-79,-16,-9,10,-3,-518,-59,17,13,55,-39,38,1,17,-1017,-33,4,9,-40,-33,-20,4,8.097875,410.25,0.24583444,100882.664,0.015048667,166.0,297.23,3.1199973,"{""type"":""Point"",""coordinates"":[110.745163579129,19.844368631857566]}"
1_0000000000000000001b,42,36,33,50,52,199,199,36,41,1,29,24,2600,-34,21,14,-11,-1,53,-8,-4,-263,39,0,-2,12,27,-28,0,16,764,-37,2,-6,-27,-19,12,-2,0.9958137,401.83334,0.22583444,101102.0,0.014270334,166.75,296.31,3.0519974,"{""type"":""Point"",""coordinates"":[110.11454413084755,21.362161907530528]}"
1_0000000000000000001d,45,43,44,58,64,200,200,52,48,1,17,17,1311,-8,1,-15,-29,-71,-16,-4,0,-10,9,20,-19,-32,19,15,0,12,338,-21,0,-2,-27,-26,-1,0,1.361823,400.41666,0.20333445,101172.0,0.014353001,169.83333,296.28,2.782664,"{""type"":""Point"",""coordinates"":[110.69072241436749,21.595007246339367]}"
1_00000000000000000020,31,26,26,39,31,199,199,21,34,1,7,39,1250,-55,-13,-116,-55,4,29,-3,-12,-937,106,-22,13,66,11,61,3,23,-1560,-29,-46,-95,36,94,6,6,2.1984773,406.16666,0.3350011,101582.0,0.014290334,151.91667,296.56,1.9053307,"{""type"":""Point"",""coordinates"":[107.98850271687823,21.55350193373389]}"
1_00000000000000000022,32,29,29,43,50,200,200,41,35,1,42,27,-510,-44,-9,23,-94,-2,-80,2,-5,-858,30,-44,-26,62,33,47,3,21,-574,-35,-13,1,-38,-1,-6,2,0.92740995,399.0,0.24416777,100891.336,0.013987,161.0,295.65332,2.6159973,"{""type"":""Point"",""coordinates"":[109.02956012162414,21.771792766704284]}"
1_00000000000000000033,35,31,29,46,46,200,200,32,35,1,17,26,2492,-88,48,23,-149,-29,-30,-8,-7,-1436,14,-43,-7,77,6,23,5,18,-1090,-34,1,-14,-14,11,-12,4,6.2028236,399.5,0.28666776,100938.664,0.01401,154.33333,295.53668,1.9159973,"{""type"":""Point"",""coordinates"":[108.36821746708442,21.992241804584538]}"
