system:index,B1,B2,B3,B4,B5,B6,B7,Built,DEM,EVI,EVI_constant,EVI_cos_1,EVI_cos_2,EVI_cos_3,EVI_sin_1,EVI_sin_2,EVI_sin_3,EVI_t,NDBI,NDBI_constant,NDBI_cos_1,NDBI_cos_2,NDBI_cos_3,NDBI_sin_1,NDBI_sin_2,NDBI_sin_3,NDBI_t,NDVI,NDVI_constant,NDVI_cos_1,NDVI_cos_2,NDVI_cos_3,NDVI_sin_1,NDVI_sin_2,NDVI_sin_3,NDVI_t,SLOPE,lrad,prec,pres,shum,srad,temp,wind,.geo
0000000000000000079f,29,24,19,46,29,177,15,0,274,29,1551,-171,104,-8,-65,28,23,-7,-28,-268,-15,-80,36,-1,-37,27,0,21,1441,-163,15,13,-79,8,40,-6,13.908801,268.33334,0.076667786,97513.336,0.005032667,147.58333,275.28665,3.3419974,"{""type"":""Point"",""coordinates"":[128.65307839650666,46.35239558247939]}"
00000000000000000775,26,25,18,37,32,190,20,0,104,21,1036,-197,152,-51,-27,-26,27,-4,-26,596,-51,-205,-48,21,-30,41,-4,14,588,-207,94,-38,-27,-32,56,-2,1.6241318,276.83334,0.076667786,99886.0,0.0054413336,151.33333,277.19998,3.0479972,"{""type"":""Point"",""coordinates"":[127.9486162347801,45.942225172078174]}"
00000000000000000112,30,27,27,71,56,192,34,0,120,29,744,-166,87,28,-136,109,-52,-2,-37,1903,-259,4,88,-158,-161,96,-13,14,1503,-179,46,19,-102,60,-38,-7,1.8543341,258.75,0.076667786,99205.336,0.0041050003,144.08333,273.70667,1.9579973,"{""type"":""Point"",""coordinates"":[129.47827071925522,49.32249577575441]}"
0000000000000000050c,32,33,35,61,67,200,50,0,94,15,9,-113,21,22,-80,87,-44,0,-5,-234,35,-121,-33,35,-58,34,1,12,240,-97,0,23,-76,59,-11,0,2.218944,288.5,0.076667786,96113.336,0.0059433337,164.58333,281.09332,1.8806639,"{""type"":""Point"",""coordinates"":[120.06401591567287,40.49870175636621]}"
00000000000000000427,32,28,25,50,53,197,35,0,99,12,-60,-152,51,0,-92,114,-57,1,-17,-681,1,-155,-27,13,-143,36,2,9,-125,-127,33,-6,-75,79,-44,1,5.8893356,301.91666,0.076667786,100390.0,0.0065156673,160.25,282.85666,2.922664,"{""type"":""Point"",""coordinates"":[122.68943205661758,40.585747868030516]}"
00000000000000000184,30,29,31,58,58,196,40,0,245,15,10,-126,46,17,-88,103,-42,0,-18,-1723,-135,-183,-65,66,-80,43,9,9,43,-105,16,3,-65,59,-13,0,1.8543341,287.08334,0.076667786,98071.336,0.005810667,157.41667,280.16,2.9133306,"{""type"":""Point"",""coordinates"":[124.98148134370561,43.25832792081752]}"
00000000000000000723,30,26,25,61,48,195,28,0,274,16,-8,-120,44,23,-75,89,-19,1,-21,-1342,-152,-184,-47,50,-89,51,6,10,-196,-130,18,4,-71,65,-5,2,2.707247,287.08334,0.076667786,98071.336,0.005810667,157.41667,280.16,2.9133306,"{""type"":""Point"",""coordinates"":[125.05235875495013,43.22140656409499]}"
000000000000000005d5,27,22,18,54,35,186,15,0,513,28,1005,-182,106,-13,-25,4,21,-4,-27,168,-38,-96,36,-28,-80,23,-2,20,821,-203,60,-9,-47,-4,18,-3,22.419668,261.91666,0.076667786,96032.664,0.004526667,146.41667,274.64334,2.1613307,"{""type"":""Point"",""coordinates"":[129.54429662855358,47.85509480108644]}"
000000000000000000f2,29,22,20,36,28,179,14,0,233,24,193,-258,93,-12,-72,33,45,0,-27,-74,5,-105,44,19,-55,18,-1,18,487,-258,41,22,-103,53,29,-1,3.939539,270.66666,0.076667786,98317.336,0.005115334,147.5,275.7633,3.1313307,"{""type"":""Point"",""coordinates"":[128.44853051298296,46.34485078349695]}"
00000000000000000719,25,23,22,45,45,192,28,0,419,19,726,-142,35,24,-113,110,-43,-3,-18,-202,-73,-159,-75,56,-107,23,0,13,599,-144,4,21,-107,79,-16,-2,2.7802885,280.33334,0.076667786,96462.0,0.005360667,148.66667,277.97,2.3919973,"{""type"":""Point"",""coordinates"":[128.25773003800705,43.58495707298243]}"
00000000000000000602,29,23,22,36,25,178,12,0,468,24,-100,-376,-94,-100,-73,-40,30,1,-25,-44,-98,-162,-36,13,-90,-38,-1,17,321,-260,-35,0,-82,-11,71,0,16.16337,287.75,0.076667786,97166.0,0.005833334,148.0,279.04,2.0986638,"{""type"":""Point"",""coordinates"":[125.86488723070694,43.027101235691084]}"
0000000000000000048c,25,21,16,68,38,188,15,0,482,26,1093,-237,48,57,-95,28,48,-4,-26,512,-17,-94,4,-5,-57,-37,-4,19,1277,-232,20,58,-105,14,51,-5,6.9708343,276.0,0.076667786,95214.0,0.0052330005,148.83333,277.02,2.520664,"{""type"":""Point"",""coordinates"":[128.01114174975152,43.83666440924734]}"
000000000000000004cd,24,21,14,51,38,188,15,0,433,23,1131,-204,60,11,-104,41,6,-5,-29,397,-69,-130,2,-11,-77,-18,-3,16,1542,-211,22,23,-112,21,27,-7,1.8543341,276.0,0.076667786,95214.0,0.0052330005,148.83333,277.02,2.520664,"{""type"":""Point"",""coordinates"":[128.04429070698282,43.822381908573156]}"
00000000000000000513,25,22,20,51,44,194,27,0,447,17,908,-108,33,28,-100,100,-51,-4,-15,-307,-132,-158,-84,51,-113,33,1,11,570,-126,0,30,-111,90,-33,-2,1.5812298,279.33334,0.076667786,96035.336,0.005265667,148.33333,277.77,2.3353307,"{""type"":""Point"",""coordinates"":[128.31728579167688,43.61783402504949]}"
000000000000000005ec,29,24,23,36,48,195,37,0,263,14,455,-126,63,37,-94,108,-48,-1,-21,-942,-165,-186,-61,57,-147,33,4,8,199,-165,42,17,-94,99,-40,0,1.6568856,270.33334,0.076667786,98452.0,0.004755334,152.0,276.80667,3.5819974,"{""type"":""Point"",""coordinates"":[126.01364730095095,47.52523725975882]}"
00000000000000000564,30,28,23,45,49,191,22,0,47,20,1637,-154,158,-60,-49,39,-35,-8,-24,455,-98,-154,-66,19,-167,-21,-3,12,1374,-143,100,-64,-29,7,-18,-7,1.3811145,274.41666,0.076667786,100785.336,0.0049743336,138.75,276.31665,2.976664,"{""type"":""Point"",""coordinates"":[132.65668673644407,47.82302494631005]}"
00000000000000000553,30,27,25,53,54,199,38,0,575,15,674,-105,14,15,-65,20,8,-2,-25,751,-199,-179,-25,-49,-96,-42,-5,9,792,-120,-7,10,-62,0,13,-3,1.8543341,280.08334,0.076667786,95086.0,0.005324334,154.91667,277.99664,1.9886639,"{""type"":""Point"",""coordinates"":[127.3112635439079,42.59079157491456]}"
