system:index,B1,B2,B3,B4,B5,B6,B7,Built,DEM,EVI,EVI_constant,EVI_cos_1,EVI_cos_2,EVI_cos_3,EVI_sin_1,EVI_sin_2,EVI_sin_3,EVI_t,NDBI,NDBI_constant,NDBI_cos_1,NDBI_cos_2,NDBI_cos_3,NDBI_sin_1,NDBI_sin_2,NDBI_sin_3,NDBI_t,NDVI,NDVI_constant,NDVI_cos_1,NDVI_cos_2,NDVI_cos_3,NDVI_sin_1,NDVI_sin_2,NDVI_sin_3,NDVI_t,SLOPE,lrad,prec,pres,shum,srad,temp,wind,.geo
00000000000000001c2e,30,27,24,70,50,200,27,0,51,34,488,-192,-107,145,-9,153,-97,0,-16,-640,88,67,-115,-37,-72,60,3,29,16,-164,-77,116,-12,98,-46,1,1.1209244,338.25,0.076667786,100770.664,0.0088990005,161.0,287.91333,2.1473305,"{""type"":""Point"",""coordinates"":[115.06219321391104,34.174742214954506]}"
00000000000000001c41,31,29,23,67,50,201,26,0,51,32,-411,-162,-122,145,-9,147,-83,4,-15,-568,84,76,-115,-28,-68,56,2,28,-586,-139,-93,112,-9,93,-45,5,2.16661,338.25,0.076667786,100770.664,0.0088990005,161.0,287.91333,2.1473305,"{""type"":""Point"",""coordinates"":[115.01341510748742,34.20573296727596]}"
0000000000000000177c,29,27,25,74,45,198,24,0,48,28,111,-208,-56,161,-112,149,-98,1,-13,-90,140,46,-130,10,-50,48,0,25,-363,-146,-70,139,-85,107,-63,4,3.4266505,330.5,0.076667786,100745.336,0.008401667,159.16667,286.72333,2.6213305,"{""type"":""Point"",""coordinates"":[115.6434950045414,35.80222045834013]}"
0000000000000000161b,34,33,31,69,52,200,37,0,61,30,-760,-233,-47,116,-80,158,-60,7,-12,-439,115,55,-56,6,-43,75,1,24,-1011,-195,-41,92,-45,95,-17,8,4.362105,335.5,0.076667786,100620.664,0.008674667,165.58333,287.77667,2.4213307,"{""type"":""Point"",""coordinates"":[114.45340552438724,34.35449749662102]}"
000000000000000018e6,32,29,23,76,47,200,23,0,57,33,-1436,-182,-66,165,-41,171,-68,11,-14,130,85,73,-101,-50,-81,56,-1,26,-1593,-149,-56,128,-4,107,-26,12,2.2448516,335.5,0.076667786,100620.664,0.008674667,165.58333,287.77667,2.4213307,"{""type"":""Point"",""coordinates"":[114.53075309126031,34.319729885707304]}"
000000000000000017e4,32,30,24,78,51,199,27,0,64,34,108,-258,-118,162,-55,135,-64,1,-20,-409,118,63,-105,-47,-58,46,1,27,-138,-199,-86,111,-33,91,-37,2,2.2476718,335.25,0.076667786,100575.336,0.0086280005,165.75,287.77667,2.5586638,"{""type"":""Point"",""coordinates"":[114.33159626091026,34.42510290270128]}"
0000000000000000037a,37,36,36,53,48,203,39,1,62,14,776,-83,-60,40,-42,42,-27,-4,-9,-226,36,-8,-18,-41,-7,9,0,11,122,-81,-29,29,-15,19,-10,0,2.4246836,336.16666,0.076667786,100644.664,0.008731,165.58333,287.80334,2.2179973,"{""type"":""Point"",""coordinates"":[114.45151932464164,34.163964567708334]}"
000000000000000018d6,31,29,26,73,48,200,30,0,61,33,-650,-190,-60,148,-52,147,-62,6,-15,-432,112,88,-108,14,-86,47,1,27,-1005,-161,-56,126,-41,95,-8,8,1.1209612,336.16666,0.076667786,100644.664,0.008731,165.58333,287.80334,2.2179973,"{""type"":""Point"",""coordinates"":[114.51673813664935,34.17743997109184]}"
000000000000000003d8,38,36,37,52,47,200,41,1,65,13,201,-100,-32,49,-25,28,-21,0,-10,-320,48,4,-54,-23,-18,28,1,11,87,-88,-23,38,-24,20,-16,0,2.4588156,332.0,0.076667786,100643.336,0.008026,161.33333,287.31,2.428664,"{""type"":""Point"",""coordinates"":[114.44424653082348,35.51008691192468]}"
00000000000000001729,31,28,28,51,49,198,44,0,115,23,12,-85,-65,92,-20,95,-107,1,-12,-29,37,9,-101,-45,-43,92,0,17,197,-79,-67,62,-40,88,-66,0,3.4714172,339.41666,0.076667786,99782.0,0.008336667,154.66667,287.98666,2.7319973,"{""type"":""Point"",""coordinates"":[113.10916937991651,33.831404811142335]}"
0000000000000000174f,31,28,28,51,49,198,44,0,115,23,12,-85,-65,92,-20,95,-107,1,-12,-29,37,9,-101,-45,-43,92,0,17,197,-79,-67,62,-40,88,-66,0,3.4714172,339.41666,0.076667786,99782.0,0.008336667,154.66667,287.98666,2.7319973,"{""type"":""Point"",""coordinates"":[113.10916937991651,33.831404811142335]}"
00000000000000001754,30,29,30,51,49,198,40,0,133,25,18,-71,-60,97,-19,107,-93,1,-15,-24,30,21,-109,-58,-30,71,0,20,189,-69,-67,68,-33,88,-57,0,0.92740995,339.41666,0.076667786,99782.0,0.008336667,154.66667,287.98666,2.7319973,"{""type"":""Point"",""coordinates"":[113.18166098574237,33.85296456473575]}"
00000000000000000336,33,30,30,51,43,200,35,1,83,12,482,-82,-23,4,-6,6,-5,-2,-9,147,39,-19,-30,-23,-3,36,-1,10,489,-78,-28,-2,-22,5,4,-2,2.7802885,340.58334,0.076667786,100471.336,0.008613001,156.75,288.15665,2.8359973,"{""type"":""Point"",""coordinates"":[113.38540177197538,33.73412060345931]}"
000000000000000017c2,33,32,33,59,59,199,47,0,78,21,786,-46,-80,74,2,53,-59,-3,-14,-313,12,11,-81,-82,-17,88,1,17,602,-39,-86,56,-4,45,-32,-2,3.8205981,340.58334,0.076667786,100471.336,0.008613001,156.75,288.15665,2.8359973,"{""type"":""Point"",""coordinates"":[113.44334333106384,33.752443049687926]}"
00000000000000001812,28,23,20,39,29,182,19,0,895,17,653,-170,-47,65,-55,18,0,-2,-16,-1345,15,-30,-42,35,-35,-28,7,14,271,-164,-62,67,-58,20,4,0,7.2104897,318.58334,0.076667786,92321.336,0.007568667,160.16667,284.5533,1.3613305,"{""type"":""Point"",""coordinates"":[111.11167493111596,33.65515884200489]}"
