system:index,B1,B10,B11,B2,B3,B4,B5,B6,B7,B8,B9,Built,DEM,EVI,EVI_constant,EVI_cos_1,EVI_cos_2,EVI_cos_3,EVI_sin_1,EVI_sin_2,EVI_sin_3,EVI_t,NDBI,NDBI_constant,NDBI_cos_1,NDBI_cos_2,NDBI_cos_3,NDBI_sin_1,NDBI_sin_2,NDBI_sin_3,NDBI_t,NDVI,NDVI_constant,NDVI_cos_1,NDVI_cos_2,NDVI_cos_3,NDVI_sin_1,NDVI_sin_2,NDVI_sin_3,NDVI_t,SLOPE,lrad,prec,pres,shum,srad,temp,wind,.geo
00000000000000001340,35,197,194,29,25,21,66,32,15,24,1,0,86,44,-2018,-132,-135,129,9,77,-112,8,-22,-1479,115,56,-113,-73,-11,0,4,27,-1738,-65,-126,80,-7,25,-63,6,1.1330298,345.5,0.058751114,100548.0,0.0084635,162.625,290.03,1.8869972,"{""type"":""Point"",""coordinates"":[113.68211481517272,35.066499998228934]}"
000000000000000013f8,35,201,199,30,25,21,87,45,22,24,0,0,67,53,2343,-96,-62,163,75,117,-165,-5,-25,-918,45,52,-115,-103,-73,71,2,32,1666,-62,-44,101,36,46,-84,-4,1.4669789,341.5,0.058751114,100165.0,0.0081355,157.5,289.01,2.4179974,"{""type"":""Point"",""coordinates"":[114.48493582793616,35.338687985632326]}"
000000000000000013a3,35,198,195,29,25,19,92,42,20,21,0,0,35,45,1695,-155,20,44,-51,128,-79,-4,-22,-42,82,11,-6,-4,-85,42,0,22,3612,-92,4,46,-53,111,-80,-10,3.2116358,367.625,0.13000111,101060.0,0.011209501,143.625,290.9,2.3519974,"{""type"":""Point"",""coordinates"":[112.19315408691132,30.064142204340694]}"
00000000000000000b4f,30,196,193,26,24,21,90,51,31,22,0,0,1131,42,936,-169,-3,40,-150,33,-11,-1,-19,185,118,-15,-16,34,-32,22,-1,20,388,-117,-41,51,-120,3,-27,0,22.798962,331.75,0.13000111,87795.0,0.00894,142.0,285.03,1.7209972,"{""type"":""Point"",""coordinates"":[110.4460247849586,31.253692133267393]}"
00000000000000001248,39,195,191,34,28,25,54,25,16,27,0,0,25,34,657,-183,62,18,-122,97,-42,-1,-19,-1215,122,-3,31,55,-46,-7,3,18,-504,-139,44,5,-113,74,-43,2,1.4200963,366.125,0.13000111,101484.0,0.011057001,146.875,290.94,2.3609972,"{""type"":""Point"",""coordinates"":[113.46166577729247,30.438737906537522]}"
000000000000000016a7,34,201,198,28,25,18,96,62,27,23,0,0,26,49,1357,-151,47,56,-11,188,-161,-2,-20,-2771,54,-6,1,-93,-88,78,8,27,-270,-102,31,16,-18,139,-119,1,0.0,366.125,0.13000111,101484.0,0.011057001,146.875,290.94,2.3609972,"{""type"":""Point"",""coordinates"":[113.58994519639799,30.519857872901813]}"
000000000000000011d3,34,191,190,27,21,16,42,33,17,18,0,0,518,48,761,-312,1,39,-60,-30,29,-1,-25,-390,161,-16,-39,6,12,-25,0,25,574,-189,-29,7,-83,-21,3,0,7.981506,346.75,0.13000111,96441.0,0.009178501,139.75,287.97498,1.9469972,"{""type"":""Point"",""coordinates"":[113.75433887493539,31.969199488303325]}"
00000000000000001490,33,199,195,28,25,16,104,35,14,21,0,0,39,49,3874,-156,88,-72,-30,88,-110,-11,-23,-2207,122,-18,20,11,-25,44,6,25,4611,-64,26,-20,-42,81,-78,-14,0.92740995,365.875,0.13000111,101264.0,0.0111295,148.125,290.86,2.3179972,"{""type"":""Point"",""coordinates"":[112.25190720239154,30.491560417616643]}"
000000000000000009ba,32,191,190,26,20,14,50,24,12,17,0,0,564,43,-798,-129,0,29,-70,-27,-1,3,-24,-856,40,8,-20,55,19,-36,1,25,-1251,-76,-34,22,-58,-80,7,5,9.053488,337.625,0.13000111,94925.0,0.009102,155.0,287.135,2.1869974,"{""type"":""Point"",""coordinates"":[115.14331318027533,31.424279503168023]}"
00000000000000000a7c,27,187,186,22,18,12,66,34,16,14,0,0,1490,45,1943,-281,9,14,-83,-37,73,-5,-25,87,161,-20,37,5,-44,-36,-1,24,2657,-156,-46,21,-101,-88,31,-7,16.137835,317.875,0.13000111,83313.0,0.0072660004,140.75,282.77997,1.8679972,"{""type"":""Point"",""coordinates"":[109.9582392616211,31.60052993140652]}"
