Year,In_Bands,Tree,Accuracy
1990_1992,Spectrum,1,0.8821292775665399
1990_1992,Spectrum,2,0.8916349809885932
1990_1992,Spectrum,3,0.9144486692015209
1990_1992,Spectrum,4,0.8916349809885932
1990_1992,Spectrum,5,0.9049429657794676
1990_1992,Spectrum,6,0.903041825095057
1990_1992,Spectrum,7,0.9220532319391636
1990_1992,Spectrum,8,0.9201520912547528
1990_1992,Spectrum,9,0.9296577946768061
1990_1992,Spectrum,10,0.9220532319391636
1990_1992,Spectrum,11,0.9258555133079848
1990_1992,Spectrum,12,0.9277566539923955
1990_1992,Spectrum,13,0.9201520912547528
1990_1992,Spectrum,14,0.9144486692015209
1990_1992,Spectrum,15,0.9315589353612167
1990_1992,Spectrum,16,0.9144486692015209
1990_1992,Spectrum,17,0.9239543726235742
1990_1992,Spectrum,18,0.9201520912547528
1990_1992,Spectrum,19,0.9201520912547528
1990_1992,Spectrum,20,0.9201520912547528
1990_1992,Spectrum,21,0.9182509505703422
1990_1992,Spectrum,22,0.9220532319391636
1990_1992,Spectrum,23,0.9220532319391636
1990_1992,Spectrum,24,0.9201520912547528
1990_1992,Spectrum,25,0.9315589353612167
1990_1992,Spectrum,26,0.9182509505703422
1990_1992,Spectrum,27,0.9296577946768061
1990_1992,Spectrum,28,0.9315589353612167
1990_1992,Spectrum,29,0.9239543726235742
1990_1992,Spectrum,30,0.9315589353612167
1990_1992,Spectrum,31,0.9201520912547528
1990_1992,Spectrum,32,0.9106463878326996
1990_1992,Spectrum,33,0.9239543726235742
1990_1992,Spectrum,34,0.9258555133079848
1990_1992,Spectrum,35,0.9315589353612167
1990_1992,Spectrum,36,0.9182509505703422
1990_1992,Spectrum,37,0.9258555133079848
1990_1992,Spectrum,38,0.9296577946768061
1990_1992,Spectrum,39,0.9182509505703422
1990_1992,Spectrum,40,0.9220532319391636
1990_1992,Spectrum,41,0.9201520912547528
1990_1992,Spectrum,42,0.9296577946768061
1990_1992,Spectrum,43,0.9277566539923955
1990_1992,Spectrum,44,0.9315589353612167
1990_1992,Spectrum,45,0.9220532319391636
1990_1992,Spectrum,46,0.9277566539923955
1990_1992,Spectrum,47,0.9296577946768061
1990_1992,Spectrum,48,0.9220532319391636
1990_1992,Spectrum,49,0.9296577946768061
1990_1992,Spectrum,50,0.9315589353612167
1990_1992,Spectrum,51,0.9258555133079848
1990_1992,Spectrum,52,0.9239543726235742
1990_1992,Spectrum,53,0.9296577946768061
1990_1992,Spectrum,54,0.9334600760456274
1990_1992,Spectrum,55,0.9334600760456274
1990_1992,Spectrum,56,0.9277566539923955
1990_1992,Spectrum,57,0.9220532319391636
1990_1992,Spectrum,58,0.9201520912547528
1990_1992,Spectrum,59,0.9296577946768061
1990_1992,Spectrum,60,0.9220532319391636
