Region,Year,Sample_size,Accuracy
xinan,1990_1992,0.10,0.5232558139534884
xinan,1990_1992,0.40,0.782392026578073
xinan,1990_1992,0.70,0.7558139534883721
xinan,1990_1992,1.00,0.739202657807309
xinan,1990_1992,1.50,0.9119601328903655
xinan,1990_1992,10.00,0.9136212624584718
xinan,1990_1992,15.00,0.9235880398671097
xinan,1990_1992,2.00,0.8986710963455149
xinan,1990_1992,20.00,0.9219269102990033
xinan,1990_1992,25.00,0.920265780730897
xinan,1990_1992,30.00,0.925249169435216
xinan,1990_1992,35.00,0.9318936877076412
xinan,1990_1992,40.00,0.925249169435216
xinan,1990_1992,45.00,0.9219269102990033
xinan,1990_1992,5.00,0.9169435215946844
xinan,1990_1992,50.00,0.9335548172757475
xinan,1990_1992,55.00,0.9285714285714286
xinan,1990_1992,60.00,0.9318936877076412
xinan,1990_1992,65.00,0.9368770764119602
xinan,1990_1992,70.00,0.9335548172757475
xinan,1990_1992,75.00,0.9385382059800664
xinan,1990_1992,80.00,0.9418604651162791
xinan,1990_1992,85.00,0.9401993355481728
xinan,1990_1992,90.00,0.9385382059800664
xinan,1990_1992,95.00,0.9418604651162791
xinan,1993_1995,0.10,0.6262458471760798
xinan,1993_1995,0.40,0.8438538205980066
xinan,1993_1995,0.70,0.8604651162790697
xinan,1993_1995,1.00,0.9269102990033222
xinan,1993_1995,1.50,0.920265780730897
xinan,1993_1995,10.00,0.925249169435216
xinan,1993_1995,15.00,0.9219269102990033
xinan,1993_1995,2.00,0.9235880398671097
xinan,1993_1995,20.00,0.9368770764119602
xinan,1993_1995,25.00,0.9401993355481728
xinan,1993_1995,30.00,0.9368770764119602
xinan,1993_1995,35.00,0.9385382059800664
xinan,1993_1995,40.00,0.9335548172757475
xinan,1993_1995,45.00,0.9418604651162791
xinan,1993_1995,5.00,0.8903654485049833
xinan,1993_1995,50.00,0.9385382059800664
xinan,1993_1995,55.00,0.9418604651162791
xinan,1993_1995,60.00,0.9418604651162791
xinan,1993_1995,65.00,0.9435215946843853
xinan,1993_1995,70.00,0.9335548172757475
xinan,1993_1995,75.00,0.9435215946843853
xinan,1993_1995,80.00,0.9418604651162791
xinan,1993_1995,85.00,0.9401993355481728
xinan,1993_1995,90.00,0.9418604651162791
xinan,1993_1995,95.00,0.9501661129568106
xinan,1996_1998,0.10,0.6661129568106312
xinan,1996_1998,0.40,0.792358803986711
xinan,1996_1998,0.70,0.8122923588039868
xinan,1996_1998,1.00,0.8588039867109635
xinan,1996_1998,1.50,0.8538205980066446
xinan,1996_1998,10.00,0.9136212624584718
xinan,1996_1998,15.00,0.925249169435216
xinan,1996_1998,2.00,0.8970099667774086
xinan,1996_1998,20.00,0.9235880398671097
xinan,1996_1998,25.00,0.9269102990033222
xinan,1996_1998,30.00,0.9335548172757475
xinan,1996_1998,35.00,0.9318936877076412
xinan,1996_1998,40.00,0.9385382059800664
xinan,1996_1998,45.00,0.9401993355481728
xinan,1996_1998,5.00,0.9186046511627907
xinan,1996_1998,50.00,0.9418604651162791
