Region,Year,Sample_size,Accuracy
zhongnan,1990_1992,0.10,0.7718631178707225
zhongnan,1990_1992,0.40,0.8916349809885932
zhongnan,1990_1992,0.70,0.8859315589353612
zhongnan,1990_1992,1.00,0.876425855513308
zhongnan,1990_1992,1.50,0.9049429657794676
zhongnan,1990_1992,10.00,0.9296577946768061
zhongnan,1990_1992,15.00,0.9448669201520913
zhongnan,1990_1992,2.00,0.9068441064638784
zhongnan,1990_1992,20.00,0.9448669201520913
zhongnan,1990_1992,25.00,0.9429657794676806
zhongnan,1990_1992,30.00,0.9524714828897338
zhongnan,1990_1992,35.00,0.9505703422053232
zhongnan,1990_1992,40.00,0.9505703422053232
zhongnan,1990_1992,45.00,0.9524714828897338
zhongnan,1990_1992,5.00,0.9372623574144486
zhongnan,1990_1992,50.00,0.9429657794676806
zhongnan,1990_1992,55.00,0.9467680608365019
zhongnan,1990_1992,60.00,0.9543726235741445
zhongnan,1990_1992,65.00,0.9505703422053232
zhongnan,1990_1992,70.00,0.9543726235741445
zhongnan,1990_1992,75.00,0.9505703422053232
zhongnan,1990_1992,80.00,0.9562737642585551
zhongnan,1990_1992,85.00,0.9524714828897338
zhongnan,1990_1992,90.00,0.9562737642585551
zhongnan,1990_1992,95.00,0.9619771863117871
zhongnan,1993_1995,0.10,0.7790262172284644
zhongnan,1993_1995,0.40,0.8052434456928839
zhongnan,1993_1995,0.70,0.8595505617977528
zhongnan,1993_1995,1.00,0.8651685393258427
zhongnan,1993_1995,1.50,0.8707865168539326
zhongnan,1993_1995,10.00,0.9325842696629213
zhongnan,1993_1995,15.00,0.951310861423221
zhongnan,1993_1995,2.00,0.8951310861423221
zhongnan,1993_1995,20.00,0.9456928838951311
zhongnan,1993_1995,25.00,0.9419475655430711
zhongnan,1993_1995,30.00,0.9550561797752809
zhongnan,1993_1995,35.00,0.949438202247191
zhongnan,1993_1995,40.00,0.947565543071161
zhongnan,1993_1995,45.00,0.947565543071161
zhongnan,1993_1995,5.00,0.9250936329588015
zhongnan,1993_1995,50.00,0.949438202247191
zhongnan,1993_1995,55.00,0.9550561797752809
zhongnan,1993_1995,60.00,0.9550561797752809
zhongnan,1993_1995,65.00,0.9550561797752809
zhongnan,1993_1995,70.00,0.9531835205992509
zhongnan,1993_1995,75.00,0.9606741573033708
zhongnan,1993_1995,80.00,0.9550561797752809
zhongnan,1993_1995,85.00,0.9606741573033708
zhongnan,1993_1995,90.00,0.9588014981273408
zhongnan,1993_1995,95.00,0.9588014981273408
zhongnan,1996_1998,0.10,0.8759124087591241
zhongnan,1996_1998,0.40,0.916058394160584
zhongnan,1996_1998,0.70,0.9233576642335767
zhongnan,1996_1998,1.00,0.9124087591240876
zhongnan,1996_1998,1.50,0.9562043795620438
zhongnan,1996_1998,10.00,0.9562043795620438
zhongnan,1996_1998,15.00,0.9616788321167883
zhongnan,1996_1998,2.00,0.9470802919708029
zhongnan,1996_1998,20.00,0.9635036496350365
zhongnan,1996_1998,25.00,0.958029197080292
zhongnan,1996_1998,30.00,0.9616788321167883
zhongnan,1996_1998,35.00,0.9562043795620438
zhongnan,1996_1998,40.00,0.9635036496350365
