Year,Threshold,Feature,Sample_size,Correct_num,Accuracy
1990_1992,0,"ee.FeatureCollection({
  ""functionInvocationValue"": {
    ""functionName"": ""Image.sampleRegions"",
    ""arguments"": {
      ""collection"": {
        ""functionInvocationValue"": {
          ""functionName"": ""Collection.loadTable"",
          ""arguments"": {
            ""tableId"": {
              ""constantValue"": ""users/wangjinzhulala/China_built_up/04_sample_train_test_split/Training_sample_dongbei_1990_1992""
            }
          }
        }
      },
      ""image"": {
        ""functionInvocationValue"": {
          ""functionName"": ""Image.rename"",
          ""arguments"": {
            ""input"": {
              ""functionInvocationValue"": {
                ""functionName"": ""Image.gt"",
                ""arguments"": {
                  ""image1"": {
                    ""functionInvocationValue"": {
                      ""functionName"": ""reduce.sum"",
                      ""arguments"": {
                        ""collection"": {
                          ""functionInvocationValue"": {
                            ""functionName"": ""ImageCollection.fromImages"",
                            ""arguments"": {
                              ""images"": {
                                ""arrayValue"": {
                                  ""values"": [
                                    {
                                      ""functionInvocationValue"": {
                                        ""functionName"": ""Image.load"",
                                        ""arguments"": {
                                          ""id"": {
                                            ""constantValue"": ""users/wangjinzhulala/China_built_up/05_primary_classification/Spectrum_Normalize_Fourier_Terrain_Meterology_dongbei_1990_1992_0""
                                          }
                                        }
                                      }
                                    },
                                    {
                                      ""functionInvocationValue"": {
                                        ""functionName"": ""Image.load"",
                                        ""arguments"": {
                                          ""id"": {
                                            ""constantValue"": ""users/wangjinzhulala/China_built_up/05_primary_classification/Spectrum_Normalize_Fourier_Terrain_Meterology_dongbei_1990_1992_1""
                                          }
                                        }
                                      }
                                    },
                                    {
                                      ""functionInvocationValue"": {
                                        ""functionName"": ""Image.load"",
                                        ""arguments"": {
                                          ""id"": {
                                            ""constantValue"": ""users/wangjinzhulala/China_built_up/05_primary_classification/Spectrum_Normalize_Fourier_Terrain_Meterology_dongbei_1990_1992_2""
                                          }
                                        }
                                      }
                                    },
                                    {
                                      ""functionInvocationValue"": {
                                        ""functionName"": ""Image.load"",
                                        ""arguments"": {
                                          ""id"": {
                                            ""constantValue"": ""users/wangjinzhulala/China_built_up/05_primary_classification/Spectrum_Normalize_Fourier_Terrain_Meterology_dongbei_1990_1992_3""
                                          }
                                        }
                                      }
                                    },
                                    {
                                      ""functionInvocationValue"": {
                                        ""functionName"": ""Image.load"",
                                        ""arguments"": {
                                          ""id"": {
                                            ""constantValue"": ""users/wangjinzhulala/China_built_up/05_primary_classification/Spectrum_Normalize_Fourier_Terrain_Meterology_dongbei_1990_1992_4""
                                          }
                                        }
                                      }
                                    },
                                    {
                                      ""functionInvocationValue"": {
                                        ""functionName"": ""Image.load"",
                                        ""arguments"": {
                                          ""id"": {
                                            ""constantValue"": ""users/wangjinzhulala/China_built_up/05_primary_classification/Spectrum_Normalize_Fourier_Terrain_Meterology_dongbei_1990_1992_5""
                                          }
                                        }
                                      }
                                    },
                                    {
                                      ""functionInvocationValue"": {
                                        ""functionName"": ""Image.load"",
                                        ""arguments"": {
                                          ""id"": {
                                            ""constantValue"": ""users/wangjinzhulala/China_built_up/05_primary_classification/Spectrum_Normalize_Fourier_Terrain_Meterology_dongbei_1990_1992_6""
                                          }
                                        }
                                      }
                                    },
                                    {
                                      ""functionInvocationValue"": {
                                        ""functionName"": ""Image.load"",
                                        ""arguments"": {
                                          ""id"": {
                                            ""constantValue"": ""users/wangjinzhulala/China_built_up/05_primary_classification/Spectrum_Normalize_Fourier_Terrain_Meterology_dongbei_1990_1992_7""
                                          }
                                        }
                                      }
                                    },
                                    {
                                      ""functionInvocationValue"": {
                                        ""functionName"": ""Image.load"",
                                        ""arguments"": {
                                          ""id"": {
                                            ""constantValue"": ""users/wangjinzhulala/China_built_up/05_primary_classification/Spectrum_Normalize_Fourier_Terrain_Meterology_dongbei_1990_1992_8""
                                          }
                                        }
                                      }
                                    },
                                    {
                                      ""functionInvocationValue"": {
                                        ""functionName"": ""Image.load"",
                                        ""arguments"": {
                                          ""id"": {
                                            ""constantValue"": ""users/wangjinzhulala/China_built_up/05_primary_classification/Spectrum_Normalize_Fourier_Terrain_Meterology_dongbei_1990_1992_9""
                                          }
                                        }
                                      }
                                    }
                                  ]
                                }
                              }
                            }
                          }
                        }
                      }
                    }
                  },
                  ""image2"": {
                    ""functionInvocationValue"": {
                      ""functionName"": ""Image.constant"",
                      ""arguments"": {
                        ""value"": {
                          ""constantValue"": 0
                        }
                      }
                    }
                  }
                }
              }
            },
            ""names"": {
              ""constantValue"": [
                ""classification""
              ]
            }
          }
        }
      },
      ""properties"": {
        ""constantValue"": [
          ""Built""
        ]
      },
      ""scale"": {
        ""constantValue"": 30
      }
    }
  }
})",2414,2397,99.29577464788733
1990_1992,1,"ee.FeatureCollection({
  ""functionInvocationValue"": {
    ""functionName"": ""Image.sampleRegions"",
    ""arguments"": {
      ""collection"": {
        ""functionInvocationValue"": {
          ""functionName"": ""Collection.loadTable"",
          ""arguments"": {
            ""tableId"": {
              ""constantValue"": ""users/wangjinzhulala/China_built_up/04_sample_train_test_split/Training_sample_dongbei_1990_1992""
            }
          }
        }
      },
      ""image"": {
        ""functionInvocationValue"": {
          ""functionName"": ""Image.rename"",
          ""arguments"": {
            ""input"": {
              ""functionInvocationValue"": {
                ""functionName"": ""Image.gt"",
                ""arguments"": {
                  ""image1"": {
                    ""functionInvocationValue"": {
                      ""functionName"": ""reduce.sum"",
                      ""arguments"": {
                        ""collection"": {
                          ""functionInvocationValue"": {
                            ""functionName"": ""ImageCollection.fromImages"",
                            ""arguments"": {
                              ""images"": {
                                ""arrayValue"": {
                                  ""values"": [
                                    {
                                      ""functionInvocationValue"": {
                                        ""functionName"": ""Image.load"",
                                        ""arguments"": {
                                          ""id"": {
                                            ""constantValue"": ""users/wangjinzhulala/China_built_up/05_primary_classification/Spectrum_Normalize_Fourier_Terrain_Meterology_dongbei_1990_1992_0""
                                          }
                                        }
                                      }
                                    },
                                    {
                                      ""functionInvocationValue"": {
                                        ""functionName"": ""Image.load"",
                                        ""arguments"": {
                                          ""id"": {
                                            ""constantValue"": ""users/wangjinzhulala/China_built_up/05_primary_classification/Spectrum_Normalize_Fourier_Terrain_Meterology_dongbei_1990_1992_1""
                                          }
                                        }
                                      }
                                    },
                                    {
                                      ""functionInvocationValue"": {
                                        ""functionName"": ""Image.load"",
                                        ""arguments"": {
                                          ""id"": {
                                            ""constantValue"": ""users/wangjinzhulala/China_built_up/05_primary_classification/Spectrum_Normalize_Fourier_Terrain_Meterology_dongbei_1990_1992_2""
                                          }
                                        }
                                      }
                                    },
                                    {
                                      ""functionInvocationValue"": {
                                        ""functionName"": ""Image.load"",
                                        ""arguments"": {
                                          ""id"": {
                                            ""constantValue"": ""users/wangjinzhulala/China_built_up/05_primary_classification/Spectrum_Normalize_Fourier_Terrain_Meterology_dongbei_1990_1992_3""
                                          }
                                        }
                                      }
                                    },
                                    {
                                      ""functionInvocationValue"": {
                                        ""functionName"": ""Image.load"",
                                        ""arguments"": {
                                          ""id"": {
                                            ""constantValue"": ""users/wangjinzhulala/China_built_up/05_primary_classification/Spectrum_Normalize_Fourier_Terrain_Meterology_dongbei_1990_1992_4""
                                          }
                                        }
                                      }
                                    },
                                    {
                                      ""functionInvocationValue"": {
                                        ""functionName"": ""Image.load"",
                                        ""arguments"": {
                                          ""id"": {
                                            ""constantValue"": ""users/wangjinzhulala/China_built_up/05_primary_classification/Spectrum_Normalize_Fourier_Terrain_Meterology_dongbei_1990_1992_5""
                                          }
                                        }
                                      }
                                    },
                                    {
                                      ""functionInvocationValue"": {
                                        ""functionName"": ""Image.load"",
                                        ""arguments"": {
                                          ""id"": {
                                            ""constantValue"": ""users/wangjinzhulala/China_built_up/05_primary_classification/Spectrum_Normalize_Fourier_Terrain_Meterology_dongbei_1990_1992_6""
                                          }
                                        }
                                      }
                                    },
                                    {
                                      ""functionInvocationValue"": {
                                        ""functionName"": ""Image.load"",
                                        ""arguments"": {
                                          ""id"": {
                                            ""constantValue"": ""users/wangjinzhulala/China_built_up/05_primary_classification/Spectrum_Normalize_Fourier_Terrain_Meterology_dongbei_1990_1992_7""
                                          }
                                        }
                                      }
                                    },
                                    {
                                      ""functionInvocationValue"": {
                                        ""functionName"": ""Image.load"",
                                        ""arguments"": {
                                          ""id"": {
                                            ""constantValue"": ""users/wangjinzhulala/China_built_up/05_primary_classification/Spectrum_Normalize_Fourier_Terrain_Meterology_dongbei_1990_1992_8""
                                          }
                                        }
                                      }
                                    },
                                    {
                                      ""functionInvocationValue"": {
                                        ""functionName"": ""Image.load"",
                                        ""arguments"": {
                                          ""id"": {
                                            ""constantValue"": ""users/wangjinzhulala/China_built_up/05_primary_classification/Spectrum_Normalize_Fourier_Terrain_Meterology_dongbei_1990_1992_9""
                                          }
                                        }
                                      }
                                    }
                                  ]
                                }
                              }
                            }
                          }
                        }
                      }
                    }
                  },
                  ""image2"": {
                    ""functionInvocationValue"": {
                      ""functionName"": ""Image.constant"",
                      ""arguments"": {
                        ""value"": {
                          ""constantValue"": 1
                        }
                      }
                    }
                  }
                }
              }
            },
            ""names"": {
              ""constantValue"": [
                ""classification""
              ]
            }
          }
        }
      },
      ""properties"": {
        ""constantValue"": [
          ""Built""
        ]
      },
      ""scale"": {
        ""constantValue"": 30
      }
    }
  }
})",2414,2403,99.54432477216238
1990_1992,2,"ee.FeatureCollection({
  ""functionInvocationValue"": {
    ""functionName"": ""Image.sampleRegions"",
    ""arguments"": {
      ""collection"": {
        ""functionInvocationValue"": {
          ""functionName"": ""Collection.loadTable"",
          ""arguments"": {
            ""tableId"": {
              ""constantValue"": ""users/wangjinzhulala/China_built_up/04_sample_train_test_split/Training_sample_dongbei_1990_1992""
            }
          }
        }
      },
      ""image"": {
        ""functionInvocationValue"": {
          ""functionName"": ""Image.rename"",
          ""arguments"": {
            ""input"": {
              ""functionInvocationValue"": {
                ""functionName"": ""Image.gt"",
                ""arguments"": {
                  ""image1"": {
                    ""functionInvocationValue"": {
                      ""functionName"": ""reduce.sum"",
                      ""arguments"": {
                        ""collection"": {
                          ""functionInvocationValue"": {
                            ""functionName"": ""ImageCollection.fromImages"",
                            ""arguments"": {
                              ""images"": {
                                ""arrayValue"": {
                                  ""values"": [
                                    {
                                      ""functionInvocationValue"": {
                                        ""functionName"": ""Image.load"",
                                        ""arguments"": {
                                          ""id"": {
                                            ""constantValue"": ""users/wangjinzhulala/China_built_up/05_primary_classification/Spectrum_Normalize_Fourier_Terrain_Meterology_dongbei_1990_1992_0""
                                          }
                                        }
                                      }
                                    },
                                    {
                                      ""functionInvocationValue"": {
                                        ""functionName"": ""Image.load"",
                                        ""arguments"": {
                                          ""id"": {
                                            ""constantValue"": ""users/wangjinzhulala/China_built_up/05_primary_classification/Spectrum_Normalize_Fourier_Terrain_Meterology_dongbei_1990_1992_1""
                                          }
                                        }
                                      }
                                    },
                                    {
                                      ""functionInvocationValue"": {
                                        ""functionName"": ""Image.load"",
                                        ""arguments"": {
                                          ""id"": {
                                            ""constantValue"": ""users/wangjinzhulala/China_built_up/05_primary_classification/Spectrum_Normalize_Fourier_Terrain_Meterology_dongbei_1990_1992_2""
                                          }
                                        }
                                      }
                                    },
                                    {
                                      ""functionInvocationValue"": {
                                        ""functionName"": ""Image.load"",
                                        ""arguments"": {
                                          ""id"": {
                                            ""constantValue"": ""users/wangjinzhulala/China_built_up/05_primary_classification/Spectrum_Normalize_Fourier_Terrain_Meterology_dongbei_1990_1992_3""
                                          }
                                        }
                                      }
                                    },
                                    {
                                      ""functionInvocationValue"": {
                                        ""functionName"": ""Image.load"",
                                        ""arguments"": {
                                          ""id"": {
                                            ""constantValue"": ""users/wangjinzhulala/China_built_up/05_primary_classification/Spectrum_Normalize_Fourier_Terrain_Meterology_dongbei_1990_1992_4""
                                          }
                                        }
                                      }
                                    },
                                    {
                                      ""functionInvocationValue"": {
                                        ""functionName"": ""Image.load"",
                                        ""arguments"": {
                                          ""id"": {
                                            ""constantValue"": ""users/wangjinzhulala/China_built_up/05_primary_classification/Spectrum_Normalize_Fourier_Terrain_Meterology_dongbei_1990_1992_5""
                                          }
                                        }
                                      }
                                    },
                                    {
                                      ""functionInvocationValue"": {
                                        ""functionName"": ""Image.load"",
                                        ""arguments"": {
                                          ""id"": {
                                            ""constantValue"": ""users/wangjinzhulala/China_built_up/05_primary_classification/Spectrum_Normalize_Fourier_Terrain_Meterology_dongbei_1990_1992_6""
                                          }
                                        }
                                      }
                                    },
                                    {
                                      ""functionInvocationValue"": {
                                        ""functionName"": ""Image.load"",
                                        ""arguments"": {
                                          ""id"": {
                                            ""constantValue"": ""users/wangjinzhulala/China_built_up/05_primary_classification/Spectrum_Normalize_Fourier_Terrain_Meterology_dongbei_1990_1992_7""
                                          }
                                        }
                                      }
                                    },
                                    {
                                      ""functionInvocationValue"": {
                                        ""functionName"": ""Image.load"",
                                        ""arguments"": {
                                          ""id"": {
                                            ""constantValue"": ""users/wangjinzhulala/China_built_up/05_primary_classification/Spectrum_Normalize_Fourier_Terrain_Meterology_dongbei_1990_1992_8""
                                          }
                                        }
                                      }
                                    },
                                    {
                                      ""functionInvocationValue"": {
                                        ""functionName"": ""Image.load"",
                                        ""arguments"": {
                                          ""id"": {
                                            ""constantValue"": ""users/wangjinzhulala/China_built_up/05_primary_classification/Spectrum_Normalize_Fourier_Terrain_Meterology_dongbei_1990_1992_9""
                                          }
                                        }
                                      }
                                    }
                                  ]
                                }
                              }
                            }
                          }
                        }
                      }
                    }
                  },
                  ""image2"": {
                    ""functionInvocationValue"": {
                      ""functionName"": ""Image.constant"",
                      ""arguments"": {
                        ""value"": {
                          ""constantValue"": 2
                        }
                      }
                    }
                  }
                }
              }
            },
            ""names"": {
              ""constantValue"": [
                ""classification""
              ]
            }
          }
        }
      },
      ""properties"": {
        ""constantValue"": [
          ""Built""
        ]
      },
      ""scale"": {
        ""constantValue"": 30
      }
    }
  }
})",2414,2407,99.71002485501242
1990_1992,3,"ee.FeatureCollection({
  ""functionInvocationValue"": {
    ""functionName"": ""Image.sampleRegions"",
    ""arguments"": {
      ""collection"": {
        ""functionInvocationValue"": {
          ""functionName"": ""Collection.loadTable"",
          ""arguments"": {
            ""tableId"": {
              ""constantValue"": ""users/wangjinzhulala/China_built_up/04_sample_train_test_split/Training_sample_dongbei_1990_1992""
            }
          }
        }
      },
      ""image"": {
        ""functionInvocationValue"": {
          ""functionName"": ""Image.rename"",
          ""arguments"": {
            ""input"": {
              ""functionInvocationValue"": {
                ""functionName"": ""Image.gt"",
                ""arguments"": {
                  ""image1"": {
                    ""functionInvocationValue"": {
                      ""functionName"": ""reduce.sum"",
                      ""arguments"": {
                        ""collection"": {
                          ""functionInvocationValue"": {
                            ""functionName"": ""ImageCollection.fromImages"",
                            ""arguments"": {
                              ""images"": {
                                ""arrayValue"": {
                                  ""values"": [
                                    {
                                      ""functionInvocationValue"": {
                                        ""functionName"": ""Image.load"",
                                        ""arguments"": {
                                          ""id"": {
                                            ""constantValue"": ""users/wangjinzhulala/China_built_up/05_primary_classification/Spectrum_Normalize_Fourier_Terrain_Meterology_dongbei_1990_1992_0""
                                          }
                                        }
                                      }
                                    },
                                    {
                                      ""functionInvocationValue"": {
                                        ""functionName"": ""Image.load"",
                                        ""arguments"": {
                                          ""id"": {
                                            ""constantValue"": ""users/wangjinzhulala/China_built_up/05_primary_classification/Spectrum_Normalize_Fourier_Terrain_Meterology_dongbei_1990_1992_1""
                                          }
                                        }
                                      }
                                    },
                                    {
                                      ""functionInvocationValue"": {
                                        ""functionName"": ""Image.load"",
                                        ""arguments"": {
                                          ""id"": {
                                            ""constantValue"": ""users/wangjinzhulala/China_built_up/05_primary_classification/Spectrum_Normalize_Fourier_Terrain_Meterology_dongbei_1990_1992_2""
                                          }
                                        }
                                      }
                                    },
                                    {
                                      ""functionInvocationValue"": {
                                        ""functionName"": ""Image.load"",
                                        ""arguments"": {
                                          ""id"": {
                                            ""constantValue"": ""users/wangjinzhulala/China_built_up/05_primary_classification/Spectrum_Normalize_Fourier_Terrain_Meterology_dongbei_1990_1992_3""
                                          }
                                        }
                                      }
                                    },
                                    {
                                      ""functionInvocationValue"": {
                                        ""functionName"": ""Image.load"",
                                        ""arguments"": {
                                          ""id"": {
                                            ""constantValue"": ""users/wangjinzhulala/China_built_up/05_primary_classification/Spectrum_Normalize_Fourier_Terrain_Meterology_dongbei_1990_1992_4""
                                          }
                                        }
                                      }
                                    },
                                    {
                                      ""functionInvocationValue"": {
                                        ""functionName"": ""Image.load"",
                                        ""arguments"": {
                                          ""id"": {
                                            ""constantValue"": ""users/wangjinzhulala/China_built_up/05_primary_classification/Spectrum_Normalize_Fourier_Terrain_Meterology_dongbei_1990_1992_5""
                                          }
                                        }
                                      }
                                    },
                                    {
                                      ""functionInvocationValue"": {
                                        ""functionName"": ""Image.load"",
                                        ""arguments"": {
                                          ""id"": {
                                            ""constantValue"": ""users/wangjinzhulala/China_built_up/05_primary_classification/Spectrum_Normalize_Fourier_Terrain_Meterology_dongbei_1990_1992_6""
                                          }
                                        }
                                      }
                                    },
                                    {
                                      ""functionInvocationValue"": {
                                        ""functionName"": ""Image.load"",
                                        ""arguments"": {
                                          ""id"": {
                                            ""constantValue"": ""users/wangjinzhulala/China_built_up/05_primary_classification/Spectrum_Normalize_Fourier_Terrain_Meterology_dongbei_1990_1992_7""
                                          }
                                        }
                                      }
                                    },
                                    {
                                      ""functionInvocationValue"": {
                                        ""functionName"": ""Image.load"",
                                        ""arguments"": {
                                          ""id"": {
                                            ""constantValue"": ""users/wangjinzhulala/China_built_up/05_primary_classification/Spectrum_Normalize_Fourier_Terrain_Meterology_dongbei_1990_1992_8""
                                          }
                                        }
                                      }
                                    },
                                    {
                                      ""functionInvocationValue"": {
                                        ""functionName"": ""Image.load"",
                                        ""arguments"": {
                                          ""id"": {
                                            ""constantValue"": ""users/wangjinzhulala/China_built_up/05_primary_classification/Spectrum_Normalize_Fourier_Terrain_Meterology_dongbei_1990_1992_9""
                                          }
                                        }
                                      }
                                    }
                                  ]
                                }
                              }
                            }
                          }
                        }
                      }
                    }
                  },
                  ""image2"": {
                    ""functionInvocationValue"": {
                      ""functionName"": ""Image.constant"",
                      ""arguments"": {
                        ""value"": {
                          ""constantValue"": 3
                        }
                      }
                    }
                  }
                }
              }
            },
            ""names"": {
              ""constantValue"": [
                ""classification""
              ]
            }
          }
        }
      },
      ""properties"": {
        ""constantValue"": [
          ""Built""
        ]
      },
      ""scale"": {
        ""constantValue"": 30
      }
    }
  }
})",2414,2409,99.79287489643744
1990_1992,4,"ee.FeatureCollection({
  ""functionInvocationValue"": {
    ""functionName"": ""Image.sampleRegions"",
    ""arguments"": {
      ""collection"": {
        ""functionInvocationValue"": {
          ""functionName"": ""Collection.loadTable"",
          ""arguments"": {
            ""tableId"": {
              ""constantValue"": ""users/wangjinzhulala/China_built_up/04_sample_train_test_split/Training_sample_dongbei_1990_1992""
            }
          }
        }
      },
      ""image"": {
        ""functionInvocationValue"": {
          ""functionName"": ""Image.rename"",
          ""arguments"": {
            ""input"": {
              ""functionInvocationValue"": {
                ""functionName"": ""Image.gt"",
                ""arguments"": {
                  ""image1"": {
                    ""functionInvocationValue"": {
                      ""functionName"": ""reduce.sum"",
                      ""arguments"": {
                        ""collection"": {
                          ""functionInvocationValue"": {
                            ""functionName"": ""ImageCollection.fromImages"",
                            ""arguments"": {
                              ""images"": {
                                ""arrayValue"": {
                                  ""values"": [
                                    {
                                      ""functionInvocationValue"": {
                                        ""functionName"": ""Image.load"",
                                        ""arguments"": {
                                          ""id"": {
                                            ""constantValue"": ""users/wangjinzhulala/China_built_up/05_primary_classification/Spectrum_Normalize_Fourier_Terrain_Meterology_dongbei_1990_1992_0""
                                          }
                                        }
                                      }
                                    },
                                    {
                                      ""functionInvocationValue"": {
                                        ""functionName"": ""Image.load"",
                                        ""arguments"": {
                                          ""id"": {
                                            ""constantValue"": ""users/wangjinzhulala/China_built_up/05_primary_classification/Spectrum_Normalize_Fourier_Terrain_Meterology_dongbei_1990_1992_1""
                                          }
                                        }
                                      }
                                    },
                                    {
                                      ""functionInvocationValue"": {
                                        ""functionName"": ""Image.load"",
                                        ""arguments"": {
                                          ""id"": {
                                            ""constantValue"": ""users/wangjinzhulala/China_built_up/05_primary_classification/Spectrum_Normalize_Fourier_Terrain_Meterology_dongbei_1990_1992_2""
                                          }
                                        }
                                      }
                                    },
                                    {
                                      ""functionInvocationValue"": {
                                        ""functionName"": ""Image.load"",
                                        ""arguments"": {
                                          ""id"": {
                                            ""constantValue"": ""users/wangjinzhulala/China_built_up/05_primary_classification/Spectrum_Normalize_Fourier_Terrain_Meterology_dongbei_1990_1992_3""
                                          }
                                        }
                                      }
                                    },
                                    {
                                      ""functionInvocationValue"": {
                                        ""functionName"": ""Image.load"",
                                        ""arguments"": {
                                          ""id"": {
                                            ""constantValue"": ""users/wangjinzhulala/China_built_up/05_primary_classification/Spectrum_Normalize_Fourier_Terrain_Meterology_dongbei_1990_1992_4""
                                          }
                                        }
                                      }
                                    },
                                    {
                                      ""functionInvocationValue"": {
                                        ""functionName"": ""Image.load"",
                                        ""arguments"": {
                                          ""id"": {
                                            ""constantValue"": ""users/wangjinzhulala/China_built_up/05_primary_classification/Spectrum_Normalize_Fourier_Terrain_Meterology_dongbei_1990_1992_5""
                                          }
                                        }
                                      }
                                    },
                                    {
                                      ""functionInvocationValue"": {
                                        ""functionName"": ""Image.load"",
                                        ""arguments"": {
                                          ""id"": {
                                            ""constantValue"": ""users/wangjinzhulala/China_built_up/05_primary_classification/Spectrum_Normalize_Fourier_Terrain_Meterology_dongbei_1990_1992_6""
                                          }
                                        }
                                      }
                                    },
                                    {
                                      ""functionInvocationValue"": {
                                        ""functionName"": ""Image.load"",
                                        ""arguments"": {
                                          ""id"": {
                                            ""constantValue"": ""users/wangjinzhulala/China_built_up/05_primary_classification/Spectrum_Normalize_Fourier_Terrain_Meterology_dongbei_1990_1992_7""
                                          }
                                        }
                                      }
                                    },
                                    {
                                      ""functionInvocationValue"": {
                                        ""functionName"": ""Image.load"",
                                        ""arguments"": {
                                          ""id"": {
                                            ""constantValue"": ""users/wangjinzhulala/China_built_up/05_primary_classification/Spectrum_Normalize_Fourier_Terrain_Meterology_dongbei_1990_1992_8""
                                          }
                                        }
                                      }
                                    },
                                    {
                                      ""functionInvocationValue"": {
                                        ""functionName"": ""Image.load"",
                                        ""arguments"": {
                                          ""id"": {
                                            ""constantValue"": ""users/wangjinzhulala/China_built_up/05_primary_classification/Spectrum_Normalize_Fourier_Terrain_Meterology_dongbei_1990_1992_9""
                                          }
                                        }
                                      }
                                    }
                                  ]
                                }
                              }
                            }
                          }
                        }
                      }
                    }
                  },
                  ""image2"": {
                    ""functionInvocationValue"": {
                      ""functionName"": ""Image.constant"",
                      ""arguments"": {
                        ""value"": {
                          ""constantValue"": 4
                        }
                      }
                    }
                  }
                }
              }
            },
            ""names"": {
              ""constantValue"": [
                ""classification""
              ]
            }
          }
        }
      },
      ""properties"": {
        ""constantValue"": [
          ""Built""
        ]
      },
      ""scale"": {
        ""constantValue"": 30
      }
    }
  }
})",2414,2410,99.83429991714996
1990_1992,5,"ee.FeatureCollection({
  ""functionInvocationValue"": {
    ""functionName"": ""Image.sampleRegions"",
    ""arguments"": {
      ""collection"": {
        ""functionInvocationValue"": {
          ""functionName"": ""Collection.loadTable"",
          ""arguments"": {
            ""tableId"": {
              ""constantValue"": ""users/wangjinzhulala/China_built_up/04_sample_train_test_split/Training_sample_dongbei_1990_1992""
            }
          }
        }
      },
      ""image"": {
        ""functionInvocationValue"": {
          ""functionName"": ""Image.rename"",
          ""arguments"": {
            ""input"": {
              ""functionInvocationValue"": {
                ""functionName"": ""Image.gt"",
                ""arguments"": {
                  ""image1"": {
                    ""functionInvocationValue"": {
                      ""functionName"": ""reduce.sum"",
                      ""arguments"": {
                        ""collection"": {
                          ""functionInvocationValue"": {
                            ""functionName"": ""ImageCollection.fromImages"",
                            ""arguments"": {
                              ""images"": {
                                ""arrayValue"": {
                                  ""values"": [
                                    {
                                      ""functionInvocationValue"": {
                                        ""functionName"": ""Image.load"",
                                        ""arguments"": {
                                          ""id"": {
                                            ""constantValue"": ""users/wangjinzhulala/China_built_up/05_primary_classification/Spectrum_Normalize_Fourier_Terrain_Meterology_dongbei_1990_1992_0""
                                          }
                                        }
                                      }
                                    },
                                    {
                                      ""functionInvocationValue"": {
                                        ""functionName"": ""Image.load"",
                                        ""arguments"": {
                                          ""id"": {
                                            ""constantValue"": ""users/wangjinzhulala/China_built_up/05_primary_classification/Spectrum_Normalize_Fourier_Terrain_Meterology_dongbei_1990_1992_1""
                                          }
                                        }
                                      }
                                    },
                                    {
                                      ""functionInvocationValue"": {
                                        ""functionName"": ""Image.load"",
                                        ""arguments"": {
                                          ""id"": {
                                            ""constantValue"": ""users/wangjinzhulala/China_built_up/05_primary_classification/Spectrum_Normalize_Fourier_Terrain_Meterology_dongbei_1990_1992_2""
                                          }
                                        }
                                      }
                                    },
                                    {
                                      ""functionInvocationValue"": {
                                        ""functionName"": ""Image.load"",
                                        ""arguments"": {
                                          ""id"": {
                                            ""constantValue"": ""users/wangjinzhulala/China_built_up/05_primary_classification/Spectrum_Normalize_Fourier_Terrain_Meterology_dongbei_1990_1992_3""
                                          }
                                        }
                                      }
                                    },
                                    {
                                      ""functionInvocationValue"": {
                                        ""functionName"": ""Image.load"",
                                        ""arguments"": {
                                          ""id"": {
                                            ""constantValue"": ""users/wangjinzhulala/China_built_up/05_primary_classification/Spectrum_Normalize_Fourier_Terrain_Meterology_dongbei_1990_1992_4""
                                          }
                                        }
                                      }
                                    },
                                    {
                                      ""functionInvocationValue"": {
                                        ""functionName"": ""Image.load"",
                                        ""arguments"": {
                                          ""id"": {
                                            ""constantValue"": ""users/wangjinzhulala/China_built_up/05_primary_classification/Spectrum_Normalize_Fourier_Terrain_Meterology_dongbei_1990_1992_5""
                                          }
                                        }
                                      }
                                    },
                                    {
                                      ""functionInvocationValue"": {
                                        ""functionName"": ""Image.load"",
                                        ""arguments"": {
                                          ""id"": {
                                            ""constantValue"": ""users/wangjinzhulala/China_built_up/05_primary_classification/Spectrum_Normalize_Fourier_Terrain_Meterology_dongbei_1990_1992_6""
                                          }
                                        }
                                      }
                                    },
                                    {
                                      ""functionInvocationValue"": {
                                        ""functionName"": ""Image.load"",
                                        ""arguments"": {
                                          ""id"": {
                                            ""constantValue"": ""users/wangjinzhulala/China_built_up/05_primary_classification/Spectrum_Normalize_Fourier_Terrain_Meterology_dongbei_1990_1992_7""
                                          }
                                        }
                                      }
                                    },
                                    {
                                      ""functionInvocationValue"": {
                                        ""functionName"": ""Image.load"",
                                        ""arguments"": {
                                          ""id"": {
                                            ""constantValue"": ""users/wangjinzhulala/China_built_up/05_primary_classification/Spectrum_Normalize_Fourier_Terrain_Meterology_dongbei_1990_1992_8""
                                          }
                                        }
                                      }
                                    },
                                    {
                                      ""functionInvocationValue"": {
                                        ""functionName"": ""Image.load"",
                                        ""arguments"": {
                                          ""id"": {
                                            ""constantValue"": ""users/wangjinzhulala/China_built_up/05_primary_classification/Spectrum_Normalize_Fourier_Terrain_Meterology_dongbei_1990_1992_9""
                                          }
                                        }
                                      }
                                    }
                                  ]
                                }
                              }
                            }
                          }
                        }
                      }
                    }
                  },
                  ""image2"": {
                    ""functionInvocationValue"": {
                      ""functionName"": ""Image.constant"",
                      ""arguments"": {
                        ""value"": {
                          ""constantValue"": 5
                        }
                      }
                    }
                  }
                }
              }
            },
            ""names"": {
              ""constantValue"": [
                ""classification""
              ]
            }
          }
        }
      },
      ""properties"": {
        ""constantValue"": [
          ""Built""
        ]
      },
      ""scale"": {
        ""constantValue"": 30
      }
    }
  }
})",2414,2406,99.66859983429993
