Year,Threshold,Feature,Sample_size,Correct_num,Accuracy
1990_1992,0,"ee.FeatureCollection({
  ""functionInvocationValue"": {
    ""functionName"": ""Image.sampleRegions"",
    ""arguments"": {
      ""collection"": {
        ""functionInvocationValue"": {
          ""functionName"": ""Collection.loadTable"",
          ""arguments"": {
            ""tableId"": {
              ""constantValue"": ""users/wangjinzhulala/China_built_up/04_sample_train_test_split/Training_sample_xinan_1990_1992""
            }
          }
        }
      },
      ""image"": {
        ""functionInvocationValue"": {
          ""functionName"": ""Image.rename"",
          ""arguments"": {
            ""input"": {
              ""functionInvocationValue"": {
                ""functionName"": ""Image.gt"",
                ""arguments"": {
                  ""image1"": {
                    ""functionInvocationValue"": {
                      ""functionName"": ""reduce.sum"",
                      ""arguments"": {
                        ""collection"": {
                          ""functionInvocationValue"": {
                            ""functionName"": ""ImageCollection.fromImages"",
                            ""arguments"": {
                              ""images"": {
                                ""arrayValue"": {
                                  ""values"": [
                                    {
                                      ""functionInvocationValue"": {
                                        ""functionName"": ""Image.load"",
                                        ""arguments"": {
                                          ""id"": {
                                            ""constantValue"": ""users/wangjinzhulala/China_built_up/05_primary_classification/Spectrum_Normalize_Fourier_Terrain_Meterology_xinan_1990_1992_0""
                                          }
                                        }
                                      }
                                    },
                                    {
                                      ""functionInvocationValue"": {
                                        ""functionName"": ""Image.load"",
                                        ""arguments"": {
                                          ""id"": {
                                            ""constantValue"": ""users/wangjinzhulala/China_built_up/05_primary_classification/Spectrum_Normalize_Fourier_Terrain_Meterology_xinan_1990_1992_1""
                                          }
                                        }
                                      }
                                    },
                                    {
                                      ""functionInvocationValue"": {
                                        ""functionName"": ""Image.load"",
                                        ""arguments"": {
                                          ""id"": {
                                            ""constantValue"": ""users/wangjinzhulala/China_built_up/05_primary_classification/Spectrum_Normalize_Fourier_Terrain_Meterology_xinan_1990_1992_2""
                                          }
                                        }
                                      }
                                    },
                                    {
                                      ""functionInvocationValue"": {
                                        ""functionName"": ""Image.load"",
                                        ""arguments"": {
                                          ""id"": {
                                            ""constantValue"": ""users/wangjinzhulala/China_built_up/05_primary_classification/Spectrum_Normalize_Fourier_Terrain_Meterology_xinan_1990_1992_3""
                                          }
                                        }
                                      }
                                    },
                                    {
                                      ""functionInvocationValue"": {
                                        ""functionName"": ""Image.load"",
                                        ""arguments"": {
                                          ""id"": {
                                            ""constantValue"": ""users/wangjinzhulala/China_built_up/05_primary_classification/Spectrum_Normalize_Fourier_Terrain_Meterology_xinan_1990_1992_4""
                                          }
                                        }
                                      }
                                    },
                                    {
                                      ""functionInvocationValue"": {
                                        ""functionName"": ""Image.load"",
                                        ""arguments"": {
                                          ""id"": {
                                            ""constantValue"": ""users/wangjinzhulala/China_built_up/05_primary_classification/Spectrum_Normalize_Fourier_Terrain_Meterology_xinan_1990_1992_5""
                                          }
                                        }
                                      }
                                    },
                                    {
                                      ""functionInvocationValue"": {
                                        ""functionName"": ""Image.load"",
                                        ""arguments"": {
                                          ""id"": {
                                            ""constantValue"": ""users/wangjinzhulala/China_built_up/05_primary_classification/Spectrum_Normalize_Fourier_Terrain_Meterology_xinan_1990_1992_6""
                                          }
                                        }
                                      }
                                    },
                                    {
                                      ""functionInvocationValue"": {
                                        ""functionName"": ""Image.load"",
                                        ""arguments"": {
                                          ""id"": {
                                            ""constantValue"": ""users/wangjinzhulala/China_built_up/05_primary_classification/Spectrum_Normalize_Fourier_Terrain_Meterology_xinan_1990_1992_7""
                                          }
                                        }
                                      }
                                    },
                                    {
                                      ""functionInvocationValue"": {
                                        ""functionName"": ""Image.load"",
                                        ""arguments"": {
                                          ""id"": {
                                            ""constantValue"": ""users/wangjinzhulala/China_built_up/05_primary_classification/Spectrum_Normalize_Fourier_Terrain_Meterology_xinan_1990_1992_8""
                                          }
                                        }
                                      }
                                    },
                                    {
                                      ""functionInvocationValue"": {
                                        ""functionName"": ""Image.load"",
                                        ""arguments"": {
                                          ""id"": {
                                            ""constantValue"": ""users/wangjinzhulala/China_built_up/05_primary_classification/Spectrum_Normalize_Fourier_Terrain_Meterology_xinan_1990_1992_9""
                                          }
                                        }
                                      }
                                    }
                                  ]
                                }
                              }
                            }
                          }
                        }
                      }
                    }
                  },
                  ""image2"": {
                    ""functionInvocationValue"": {
                      ""functionName"": ""Image.constant"",
                      ""arguments"": {
                        ""value"": {
                          ""constantValue"": 0
                        }
                      }
                    }
                  }
                }
              }
            },
            ""names"": {
              ""constantValue"": [
                ""classification""
              ]
            }
          }
        }
      },
      ""properties"": {
        ""constantValue"": [
          ""Built""
        ]
      },
      ""scale"": {
        ""constantValue"": 30
      }
    }
  }
})",3374,3345,99.14048606994666
1990_1992,1,"ee.FeatureCollection({
  ""functionInvocationValue"": {
    ""functionName"": ""Image.sampleRegions"",
    ""arguments"": {
      ""collection"": {
        ""functionInvocationValue"": {
          ""functionName"": ""Collection.loadTable"",
          ""arguments"": {
            ""tableId"": {
              ""constantValue"": ""users/wangjinzhulala/China_built_up/04_sample_train_test_split/Training_sample_xinan_1990_1992""
            }
          }
        }
      },
      ""image"": {
        ""functionInvocationValue"": {
          ""functionName"": ""Image.rename"",
          ""arguments"": {
            ""input"": {
              ""functionInvocationValue"": {
                ""functionName"": ""Image.gt"",
                ""arguments"": {
                  ""image1"": {
                    ""functionInvocationValue"": {
                      ""functionName"": ""reduce.sum"",
                      ""arguments"": {
                        ""collection"": {
                          ""functionInvocationValue"": {
                            ""functionName"": ""ImageCollection.fromImages"",
                            ""arguments"": {
                              ""images"": {
                                ""arrayValue"": {
                                  ""values"": [
                                    {
                                      ""functionInvocationValue"": {
                                        ""functionName"": ""Image.load"",
                                        ""arguments"": {
                                          ""id"": {
                                            ""constantValue"": ""users/wangjinzhulala/China_built_up/05_primary_classification/Spectrum_Normalize_Fourier_Terrain_Meterology_xinan_1990_1992_0""
                                          }
                                        }
                                      }
                                    },
                                    {
                                      ""functionInvocationValue"": {
                                        ""functionName"": ""Image.load"",
                                        ""arguments"": {
                                          ""id"": {
                                            ""constantValue"": ""users/wangjinzhulala/China_built_up/05_primary_classification/Spectrum_Normalize_Fourier_Terrain_Meterology_xinan_1990_1992_1""
                                          }
                                        }
                                      }
                                    },
                                    {
                                      ""functionInvocationValue"": {
                                        ""functionName"": ""Image.load"",
                                        ""arguments"": {
                                          ""id"": {
                                            ""constantValue"": ""users/wangjinzhulala/China_built_up/05_primary_classification/Spectrum_Normalize_Fourier_Terrain_Meterology_xinan_1990_1992_2""
                                          }
                                        }
                                      }
                                    },
                                    {
                                      ""functionInvocationValue"": {
                                        ""functionName"": ""Image.load"",
                                        ""arguments"": {
                                          ""id"": {
                                            ""constantValue"": ""users/wangjinzhulala/China_built_up/05_primary_classification/Spectrum_Normalize_Fourier_Terrain_Meterology_xinan_1990_1992_3""
                                          }
                                        }
                                      }
                                    },
                                    {
                                      ""functionInvocationValue"": {
                                        ""functionName"": ""Image.load"",
                                        ""arguments"": {
                                          ""id"": {
                                            ""constantValue"": ""users/wangjinzhulala/China_built_up/05_primary_classification/Spectrum_Normalize_Fourier_Terrain_Meterology_xinan_1990_1992_4""
                                          }
                                        }
                                      }
                                    },
                                    {
                                      ""functionInvocationValue"": {
                                        ""functionName"": ""Image.load"",
                                        ""arguments"": {
                                          ""id"": {
                                            ""constantValue"": ""users/wangjinzhulala/China_built_up/05_primary_classification/Spectrum_Normalize_Fourier_Terrain_Meterology_xinan_1990_1992_5""
                                          }
                                        }
                                      }
                                    },
                                    {
                                      ""functionInvocationValue"": {
                                        ""functionName"": ""Image.load"",
                                        ""arguments"": {
                                          ""id"": {
                                            ""constantValue"": ""users/wangjinzhulala/China_built_up/05_primary_classification/Spectrum_Normalize_Fourier_Terrain_Meterology_xinan_1990_1992_6""
                                          }
                                        }
                                      }
                                    },
                                    {
                                      ""functionInvocationValue"": {
                                        ""functionName"": ""Image.load"",
                                        ""arguments"": {
                                          ""id"": {
                                            ""constantValue"": ""users/wangjinzhulala/China_built_up/05_primary_classification/Spectrum_Normalize_Fourier_Terrain_Meterology_xinan_1990_1992_7""
                                          }
                                        }
                                      }
                                    },
                                    {
                                      ""functionInvocationValue"": {
                                        ""functionName"": ""Image.load"",
                                        ""arguments"": {
                                          ""id"": {
                                            ""constantValue"": ""users/wangjinzhulala/China_built_up/05_primary_classification/Spectrum_Normalize_Fourier_Terrain_Meterology_xinan_1990_1992_8""
                                          }
                                        }
                                      }
                                    },
                                    {
                                      ""functionInvocationValue"": {
                                        ""functionName"": ""Image.load"",
                                        ""arguments"": {
                                          ""id"": {
                                            ""constantValue"": ""users/wangjinzhulala/China_built_up/05_primary_classification/Spectrum_Normalize_Fourier_Terrain_Meterology_xinan_1990_1992_9""
                                          }
                                        }
                                      }
                                    }
                                  ]
                                }
                              }
                            }
                          }
                        }
                      }
                    }
                  },
                  ""image2"": {
                    ""functionInvocationValue"": {
                      ""functionName"": ""Image.constant"",
                      ""arguments"": {
                        ""value"": {
                          ""constantValue"": 1
                        }
                      }
                    }
                  }
                }
              }
            },
            ""names"": {
              ""constantValue"": [
                ""classification""
              ]
            }
          }
        }
      },
      ""properties"": {
        ""constantValue"": [
          ""Built""
        ]
      },
      ""scale"": {
        ""constantValue"": 30
      }
    }
  }
})",3374,3354,99.407231772377
1990_1992,2,"ee.FeatureCollection({
  ""functionInvocationValue"": {
    ""functionName"": ""Image.sampleRegions"",
    ""arguments"": {
      ""collection"": {
        ""functionInvocationValue"": {
          ""functionName"": ""Collection.loadTable"",
          ""arguments"": {
            ""tableId"": {
              ""constantValue"": ""users/wangjinzhulala/China_built_up/04_sample_train_test_split/Training_sample_xinan_1990_1992""
            }
          }
        }
      },
      ""image"": {
        ""functionInvocationValue"": {
          ""functionName"": ""Image.rename"",
          ""arguments"": {
            ""input"": {
              ""functionInvocationValue"": {
                ""functionName"": ""Image.gt"",
                ""arguments"": {
                  ""image1"": {
                    ""functionInvocationValue"": {
                      ""functionName"": ""reduce.sum"",
                      ""arguments"": {
                        ""collection"": {
                          ""functionInvocationValue"": {
                            ""functionName"": ""ImageCollection.fromImages"",
                            ""arguments"": {
                              ""images"": {
                                ""arrayValue"": {
                                  ""values"": [
                                    {
                                      ""functionInvocationValue"": {
                                        ""functionName"": ""Image.load"",
                                        ""arguments"": {
                                          ""id"": {
                                            ""constantValue"": ""users/wangjinzhulala/China_built_up/05_primary_classification/Spectrum_Normalize_Fourier_Terrain_Meterology_xinan_1990_1992_0""
                                          }
                                        }
                                      }
                                    },
                                    {
                                      ""functionInvocationValue"": {
                                        ""functionName"": ""Image.load"",
                                        ""arguments"": {
                                          ""id"": {
                                            ""constantValue"": ""users/wangjinzhulala/China_built_up/05_primary_classification/Spectrum_Normalize_Fourier_Terrain_Meterology_xinan_1990_1992_1""
                                          }
                                        }
                                      }
                                    },
                                    {
                                      ""functionInvocationValue"": {
                                        ""functionName"": ""Image.load"",
                                        ""arguments"": {
                                          ""id"": {
                                            ""constantValue"": ""users/wangjinzhulala/China_built_up/05_primary_classification/Spectrum_Normalize_Fourier_Terrain_Meterology_xinan_1990_1992_2""
                                          }
                                        }
                                      }
                                    },
                                    {
                                      ""functionInvocationValue"": {
                                        ""functionName"": ""Image.load"",
                                        ""arguments"": {
                                          ""id"": {
                                            ""constantValue"": ""users/wangjinzhulala/China_built_up/05_primary_classification/Spectrum_Normalize_Fourier_Terrain_Meterology_xinan_1990_1992_3""
                                          }
                                        }
                                      }
                                    },
                                    {
                                      ""functionInvocationValue"": {
                                        ""functionName"": ""Image.load"",
                                        ""arguments"": {
                                          ""id"": {
                                            ""constantValue"": ""users/wangjinzhulala/China_built_up/05_primary_classification/Spectrum_Normalize_Fourier_Terrain_Meterology_xinan_1990_1992_4""
                                          }
                                        }
                                      }
                                    },
                                    {
                                      ""functionInvocationValue"": {
                                        ""functionName"": ""Image.load"",
                                        ""arguments"": {
                                          ""id"": {
                                            ""constantValue"": ""users/wangjinzhulala/China_built_up/05_primary_classification/Spectrum_Normalize_Fourier_Terrain_Meterology_xinan_1990_1992_5""
                                          }
                                        }
                                      }
                                    },
                                    {
                                      ""functionInvocationValue"": {
                                        ""functionName"": ""Image.load"",
                                        ""arguments"": {
                                          ""id"": {
                                            ""constantValue"": ""users/wangjinzhulala/China_built_up/05_primary_classification/Spectrum_Normalize_Fourier_Terrain_Meterology_xinan_1990_1992_6""
                                          }
                                        }
                                      }
                                    },
                                    {
                                      ""functionInvocationValue"": {
                                        ""functionName"": ""Image.load"",
                                        ""arguments"": {
                                          ""id"": {
                                            ""constantValue"": ""users/wangjinzhulala/China_built_up/05_primary_classification/Spectrum_Normalize_Fourier_Terrain_Meterology_xinan_1990_1992_7""
                                          }
                                        }
                                      }
                                    },
                                    {
                                      ""functionInvocationValue"": {
                                        ""functionName"": ""Image.load"",
                                        ""arguments"": {
                                          ""id"": {
                                            ""constantValue"": ""users/wangjinzhulala/China_built_up/05_primary_classification/Spectrum_Normalize_Fourier_Terrain_Meterology_xinan_1990_1992_8""
                                          }
                                        }
                                      }
                                    },
                                    {
                                      ""functionInvocationValue"": {
                                        ""functionName"": ""Image.load"",
                                        ""arguments"": {
                                          ""id"": {
                                            ""constantValue"": ""users/wangjinzhulala/China_built_up/05_primary_classification/Spectrum_Normalize_Fourier_Terrain_Meterology_xinan_1990_1992_9""
                                          }
                                        }
                                      }
                                    }
                                  ]
                                }
                              }
                            }
                          }
                        }
                      }
                    }
                  },
                  ""image2"": {
                    ""functionInvocationValue"": {
                      ""functionName"": ""Image.constant"",
                      ""arguments"": {
                        ""value"": {
                          ""constantValue"": 2
                        }
                      }
                    }
                  }
                }
              }
            },
            ""names"": {
              ""constantValue"": [
                ""classification""
              ]
            }
          }
        }
      },
      ""properties"": {
        ""constantValue"": [
          ""Built""
        ]
      },
      ""scale"": {
        ""constantValue"": 30
      }
    }
  }
})",3374,3362,99.6443390634262
1990_1992,3,"ee.FeatureCollection({
  ""functionInvocationValue"": {
    ""functionName"": ""Image.sampleRegions"",
    ""arguments"": {
      ""collection"": {
        ""functionInvocationValue"": {
          ""functionName"": ""Collection.loadTable"",
          ""arguments"": {
            ""tableId"": {
              ""constantValue"": ""users/wangjinzhulala/China_built_up/04_sample_train_test_split/Training_sample_xinan_1990_1992""
            }
          }
        }
      },
      ""image"": {
        ""functionInvocationValue"": {
          ""functionName"": ""Image.rename"",
          ""arguments"": {
            ""input"": {
              ""functionInvocationValue"": {
                ""functionName"": ""Image.gt"",
                ""arguments"": {
                  ""image1"": {
                    ""functionInvocationValue"": {
                      ""functionName"": ""reduce.sum"",
                      ""arguments"": {
                        ""collection"": {
                          ""functionInvocationValue"": {
                            ""functionName"": ""ImageCollection.fromImages"",
                            ""arguments"": {
                              ""images"": {
                                ""arrayValue"": {
                                  ""values"": [
                                    {
                                      ""functionInvocationValue"": {
                                        ""functionName"": ""Image.load"",
                                        ""arguments"": {
                                          ""id"": {
                                            ""constantValue"": ""users/wangjinzhulala/China_built_up/05_primary_classification/Spectrum_Normalize_Fourier_Terrain_Meterology_xinan_1990_1992_0""
                                          }
                                        }
                                      }
                                    },
                                    {
                                      ""functionInvocationValue"": {
                                        ""functionName"": ""Image.load"",
                                        ""arguments"": {
                                          ""id"": {
                                            ""constantValue"": ""users/wangjinzhulala/China_built_up/05_primary_classification/Spectrum_Normalize_Fourier_Terrain_Meterology_xinan_1990_1992_1""
                                          }
                                        }
                                      }
                                    },
                                    {
                                      ""functionInvocationValue"": {
                                        ""functionName"": ""Image.load"",
                                        ""arguments"": {
                                          ""id"": {
                                            ""constantValue"": ""users/wangjinzhulala/China_built_up/05_primary_classification/Spectrum_Normalize_Fourier_Terrain_Meterology_xinan_1990_1992_2""
                                          }
                                        }
                                      }
                                    },
                                    {
                                      ""functionInvocationValue"": {
                                        ""functionName"": ""Image.load"",
                                        ""arguments"": {
                                          ""id"": {
                                            ""constantValue"": ""users/wangjinzhulala/China_built_up/05_primary_classification/Spectrum_Normalize_Fourier_Terrain_Meterology_xinan_1990_1992_3""
                                          }
                                        }
                                      }
                                    },
                                    {
                                      ""functionInvocationValue"": {
                                        ""functionName"": ""Image.load"",
                                        ""arguments"": {
                                          ""id"": {
                                            ""constantValue"": ""users/wangjinzhulala/China_built_up/05_primary_classification/Spectrum_Normalize_Fourier_Terrain_Meterology_xinan_1990_1992_4""
                                          }
                                        }
                                      }
                                    },
                                    {
                                      ""functionInvocationValue"": {
                                        ""functionName"": ""Image.load"",
                                        ""arguments"": {
                                          ""id"": {
                                            ""constantValue"": ""users/wangjinzhulala/China_built_up/05_primary_classification/Spectrum_Normalize_Fourier_Terrain_Meterology_xinan_1990_1992_5""
                                          }
                                        }
                                      }
                                    },
                                    {
                                      ""functionInvocationValue"": {
                                        ""functionName"": ""Image.load"",
                                        ""arguments"": {
                                          ""id"": {
                                            ""constantValue"": ""users/wangjinzhulala/China_built_up/05_primary_classification/Spectrum_Normalize_Fourier_Terrain_Meterology_xinan_1990_1992_6""
                                          }
                                        }
                                      }
                                    },
                                    {
                                      ""functionInvocationValue"": {
                                        ""functionName"": ""Image.load"",
                                        ""arguments"": {
                                          ""id"": {
                                            ""constantValue"": ""users/wangjinzhulala/China_built_up/05_primary_classification/Spectrum_Normalize_Fourier_Terrain_Meterology_xinan_1990_1992_7""
                                          }
                                        }
                                      }
                                    },
                                    {
                                      ""functionInvocationValue"": {
                                        ""functionName"": ""Image.load"",
                                        ""arguments"": {
                                          ""id"": {
                                            ""constantValue"": ""users/wangjinzhulala/China_built_up/05_primary_classification/Spectrum_Normalize_Fourier_Terrain_Meterology_xinan_1990_1992_8""
                                          }
                                        }
                                      }
                                    },
                                    {
                                      ""functionInvocationValue"": {
                                        ""functionName"": ""Image.load"",
                                        ""arguments"": {
                                          ""id"": {
                                            ""constantValue"": ""users/wangjinzhulala/China_built_up/05_primary_classification/Spectrum_Normalize_Fourier_Terrain_Meterology_xinan_1990_1992_9""
                                          }
                                        }
                                      }
                                    }
                                  ]
                                }
                              }
                            }
                          }
                        }
                      }
                    }
                  },
                  ""image2"": {
                    ""functionInvocationValue"": {
                      ""functionName"": ""Image.constant"",
                      ""arguments"": {
                        ""value"": {
                          ""constantValue"": 3
                        }
                      }
                    }
                  }
                }
              }
            },
            ""names"": {
              ""constantValue"": [
                ""classification""
              ]
            }
          }
        }
      },
      ""properties"": {
        ""constantValue"": [
          ""Built""
        ]
      },
      ""scale"": {
        ""constantValue"": 30
      }
    }
  }
})",3374,3368,99.8221695317131
1990_1992,4,"ee.FeatureCollection({
  ""functionInvocationValue"": {
    ""functionName"": ""Image.sampleRegions"",
    ""arguments"": {
      ""collection"": {
        ""functionInvocationValue"": {
          ""functionName"": ""Collection.loadTable"",
          ""arguments"": {
            ""tableId"": {
              ""constantValue"": ""users/wangjinzhulala/China_built_up/04_sample_train_test_split/Training_sample_xinan_1990_1992""
            }
          }
        }
      },
      ""image"": {
        ""functionInvocationValue"": {
          ""functionName"": ""Image.rename"",
          ""arguments"": {
            ""input"": {
              ""functionInvocationValue"": {
                ""functionName"": ""Image.gt"",
                ""arguments"": {
                  ""image1"": {
                    ""functionInvocationValue"": {
                      ""functionName"": ""reduce.sum"",
                      ""arguments"": {
                        ""collection"": {
                          ""functionInvocationValue"": {
                            ""functionName"": ""ImageCollection.fromImages"",
                            ""arguments"": {
                              ""images"": {
                                ""arrayValue"": {
                                  ""values"": [
                                    {
                                      ""functionInvocationValue"": {
                                        ""functionName"": ""Image.load"",
                                        ""arguments"": {
                                          ""id"": {
                                            ""constantValue"": ""users/wangjinzhulala/China_built_up/05_primary_classification/Spectrum_Normalize_Fourier_Terrain_Meterology_xinan_1990_1992_0""
                                          }
                                        }
                                      }
                                    },
                                    {
                                      ""functionInvocationValue"": {
                                        ""functionName"": ""Image.load"",
                                        ""arguments"": {
                                          ""id"": {
                                            ""constantValue"": ""users/wangjinzhulala/China_built_up/05_primary_classification/Spectrum_Normalize_Fourier_Terrain_Meterology_xinan_1990_1992_1""
                                          }
                                        }
                                      }
                                    },
                                    {
                                      ""functionInvocationValue"": {
                                        ""functionName"": ""Image.load"",
                                        ""arguments"": {
                                          ""id"": {
                                            ""constantValue"": ""users/wangjinzhulala/China_built_up/05_primary_classification/Spectrum_Normalize_Fourier_Terrain_Meterology_xinan_1990_1992_2""
                                          }
                                        }
                                      }
                                    },
                                    {
                                      ""functionInvocationValue"": {
                                        ""functionName"": ""Image.load"",
                                        ""arguments"": {
                                          ""id"": {
                                            ""constantValue"": ""users/wangjinzhulala/China_built_up/05_primary_classification/Spectrum_Normalize_Fourier_Terrain_Meterology_xinan_1990_1992_3""
                                          }
                                        }
                                      }
                                    },
                                    {
                                      ""functionInvocationValue"": {
                                        ""functionName"": ""Image.load"",
                                        ""arguments"": {
                                          ""id"": {
                                            ""constantValue"": ""users/wangjinzhulala/China_built_up/05_primary_classification/Spectrum_Normalize_Fourier_Terrain_Meterology_xinan_1990_1992_4""
                                          }
                                        }
                                      }
                                    },
                                    {
                                      ""functionInvocationValue"": {
                                        ""functionName"": ""Image.load"",
                                        ""arguments"": {
                                          ""id"": {
                                            ""constantValue"": ""users/wangjinzhulala/China_built_up/05_primary_classification/Spectrum_Normalize_Fourier_Terrain_Meterology_xinan_1990_1992_5""
                                          }
                                        }
                                      }
                                    },
                                    {
                                      ""functionInvocationValue"": {
                                        ""functionName"": ""Image.load"",
                                        ""arguments"": {
                                          ""id"": {
                                            ""constantValue"": ""users/wangjinzhulala/China_built_up/05_primary_classification/Spectrum_Normalize_Fourier_Terrain_Meterology_xinan_1990_1992_6""
                                          }
                                        }
                                      }
                                    },
                                    {
                                      ""functionInvocationValue"": {
                                        ""functionName"": ""Image.load"",
                                        ""arguments"": {
                                          ""id"": {
                                            ""constantValue"": ""users/wangjinzhulala/China_built_up/05_primary_classification/Spectrum_Normalize_Fourier_Terrain_Meterology_xinan_1990_1992_7""
                                          }
                                        }
                                      }
                                    },
                                    {
                                      ""functionInvocationValue"": {
                                        ""functionName"": ""Image.load"",
                                        ""arguments"": {
                                          ""id"": {
                                            ""constantValue"": ""users/wangjinzhulala/China_built_up/05_primary_classification/Spectrum_Normalize_Fourier_Terrain_Meterology_xinan_1990_1992_8""
                                          }
                                        }
                                      }
                                    },
                                    {
                                      ""functionInvocationValue"": {
                                        ""functionName"": ""Image.load"",
                                        ""arguments"": {
                                          ""id"": {
                                            ""constantValue"": ""users/wangjinzhulala/China_built_up/05_primary_classification/Spectrum_Normalize_Fourier_Terrain_Meterology_xinan_1990_1992_9""
                                          }
                                        }
                                      }
                                    }
                                  ]
                                }
                              }
                            }
                          }
                        }
                      }
                    }
                  },
                  ""image2"": {
                    ""functionInvocationValue"": {
                      ""functionName"": ""Image.constant"",
                      ""arguments"": {
                        ""value"": {
                          ""constantValue"": 4
                        }
                      }
                    }
                  }
                }
              }
            },
            ""names"": {
              ""constantValue"": [
                ""classification""
              ]
            }
          }
        }
      },
      ""properties"": {
        ""constantValue"": [
          ""Built""
        ]
      },
      ""scale"": {
        ""constantValue"": 30
      }
    }
  }
})",3374,3366,99.7628927089508
1990_1992,5,"ee.FeatureCollection({
  ""functionInvocationValue"": {
    ""functionName"": ""Image.sampleRegions"",
    ""arguments"": {
      ""collection"": {
        ""functionInvocationValue"": {
          ""functionName"": ""Collection.loadTable"",
          ""arguments"": {
            ""tableId"": {
              ""constantValue"": ""users/wangjinzhulala/China_built_up/04_sample_train_test_split/Training_sample_xinan_1990_1992""
            }
          }
        }
      },
      ""image"": {
        ""functionInvocationValue"": {
          ""functionName"": ""Image.rename"",
          ""arguments"": {
            ""input"": {
              ""functionInvocationValue"": {
                ""functionName"": ""Image.gt"",
                ""arguments"": {
                  ""image1"": {
                    ""functionInvocationValue"": {
                      ""functionName"": ""reduce.sum"",
                      ""arguments"": {
                        ""collection"": {
                          ""functionInvocationValue"": {
                            ""functionName"": ""ImageCollection.fromImages"",
                            ""arguments"": {
                              ""images"": {
                                ""arrayValue"": {
                                  ""values"": [
                                    {
                                      ""functionInvocationValue"": {
                                        ""functionName"": ""Image.load"",
                                        ""arguments"": {
                                          ""id"": {
                                            ""constantValue"": ""users/wangjinzhulala/China_built_up/05_primary_classification/Spectrum_Normalize_Fourier_Terrain_Meterology_xinan_1990_1992_0""
                                          }
                                        }
                                      }
                                    },
                                    {
                                      ""functionInvocationValue"": {
                                        ""functionName"": ""Image.load"",
                                        ""arguments"": {
                                          ""id"": {
                                            ""constantValue"": ""users/wangjinzhulala/China_built_up/05_primary_classification/Spectrum_Normalize_Fourier_Terrain_Meterology_xinan_1990_1992_1""
                                          }
                                        }
                                      }
                                    },
                                    {
                                      ""functionInvocationValue"": {
                                        ""functionName"": ""Image.load"",
                                        ""arguments"": {
                                          ""id"": {
                                            ""constantValue"": ""users/wangjinzhulala/China_built_up/05_primary_classification/Spectrum_Normalize_Fourier_Terrain_Meterology_xinan_1990_1992_2""
                                          }
                                        }
                                      }
                                    },
                                    {
                                      ""functionInvocationValue"": {
                                        ""functionName"": ""Image.load"",
                                        ""arguments"": {
                                          ""id"": {
                                            ""constantValue"": ""users/wangjinzhulala/China_built_up/05_primary_classification/Spectrum_Normalize_Fourier_Terrain_Meterology_xinan_1990_1992_3""
                                          }
                                        }
                                      }
                                    },
                                    {
                                      ""functionInvocationValue"": {
                                        ""functionName"": ""Image.load"",
                                        ""arguments"": {
                                          ""id"": {
                                            ""constantValue"": ""users/wangjinzhulala/China_built_up/05_primary_classification/Spectrum_Normalize_Fourier_Terrain_Meterology_xinan_1990_1992_4""
                                          }
                                        }
                                      }
                                    },
                                    {
                                      ""functionInvocationValue"": {
                                        ""functionName"": ""Image.load"",
                                        ""arguments"": {
                                          ""id"": {
                                            ""constantValue"": ""users/wangjinzhulala/China_built_up/05_primary_classification/Spectrum_Normalize_Fourier_Terrain_Meterology_xinan_1990_1992_5""
                                          }
                                        }
                                      }
                                    },
                                    {
                                      ""functionInvocationValue"": {
                                        ""functionName"": ""Image.load"",
                                        ""arguments"": {
                                          ""id"": {
                                            ""constantValue"": ""users/wangjinzhulala/China_built_up/05_primary_classification/Spectrum_Normalize_Fourier_Terrain_Meterology_xinan_1990_1992_6""
                                          }
                                        }
                                      }
                                    },
                                    {
                                      ""functionInvocationValue"": {
                                        ""functionName"": ""Image.load"",
                                        ""arguments"": {
                                          ""id"": {
                                            ""constantValue"": ""users/wangjinzhulala/China_built_up/05_primary_classification/Spectrum_Normalize_Fourier_Terrain_Meterology_xinan_1990_1992_7""
                                          }
                                        }
                                      }
                                    },
                                    {
                                      ""functionInvocationValue"": {
                                        ""functionName"": ""Image.load"",
                                        ""arguments"": {
                                          ""id"": {
                                            ""constantValue"": ""users/wangjinzhulala/China_built_up/05_primary_classification/Spectrum_Normalize_Fourier_Terrain_Meterology_xinan_1990_1992_8""
                                          }
                                        }
                                      }
                                    },
                                    {
                                      ""functionInvocationValue"": {
                                        ""functionName"": ""Image.load"",
                                        ""arguments"": {
                                          ""id"": {
                                            ""constantValue"": ""users/wangjinzhulala/China_built_up/05_primary_classification/Spectrum_Normalize_Fourier_Terrain_Meterology_xinan_1990_1992_9""
                                          }
                                        }
                                      }
                                    }
                                  ]
                                }
                              }
                            }
                          }
                        }
                      }
                    }
                  },
                  ""image2"": {
                    ""functionInvocationValue"": {
                      ""functionName"": ""Image.constant"",
                      ""arguments"": {
                        ""value"": {
                          ""constantValue"": 5
                        }
                      }
                    }
                  }
                }
              }
            },
            ""names"": {
              ""constantValue"": [
                ""classification""
              ]
            }
          }
        }
      },
      ""properties"": {
        ""constantValue"": [
          ""Built""
        ]
      },
      ""scale"": {
        ""constantValue"": 30
      }
    }
  }
})",3374,3362,99.6443390634262
