NDVI,Freq,Select_num
-19,5,0
-18,3,0
-18,2,0
-17,10,0
-16,7,0
-16,16,0
-15,36,0
-15,30,0
-14,46,0
-13,65,0
-13,100,0
-12,152,0
-11,235,0
-11,285,0
-10,395,0
-9,453,0
-9,651,0
-8,806,1
-7,1087,1
-7,1761,1
-6,2979,2
-6,3594,2
-5,2628,2
-4,1400,1
-4,1039,1
-3,895,1
-2,996,1
-2,1039,1
-1,922,1
0,900,1
0,877,1
0,880,1
0,918,1
1,1034,1
2,1386,1
2,2665,2
3,7549,5
4,22271,15
4,48458,32
5,77984,52
6,101096,67
6,117788,78
7,147497,98
8,175872,117
8,202016,134
9,190438,126
9,144856,96
10,108910,72
11,93555,62
11,108511,72
12,131500,87
13,134945,90
13,123739,82
14,118868,79
15,122242,81
15,125969,84
16,130338,86
16,138685,92
17,147427,98
18,157170,104
18,162759,108
19,171659,114
20,182204,121
20,192893,128
21,200327,133
22,208124,138
22,212987,141
23,212029,141
23,202897,135
24,188498,125
25,174073,115
25,159025,106
26,145316,96
27,132238,88
27,120080,80
28,110497,73
29,103792,69
29,97939,65
30,95079,63
31,93259,62
31,92290,61
32,91178,60
32,92409,61
33,91394,61
34,92959,62
34,94730,63
35,94527,63
36,95124,63
36,94322,63
37,92863,62
38,92003,61
38,89965,60
39,84520,56
39,78216,52
40,70965,47
41,64826,43
41,59833,40
42,55827,37
43,52504,35
43,49770,33
44,47876,32
45,45233,30
45,42884,28
46,41218,27
47,38929,26
47,36035,24
48,33731,22
48,31482,21
49,28163,19
50,25321,17
50,22608,15
51,20835,14
52,18277,12
52,16280,11
53,15056,10
54,13159,9
54,11980,8
55,10879,7
55,9502,6
56,8578,6
57,7795,5
57,6929,5
58,6107,4
59,5648,4
59,4931,3
60,4388,3
61,4212,3
61,3706,2
62,3372,2
63,2899,2
63,2725,2
64,2321,2
64,2028,1
65,1773,1
66,1516,1
66,1293,1
67,1174,1
68,996,1
68,790,1
69,690,0
70,522,0
70,451,0
71,355,0
71,277,0
72,196,0
73,144,0
73,95,0
74,85,0
75,41,0
75,30,0
76,25,0
77,13,0
77,17,0
78,8,0
79,5,0
79,5,0
80,5,0
81,1,0
